"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF1","16305","33175","Military","319.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","4","20837","33829","Team Member","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 1","37819","44268","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Specialist Instruction","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF2","38463","45741","Military","2970.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","118634","Specialist Advisors","5.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Direct Military Support","3.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Training Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF3","48450","58025","Military","1602.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","118634","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Range Management","2.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Army","1167535","ACD Prof of Music (ENG) 46 Wks - 6048","55526","55526","Specialist Instruction","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF4","67999","78737","Military","597.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Army","1167535","Ambulance Practitioner","18402","21798","Driving","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","1","13602","15959","Team Member","7.00","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF5","82381","90560","Military","160.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 2","30136","36333","Soft Facilities Management","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Army","1167535","Ambulance Practitioner","18402","21798","Medical Technical","5.00","Medicine"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","2","13864","20628","Team Member","41.07","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR1","21019","23798","Military","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Retired Offr 3","25600","29092","Range Management","1.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Army","1167535","Apprentice","13776","17712","Engineering Civ Apprentices","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","3","17920","26235","Team Member","90.90","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR2","21019","23798","Military","9870.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Fast Stream Grade Band C1","35648","44268","Decision Support","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Army","1167535","Area Officer Social Worker","47942","57245","Community Service","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","4","20837","33829","Team Member","105.94","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR3","21019","23798","Military","610.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22150","24930","Estate Advice","2.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Army","1167535","Assistant Head Teacher","34398","98022","Teaching","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","5","29387","41774","Operational Manager","2.00","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR4","29122","31219","Military","5419.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22150","24930","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1167535","Assistant Head Teacher","34398","98022","Teaching L'ship","5.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","5","29387","41774","Team Leader","19.61","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR6","32602","35426","Military","3986.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","Skill Zone 4","22150","24930","Technical [Trades]","86.39","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Army","1167535","Aviation Offr 2","34936","36333","Transport & Movement","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","5","29387","41774","Specialist Advisors","26.88","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR7","36921","40930","Military","2284.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","56436","72185","Business Management","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","56436","72185","Business Management","6.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","37977","51084","Operational Manager","2.00","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR8","36921","40930","Military","98.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","56436","72185","Commercial Operations","5.00","Procurement"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","56436","72185","Decision Support","6.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","37977","51084","Programme Leader","1.00","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OR9","41707","45088","Military","740.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","56436","72185","Commercial Policy","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","56436","72185","Legal","1.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","37977","51084","Team Leader","17.59","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","Principal Lecturer RMAS/BRNC","47942","59535","Teaching","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","26677","B1","56436","72185","Decision Support","4.00","Finance"
"Ministry of Defence","Ministry of Defence","Army","1167535","B1","56436","72185","Museum","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02003","6","37977","51084","Specialist Advisors","22.20","Other"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","Retired Offr 1","37819","44268","Direct Military Support","2.00","Operational delivery"
