"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","A/BAND A","41774","60484","Private Secretary","2.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","A/BAND A","41774","60484","Senior Policy Adviser","0.83","Operational Delivery"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","B/Faststream","27543","36175","Assistant Private Secretary","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","B1/BAND B1","21166","30093","Diary Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","B1/BAND B1","21166","30093","Policy Adviser","0.83","Policy"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","B2/BAND B2","28228","38484","Assistant Private Secretary","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Chief Executive Group","499","C/BAND C","16975","24430","Admin Support Officer","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group","116","A/BAND A","41774","60484","Statistician","6.19","Statistics"
"Cabinet Office","Cabinet Office","Civil Service Group","116","B/Faststream","27543","36175","Statistician","2.00","Statistics"
"Cabinet Office","Cabinet Office","Civil Service Group","116","B1/BAND B1","21166","30093","Statistics Support Officer","5.00","Statistics"
"Cabinet Office","Cabinet Office","Civil Service Group","116","B2/BAND B2","28228","38484","Statistician","8.00","Statistics"
"Cabinet Office","Cabinet Office","Civil Service Group","428","A/BAND A","41774","60484","Senior Policy Adviser","4.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group","428","B2/BAND B2","28228","38484","Policy Adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group","525","A/BAND A","41774","60484","Senior Policy Adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group","525","B1/BAND B1","21166","30093","Policy Officer","2.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group","525","B2/BAND B2","28228","38484","Policy Adviser","6.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service HR","31","A/BAND A","41774","60484","Senior Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","31","B/Faststream","27543","36175","Policy Adviser","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","31","B1/BAND B1","21166","30093","CSHR Communications And Engagement","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","31","B1/BAND B1","21166","30093","HR Support Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","31","B2/BAND B2","28228","38484","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","31","C/BAND C","16975","24430","Admin Support Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","82","A/BAND A","41774","60484","Senior Policy Adviser","7.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","82","B2/BAND B2","28228","38484","Policy Adviser","2.94","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","491","A/BAND A","41774","60484","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","491","A/BAND A","41774","60484","Senior Policy Adviser","0.71","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","491","B1/BAND B1","21166","30093","Policy Officer","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","491","TIS2","28617","39799","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","538","A/BAND A","41774","60484","Policy Adviser","3.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","538","B/Faststream","27543","36175","Policy Adviser","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","538","B1/BAND B1","21166","30093","Diary Manager","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","538","B1/BAND B1","21166","30093","Policy Officer","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","538","B2/BAND B2","28228","38484","Policy Adviser","3.83","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","549","A/BAND A","41774","60484","Senior Policy Adviser","5.27","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","549","B1/BAND B1","21166","30093","Policy Support Officer","4.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","549","B2/BAND B2","28228","38484","Policy Adviser","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","549","C/BAND C","16975","24430","Admin Support Officer","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","A/BAND A","41774","60484","Senior Operational Manager","3.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","A/BAND A","41774","60484","Senior Policy Adviser","3.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","B1/BAND B1","21166","30093","HR Support Officer","4.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","B2/BAND B2","28228","38484","Operational Manager","8.08","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","B2/BAND B2","28228","38484","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","561","C/BAND C","16975","24430","Admin Support Officer","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","570","A/BAND A","41774","60484","Senior Policy Adviser","6.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","570","B/Faststream","27543","36175","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","570","B2/BAND B2","28228","38484","Policy Adviser","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","A/BAND A","41774","60484","Senior Policy Adviser","10.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","B/Faststream","27543","36175","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","B1/BAND B1","21166","30093","HR Support Officer","3.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","B1/BAND B1","21166","30093","Policy Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","B2/BAND B2","28228","38484","HR Capability And Talent Data Manager","0.80","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","574","B2/BAND B2","28228","38484","Policy Adviser","3.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","607","A/BAND A","41774","60484","Senior Policy Adviser","5.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","607","B/Faststream","27543","36175","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","607","B1/BAND B1","21166","30093","HR Support Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","607","B2/BAND B2","28228","38484","Operational Manager","2.00","Human Resources"
"Cabinet Office","Cabinet Office","Civil Service HR","607","B2/BAND B2","28228","38484","Policy Adviser","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Constitution Group","118","A/BAND A","41774","60484","Senior Policy Adviser","7.00","Policy"
"Cabinet Office","Cabinet Office","Constitution Group","118","B1/BAND B1","21166","30093","Business Manager","1.00","Other"
"Cabinet Office","Cabinet Office","Constitution Group","118","B1/BAND B1","21166","30093","Operational Manager","1.00","Other"
"Cabinet Office","Cabinet Office","Constitution Group","118","B1/BAND B1","21166","30093","Policy Support Officer","3.00","Policy"
"Cabinet Office","Cabinet Office","Constitution Group","118","B2/BAND B2","28228","38484","Operational Manager","1.00","Operational Delivery"
