OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,LE174742864AM10618,Award of Social Media Contract,City Development,267 - Publication And Promotion,,09/05/2017,,,,,"�5,720.00",,"Absolute Media Ltd, Blayds Yard, LEEDS, LS1 4AD",,,Other/Not known,Susan Burgess,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AC0252428861517,1517/REPLACEMENT TO ORDER 46379 AS CANCE,Environment & Housing,265 - Other Hired And Contracted Services,,31/05/2017,,,,,"�5,223.75",,"Access Lift Consultants Ltd, Boston Spa, WETHERBY, LS23 6NJ",,,b) Micro,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AC017042874INV10195,Deacon House New Shutters,Environment & Housing,265 - Other Hired And Contracted Services,,19/05/2017,,,,,"�11,662.00",,"Access Opening Systems Limited, Farncombe Road, WORTHINGTON, BN11 2BW",,,b) Micro,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AC91054286732389,Flexi Boarding Summer Term,Childrens and Families,566 - SEN Placements,,12/05/2017,,,,,"�17,457.00",,"ACKWORTH SCHOOL, Ackworth, PONTEFRACT, WF7 7LT",,,b) Micro,Carol Nightingale,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AD047442859170999,One to One Sessions,Childrens and Families,550 - Placement Support,,04/05/2017,,,,,"�7,056.67",,"ADOPTION MATTERS NORTHWEST, NULL, CHESTER, CH2 1AE",,,c) Small,Sarah Johal,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AF1045428636399,Theraplay Informed Intervention,Childrens and Families,550 - Placement Support,,08/05/2017,,,,,"�5,492.46",,"After Adoption, 5 Blantyre Street, MANCHESTER, M15 4JJ",,,d) Medium,Sarah Johal,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AM078642867001,Support Services,Childrens and Families,529 - Semi-Supported Independent Living,,12/05/2017,,,,,"�20,015.02",,AMJ SUPPORT SERVICES LTD,,,Other/Not Known,Philip Mulhearn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AT02784287860406,Headingley Stadium,Strategic Accounts,265 - Other Hired And Contracted Services,,23/05/2017,,,,,"�12,000.00",,Atherden Fuller Leng Ltd 2,,,Other/Not Known,Mary Hasnip,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BA169442863SYMPHONIC SOUNDS,Symphonic Sounds of Back to Basics event on Millennium Square,City Development,265 - Other Hired And Contracted Services,,08/05/2017,,,,,"�15,000.00",,"Back To Basics, Headingley, LEEDS, LS6 4DD",,,Other/Not Known,Craig Shackleton,CPR Exempt
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BA002442865PA-33546,Foster Carer Recuritment Campaign,Childrens and Families,211 - Advertising,,10/05/2017,,,,,"�8,000.00",,"Bauer Radio Ltd, Pereborough Business Pk Lynch Wood, PETERBOROUGH, PE2 6EA",,,b) Micro,Sarah Johal,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BE1341428722704,Duct Repair work,Resources and Housing,214 - Computer Software & Equipment,,17/05/2017,,,,,"�9,999.00",,"Beacon Construction & Joinery Ltd, 1 Kildare Terrace, LEEDS, LS12 1DB",,,Other/Not known,Michael Cole,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BO065142885INV-0593,Boditrax K780S,City Development,203 - Operational Furniture And Equipment,,30/05/2017,,,,,"�9,995.00",,Boditrax Technologies Limited,,,Other/Not Known,Paul Cox,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BO025442871100145734600061348,12 months joint fostering recruitment project,Childrens and Families,211 - Advertising,,16/05/2017,,,,,"�8,442.00",,"Bolton Council, 1st Floor Bolton Town Hall, VICTORIA SQUARE BOLTON, BL1 1RX",,,Other/Not known,Sarah Johal,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AL777742881INV539012,Enterprise Licence Level 3,Resources and Housing,214 - Computer Software & Equipment,,26/05/2017,,,,,"�11,751.88",,"Bottomline Technologies Limited, NULL, READING, RG1 7JX",,,c) Small,Deborah Russell,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ZZ33124285801MAY-28MAY,Residential Care,Adults and Health,580 - Residential,,03/05/2017,,,,,"�4,777.48",,"Bowden Lodge Priory, NULL, SHEFFIELD, S9 4ES",,,Other/Not Known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BR0696428813434,To Carry Out Works to Quarry Hill Car Park Works Emergency Contingency,Environment & Housing,111 - Grounds Maintenance Work,,26/05/2017,,,,,"�5,920.00",,"Brian G Hancock Ltd, Sandbeck Lane, WETHERBY, LS22 7TW",,,Other/Not known,Anne-Marie Broadhead,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BR213542886A158146,Service Diversion Work,City Development,N/A,,31/05/2017,,,,,"�73,022.24",,"BRITISH TELECOMMUNICATIONS PLC, Eldon House, Charter Row, SHEFFIELD, S1 3EF",,,e) Large,Edwige Moutault,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ZZ76844288629MAY-25JUN,Nursing Care,Adults and Health,570 - Nursing Home,,31/05/2017,,,,,"�6,548.98",,"BURLEY HALL NURSING HOME, Outwood Lane  Horsforth, LEEDS, LS18 4UP",,,c) Small,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ZZ33354288629MAY-25JUN,Nursing Care,Adults and Health,570 - Nursing Home,,31/05/2017,,,,,"�119,413.08",,"Burley House - Embracing Independent, 258 Burley Road, LEEDS, LS4 2LA",,,Other/Not Known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CA251042866AUI006460,Fostering,Childrens and Families,509 - Independent Fostering Agencies,,11/05/2017,,,,,"�21,497.33",,"Cambian Autism Services Limited, Chancellors Road, LONDON, W6 9RU",,,Other/Not known,Philip Mulhearn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CA055142859CHI027072,Residential Placement,Childrens and Families,507 - General External Residential Placements,,04/05/2017,,,,,"�41,828.31",,"Cambian Childcare Ltd, Hammersmith Embankment, LONDON, W6 9RU",,,d) Medium,Angela Depledge,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CA2938428606003536841,"Bridge Pro Licences, Bridge for Message, Alto Support and Talis Message Support",Communities and Environments,214 - Computer Software & Equipment,,05/05/2017,,,,,"�129,092.22",,"CAPITA BUSINESS SERVICES LTD, NULL, DARLINGTON, DL1 9HN",,,e) Large,Katrina Pickering,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CA667242860SHOP16/0083,Charity Christmas Card Sales,Communities and Environments,265 - Other Hired And Contracted Services,,05/05/2017,,,,,"�5,972.67",,"CARDS FOR GOOD CAUSES LTD, West Portway, ANDOVER HAMPSHIRE, SP10 3SE",,,c) Small,Nick Hart,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CA259242859637,Residential Placement,Childrens and Families,507 - General External Residential Placements,,04/05/2017,,,,,"�35,336.69",,"Care In Mind Residential, Chester Business Park, CHESTER, CH4 9PX",,,Other/Not Known,Philip Mulhearn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,MA578442860139405,Door Access Systems,Environment & Housing,265 - Other Hired And Contracted Services,,05/05/2017,,,,,"�8,009.10",,"Careline Security Ltd, Vivars Way, SELBY, YO8 8BE",,,d) Medium,Phil Rigby,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CE023X428606000062231,Exhibition costs for The Meetings Show 2017 ,City Development,267 - Publication And Promotion,,05/05/2017,,,,,"�10,125.00",,"CENTAUR COMMUNICATIONS LTD, NULL, LONDON, W1T 3QN",,,b) Micro,Jennifer Young,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BR04634286670992262822,Probation Loan Charges,Joint Committees And Other Bodies,521 - Services Provided By Other Public Bodies,,11/05/2017,,,,,"�18,623.00",,"City Of Bradford Metropolitan District, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,,Other/Not known,Mary Hasnip,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,LE4592428593599,Quarter 4 January - March 2017,Childrens and Families,505 - Services Rendered By Voluntary Sector,,04/05/2017,,,,,"�5,487.25",,"CITY OF LEEDS YMCA, Lawnswood, LEEDS, LS16 6HQ",,,c) Small,Andrea Richardson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CL0105428590102639106,LCC Gym Campaign ,City Development,267 - Publication And Promotion,,04/05/2017,,,,,"�10,020.00",,"CLEAR CHANNEL UK LTD, Woking, SURREY, GU22 7NJ",,,e) Large,Steven Baker,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CL075442885H401248,Installation of Fire Alarm,Environment & Housing,265 - Other Hired And Contracted Services,,30/05/2017,,,,,"�6,099.58",,"CLYMAC LIMITED, Off Belton Road, LOUGHBOROUGH, LE11 1LW",,,d) Medium,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CC103942858Community Care Payment,Community Care Payment,Adults and Health,626 - Direct Payments,,03/05/2017,,,,,"�939,703.14",,Community Care Payments,,,Other/Not known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CO221242865Residential Placement,Residential Placement,Childrens and Families,507 - General External Residential Placements,,10/05/2017,,,,,"�13,714.20",,"Compass Childrens Homes Limited, Epinal Way, LOUGHBOROUGH, LE11 3GE",,,Other/Not Known,Angela Depledge,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CO165442866106701,Home Care,Adults and Health,568 - Home Care,,11/05/2017,,,,,"�16,559.28",,"COMPLETE CARE AGENCY, First Floor Lancaster Way, LEEDS, LS19 7ZA",,,b) Micro,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CO809842874601174,Legal Services - Copyright,Resources and Housing,206 - Books & Audio-Visual Materials,,19/05/2017,,,,,"�35,922.45",,"COPYRIGHT LICENSING AGENCY LTD, 86 Fetter Lane, LONDON, EC4A 1EN",,,d) Medium,Kate Kearns,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CO016742872104724397,CoStar Suite UK,City Development,214 - Computer Software & Equipment,,17/05/2017,,,,,"�9,132.00",,"Costar Uk Limited, NULL, LONDON, W1G 0BG",,,d) Medium,Nigel Robinson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,PR06284286401483,Aims Monitoring at Woodhouse Lane ,Civic Enterprise Leeds,101 - Maintenance Of Buildings,,09/05/2017,,,,,"�8,031.52",,"C-Probe Systems Ltd, Wharton Street, ST HELENS, WA9 5AA",,,Other/Not known,Frank Rounding,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,CR084442879INV/129737,Residential Placement,Childrens and Families,507 - General External Residential Placements,,24/05/2017,,,,,"�38,571.30",,"Crossreach Ballikinrain School, Kippen, ARNPRIOR, FK8 3ER",,,Other/Not Known,Philip Mulhearn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,DT0104428572017-03-000003261,West Yorkshire Mills Study/Delivery,City Development,265 - Other Hired And Contracted Services,,02/05/2017,,,,,"�10,000.00",,"Cushman & Wakefield Debenham Tie Leung, NULL, LONDON, EC2N 1AR",,,e) Large,Debbie Kirk,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,DO32084285819046,Supply and Manifacture of Cubicles and Doors,Environment & Housing,205 - Operational Materials,,03/05/2017,,,,,"�24,769.73",,"DOORS CUBICLES AND BOARDS (LEEDS) LTD, Normanton Industrial Estate, NORMANTON, WF6 1RL",,,d) Medium,Phil Rigby,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,DU033742860D07525/1/KB/COSTS,Legal Fees,Childrens and Families,411 - Legal Disbursements,,05/05/2017,,,,,"�11,430.88",,"Duncan Lewis Solicitors, Harrow On The Hill, MIDDLESEX, HA1 3BN",,,Other/Not Known,Kate Kearns,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,FO0261428708741,Lift Engineering Works,Environment & Housing,265 - Other Hired And Contracted Services,,15/05/2017,,,,,"�23,624.00",,"E A Foulds Limited, Clifton Street, COLNE, BB8 9AE",,,c) Small,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,EA0052428648675,Taxi Services,Civic Enterprise Leeds,360 - Private Hire,,09/05/2017,,,,,"�28,522.50",,"Easy Travel (Leeds) Ltd, Old William Street, LEEDS, LS28 6JS",,,b) Micro,Sarah Barton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,EA0052428648682,Taxi Services,Civic Enterprise Leeds,360 - Private Hire,,09/05/2017,,,,,"�28,522.50",,"Easy Travel (Leeds) Ltd, Old William Street, LEEDS, LS28 6JS",,,b) Micro,Sarah Barton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ED012042857602005150,Valuation Report and Advice for Land at Towcester Avenue,City Development,N/A,,02/05/2017,,,,,"�5,000.00",,"Eddisons, NULL, LEEDS, LS1 2HJ",,,d) Medium,Mark Mills,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,EN025542880IN279202,Door Access Systems,Environment & Housing,205 - Operational Materials,,25/05/2017,,,,,"�39,038.65",,"ENTROTEC LTD, Oakbank, LIVINGSTON, EH53 0TL",,,c) Small,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,EN353F42859Y02186176,Permit Renewal,Environment & Housing,266 - Licences,,04/05/2017,,,,,"�5,480.00",,"ENVIRONMENT AGENCY, NULL, BLACKPOOL, FY1 9JN",,,Other/Not known,Elizabeth Behrens,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ES407342858INV17124,Home Care,Adults and Health,568 - Home Care,,03/05/2017,,,,,"�24,960.00",,"ESTEEM CARE LIMITED, Meanwood, LEEDS, LS6 4QD",,,Other/Not Known,Deborah Callaghan,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ET165942858EL[T]6252,Town Hall Pop-Up Park,City Development,145 - Highways Maintenance,,03/05/2017,,,,,"�9,250.00",,"Eternal Lawns, Morley, LEEDS, LS27 0LQ",,,Other/Not Known,Mark Durham,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,EX083342857146,Residential Placement,Childrens and Families,507 - General External Residential Placements,,02/05/2017,,,,,"�50,787.42",,"Exceptional Care Limited, Business Ctr, Woodward Road, KNOWSLEY, L33 7UY",,,Other/Not Known,Clare Lynam,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,BA1092428658314,Lift Engineering Works,Environment & Housing,265 - Other Hired And Contracted Services,,10/05/2017,,,,,"�49,135.00",,"F. Bamford (Engineering) Ltd, Whitehill, STOCKPORT, SK4 1NT",,,c) Small,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,HA183042874011193UK17,Lighting Equipment,City Development,203 - Operational Furniture And Equipment,,19/05/2017,,,,,"�1,154.66",,"Feilo Sylvania UK Ltd, NULL, NEWHAVEN, BN9 0ED",,,Other/Not known,John Roles,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ZZ18724285801MAY-28MAY,Residential Care,Adults and Health,580 - Residential,,03/05/2017,,,,,"�9,415.69",,"FIELDHEAD COURT NURSING HOME, Church Lane, THORNHILL  DEWSBURY, WF12 0JZ",,,Other/Not known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,FO11544287121035,Household and Organisational Membership,Childrens and Families,226 - Memberships,,16/05/2017,,,,,"�24,052.44",,"FOSTERING NETWORK, NULL, LONDON, SE1 8HA",,,d) Medium,Saleem Tariq,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,FR0732428601072,Residential Placement,Childrens and Families,507 - General External Residential Placements,,05/05/2017,,,,,"�30,000.00",,"Friends Therapeutic Community Trust, NULL, SHUDY CAMPS, CB21 4QH",,,Other/Not Known,Philip Mulhearn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,GA117X42860LEQS1105,Leeds Grand Theatre Roofing Scheme,City Development,N/A,,05/05/2017,,,,,"�5,000.00",,"GARDINER AND THEOBALD LLP, NULL, LEEDS, LS1 2JZ",,,Other/Not Known,Chris Coulson,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,AI96364288157848,Ventialtion Works,Environment & Housing,265 - Other Hired And Contracted Services,,26/05/2017,,,,,"�27,292.55",,"GB AIR CONTROL LIMITED, NULL, MYTHOLMROYD, HX7 5QQ",,,b) Micro,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,GE03124286016037,Annual Mortgage Fees,Resources and Housing,265 - Other Hired And Contracted Services,,05/05/2017,,,,,"�7,255.91",,"GEMINI CONSULTANTS LTD, 6/8 Stuart Street, LUTON, LU1 2SJ",,,c) Small,Simon Bentley,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,GI5120428605366/DC4051,Demolition Works,Environment & Housing,265 - Other Hired And Contracted Services,,05/05/2017,,,,,"�33,749.00",,"GILL DEMOLITIONS LTD, Hall Lane   Bradford, WEST YORKSHIRE, BD4 7DT",,,d) Medium,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,GL222642858AU11,Emergency Accommodation,Childrens and Families,551 - Section 17,,03/05/2017,,,,,"�15,280.00",,"GLENGARTH HOTEL, NULL, LEEDS, LS2 9LZ",,,b) Micro,Elaine McShane,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,GR1183428573145,Purchase of Ground Trackway Units,Environment & Housing,203 - Operational Furniture And Equipment,,02/05/2017,,,,,"�10,692.50",,"Groundtrax Systems Ltd, Ripley, HARROGATE, HG3 3BA",,,Other/Not Known,John Proctor,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,HA24214287760,Residential Placement,Childrens and Families,566 - SEN Placements,,22/05/2017,,,,,"�25,247.66",,"Hall Cliffe Primary School, Wrenthorpe, WAKEFIELD, WF2 0QB",,,Other/Not Known,Barbara Newton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,ZZ33374285801MAY-28MAY,Residential Care,Adults and Health,570 - Nursing Home,,03/05/2017,,,,,"�9,275.96",,"Heatherfield Nursing Home, Annitsford, NEWCASTLE, NE23 7DP",,,Other/Not Known,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,HO1419428806149,Purchase of Refuse Truck Registration,Environment & Housing,304 - External Hire -Occasional,,25/05/2017,,,,,"�23,500.00",,"HOPKINSONS FAIRDEALS LTD, Howden, GOOLE, DN14 7EF",,,b) Micro,Richard Bunce,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,OU1758428602017004CC,Suspended Ceiling,Environment & Housing,265 - Other Hired And Contracted Services,,05/05/2017,,,,,"�9,670.00",,"In Out Solutions, NULL, LEEDS, LS12 4BZ",,,Other/Not known,Mandy Grace,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,IN40184285919786,Aures Epos Terminals,Environment & Housing,203 - Operational Furniture And Equipment,,04/05/2017,,,,,"�7,940.00",,"INDEPENDENT EQUIPMENT CO, Pullan Way Morley, LEEDS, LS27 0BZ",,,b) Micro,David Morgan,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,KA01554285961828,Retrofit to Mailmaster Compact Envelope Inserter,Civic Enterprise Leeds,201 - Office Furniture & Equipment,,04/05/2017,,,,,"�44,505.00",,"Kas Paper Systems Limited, NULL, DUNSTABLE, LU6 1AD",,,Other/Not known,Varsha King,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/07/2017,KI6395428748603029383,Looking Local - Leeds Local Offer Upgrade - 100%,Childrens and Families,214 - Computer Software & Equipment,,19/05/2017,,,,,"�15,480.00",,"Kirklees Council, P O Box A4  Civic Centre One, HUDDERSFIELD, HD1 2NF",,,e) Large,Carol Nightingale,Non-influenceable
