Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17165547,"81,116.72"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,17246426,"95,562.77"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ABBOTT VASCULAR,17114546,"52,500.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Computer Software/License,PACS / CRIS,ACCENTURE (UK) LTD,17148682,"67,827.90"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ALCURA UK LTD,17165776,"25,194.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ALCURA UK LTD,17246627,"25,764.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ALCURA UK LTD,17246631,"30,988.32"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ALCURA UK LTD,17165770,"54,933.84"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"37,478.66"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,17111871,"31,672.46"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,17111820,"34,087.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,17111837,"34,600.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,17111797,"35,315.28"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,17111807,"37,240.24"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,17129120,"79,673.04"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Gen Supplies & Srv,Cardiac Surgery,BMI HEALTHCARE COLLECTIONS,17303681,"74,556.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Medical Gases,Pharmacy Central,BOC LTD,17132941,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Professional fees,Central Financial Acct,BROOKSON HEALTHCARE SERVICES LLP,17180168,"25,358.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,17246439,"25,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,17246434,"50,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,17339389,"35,298.62"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,17120602,"45,184.61"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Independent Sector,Ear Nose & Throat,CARE UK CLINICAL SERVICES LTD,17339371,"32,514.49"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,17290451,"99,050.57"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Clinical Costs,Upper GI Medical Staff,CARE UK CLINICAL SERVICES LTD,17339432,"43,775.13"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Clinical Costs,Upper GI Medical Staff,CARE UK CLINICAL SERVICES LTD,17188964,"47,883.11"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,CELGENE LTD,17100268,"65,545.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Fixed assets,Balance Sheet,COCHRAN LTD,17164304,"49,545.72"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Gas,Energy And Utilities,CORONA ENERGY RETAIL 4 LTD,17242348,"61,819.37"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Fixed assets,Balance Sheet,COVAC LTD,17260233,"43,440.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,DEFENCE BUSINESS SERVICES,17291135,"104,704.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Specialty Registrar Permt,Central Other,DEVON DOCTORS LTD,17255755,"114,643.29"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Electricity,Energy And Utilities,EDF ENERGY,DIRECT DEBIT - EDF ENERGY,"126,500.27"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,17116936,"44,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Heart Valves,Catheter Lab,EDWARDS LIFESCIENCES LTD,17229898,"66,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Med & Surg Equip General,Catheter Lab,EDWARDS LIFESCIENCES LTD,17291319,"-36,300.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,"Books, Journals & Subscr",Discovery Library,EMAP PUBLISHING LTD,17054076,"25,800.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,17165592,"84,540.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,17027703,"138,355.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,17192889,"62,793.74"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,17192889,"32,051.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,INSIGHT HEALTH LTD,17163340,"30,843.54"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,X-Ray Equip Maint/Repair,PACS / CRIS,INSIGNIA MEDICAL SYSTEMS LTD,17133308,"76,781.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,JOHNSON & JOHNSON MEDICAL LTD,17148668,"27,515.77"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Computer Maintenance,ICT Infrastructure,KELWAY LTD,17115094,"31,444.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,17179793,"1,010,364.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Gen Supplies & Srv,MRI,MEDICA REPORTING LTD,17261397,"39,510.90"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Blood Products,Clinical Haematology,NHS BLOOD & TRANSPLANT,17242992,"-25,206.55"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,CNST contributions,Legal Fees,NHS LITIGATION AUTHORITY,SSC DD - NHSLA,"1,470,658.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Senior Manager Band 8D,Care-group management,"NHS NORTH, EAST, WEST DEVON CCG",17064843,"25,160.67"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17210914,"49,636.94"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,16947053,"65,210.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17132251,"80,234.63"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17210800,"97,797.97"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17293736,"104,153.81"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17294066,"119,694.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17132550,"206,409.16"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,17036428,"234,776.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Fixed assets,Balance Sheet,NHS SUPPLY CHAIN,16976628,"67,476.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consumables,Procurement,NHS SUPPLY CHAIN,17053221,"58,402.43"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consumables,Procurement,NHS SUPPLY CHAIN,17306911,"111,132.12"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consumables,Procurement,NHS SUPPLY CHAIN,17160513,"116,688.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consumables,Procurement,NHS SUPPLY CHAIN,17258690,"129,809.82"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Equip Maint Contracts,Breast Cancer Screening,NHS SUPPLY CHAIN,17070279,"53,178.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Equip Maint Contracts,Breast Cancer Screening,NHS SUPPLY CHAIN,16803617,"593,425.18"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,17165696,"86,523.48"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PENINSULA COMMUNITY HEALTH CIC,17083140,"103,857.27"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Independent Sector,Ortho Management & Admin,PLYMOUTH AND PENINSULA SPECIALISTS LLP,17342110,"42,320.09"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083060,"55,092.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083081,"55,092.00"
