Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,03-Mar-2017,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1372412,"92,315.59"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,03-Mar-2017,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1372412,"18,463.12"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,03-Mar-2017,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1372412,"-18,463.12"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,03-Mar-2017,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1372412,"-18,463.12"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,03-Mar-2017,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1372412,"18,463.12"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,SURGICAL SERVICES,23-Mar-2017,CONSULTANT,SURGICAL SERVICES,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,293516,"30,538.06"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,SURGICAL SERVICES,23-Mar-2017,CONSULTANT,SURGICAL SERVICES,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,294444,"30,538.06"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,SURGICAL SERVICES,23-Mar-2017,CONSULTANT,SURGICAL SERVICES,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,295884,"30,538.06"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,ACCESS,23-Mar-2017,CONSULTANT,ACCESS,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,297182,"30,538.06"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,23-Mar-2017,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,297269,"27,270.04"
