Body Name,Service Label,Service Code,Expenditure CIPFA Group Label,Expenditure CIPFA Sub Group Label,Expenditure CIPFA Sub Group Code,Date,Transaction Number,Net Amount,Supplier Name,Supplier ID,"Grants to Voluntary, Community and Social Enterprise Sector?"
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Passenger Shelter Cleaning,2606, 07/08/2014,HED0254554,£84.00,ATKINSON CLEANING SERVICES LTD,A0000010,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 28/08/2014,PCO0255006,£146.89,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 28/08/2014,PCO0254995,£24.21,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 07/08/2014,PCO0254311,£207.24,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 14/08/2014,PCO0254669,£5.34,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 07/08/2014,PCO0254308,£3.17,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 14/08/2014,PCO0254668,£3.66,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 14/08/2014,PCO0254671,£14.42,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 07/08/2014,PCO0254310,£13.31,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 07/08/2014,PCO0254339,£11.55,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 14/08/2014,PCO0254670,£13.10,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 14/08/2014,PCO0254717,£2.99,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 07/08/2014,PCO0254320,£12.69,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 07/08/2014,PCO0254318,£104.61,BARNES JB LIMITED,A0000202,No
