Election year,Area Code,Constituency,Candidate name,Party,Description,Candidate Votes,Candidate rank,Percentage of vote,Total constituency votes,Winning party,Majority,Electorate,%Turnout
2010,A11,Barking,Margaret Hodge,Lab,Labour,24628,1,54.3,45343,Lab,16555,73849,61.4
2010,A11,Barking,Simon Marcus,Cons,Conservative,8073,2,17.8,,,,,
2010,A11,Barking,Nick Griffin,BNP,British National Party,6620,3,14.6,,,,,
2010,A11,Barking,Dominic Carman,LibDem,Liberal Democrat,3719,4,8.2,,,,,
2010,A11,Barking,Frank Maloney,UKIP,UK Independence Party,1300,5,2.9,,,,,
2010,A11,Barking,George Hargreaves,Ch P,Christian Party,482,6,1.1,,,,,
2010,A11,Barking,Jayne Forbes,Green,Green,317,7,0.7,,,,,
2010,A11,Barking,Christopher David Dowling,MRL,Monster Raving Loony Party,82,8,0.2,,,,,
2010,A11,Barking,Thomas Darwood,Ind,Independent,77,9,0.2,,,,,
2010,A11,Barking,Dapo Sijuwola,RP,The Restoration Party,45,10,0.1,,,,,
2010,A20,Battersea,Jane Ellison,Cons,Conservative,23103,1,47.3,48792,Cons,5977,74265,65.7
2010,A20,Battersea,Martin Linton,Lab,Labour,17126,2,35.1,,,,,
2010,A20,Battersea,Layla Moran,LibDem,Liberal Democrat,7176,3,14.7,,,,,
2010,A20,Battersea,Guy Evans,Green,Green,559,4,1.1,,,,,
2010,A20,Battersea,Christopher MacDonald,UKIP,UK Independence Party,505,5,1.0,,,,,
2010,A20,Battersea,Hugh Salmon,Battersea,Putting the People of Battersea First,168,6,0.3,,,,,
2010,A20,Battersea,Tom Fox,Ind,Independent,155,7,0.3,,,,,
2010,A22,Beckenham,Bob Stewart,Cons,Conservative,27597,1,57.9,47686,Cons,17784,66231,72.0
2010,A22,Beckenham,Steve Jenkins,LibDem,Liberal Democrat,9813,2,20.6,,,,,
2010,A22,Beckenham,Damien Egan,Lab,Labour,6893,3,14.5,,,,,
2010,A22,Beckenham,Owen Brolly,UKIP,UK Independence Party,1551,4,3.3,,,,,
2010,A22,Beckenham,Roger Tonks,BNP,British National Party,1001,5,2.1,,,,,
2010,A22,Beckenham,Ann Garrett,Green,Green,608,6,1.3,,,,,
2010,A22,Beckenham,Dan Eastgate,ED,English Democrats,223,7,0.5,,,,,
2010,A24,Bermondsey and Old Southwark,Simon Hughes,LibDem,Liberal Democrat,21590,1,48.4,44651,LibDem,8530,77654,57.5
2010,A24,Bermondsey and Old Southwark,Val Shawcross,Lab,Labour,13060,2,29.2,,,,,
2010,A24,Bermondsey and Old Southwark,Loanna Morrison,Cons,Conservative,7638,3,17.1,,,,,
2010,A24,Bermondsey and Old Southwark,Stephen Tyler,BNP,British National Party,1370,4,3.1,,,,,
2010,A24,Bermondsey and Old Southwark,Tom Chance,Green,Green,718,5,1.6,,,,,
2010,A24,Bermondsey and Old Southwark,Alan Kirkby,Ind,Independent,155,6,0.3,,,,,
2010,A24,Bermondsey and Old Southwark,Steve Freeman,Ind,Independent,120,7,0.3,,,,,
2010,A26,Bethnal Green and Bow,Rushanara Ali,Lab,Labour,21784,1,42.9,50728,Lab,11574,81295,62.4
2010,A26,Bethnal Green and Bow,Ajmal Masroor,LibDem,Liberal Democrat,10210,2,20.1,,,,,
2010,A26,Bethnal Green and Bow,Abjol Miah,Respect,Respect the Unity Coalition,8532,3,16.8,,,,,
2010,A26,Bethnal Green and Bow,Zakir Khan,Cons,Conservative,7071,4,13.9,,,,,
2010,A26,Bethnal Green and Bow,Jeffrey Marshall,BNP,British National Party,1405,5,2.8,,,,,
2010,A26,Bethnal Green and Bow,Farid Bakht,Green,Green,856,6,1.7,,,,,
2010,A26,Bethnal Green and Bow,Patrick Brooks,Ind,Independent,277,7,0.5,,,,,
2010,A26,Bethnal Green and Bow,Alexander van Terheyden,Pirate,Pirate Party UK,213,8,0.4,,,,,
