"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","0.64","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","Analyst","2.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF2","39629","47127","Military","181.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF1","25727","34180","Military","308.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","6","38357","51595","Business Manager","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","84878","93304","Army","10.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF5","84878","93304","Officer","272.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Academic Prof of Music (Eng) - 2018","53112","53112","Teaching","0.94","Operational Delivery"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Head of Museum Specialist Function-Collections","38553","44711","Head of Museum Specialist Function-Collections","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Project Management","12.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B1","58674","72907","Admin Support Officer","0.81","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","VFM Research Manager","1.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF3","49918","59783","Military","289.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF2","39629","47127","Military","2495.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","6","38357","51595","Team Member","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70059","81123","Army","31.00","Military"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20668","Head of Musem Specialist Function - Public Programes","38553","44711","Head of Musem Specialist Function - Public Programes","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF4","70059","81123","Officer","1098.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Direct Military Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Estates Management","7.00","Property And Asset Management"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","B2","49835","60130","Admin Support Officer","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","4","20837","34168","Project Executive","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF4","70059","81123","Military","187.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF3","49918","59783","Military","1579.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","7","47947","61439","Deputy Account Manager","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","49918","59783","Army","95.00","Military"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Finance","38553","44711","Head of Finance","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF3","49918","59783","Officer","3372.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Port Operations","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Programme Management","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","3","18648","26498","Senior Analyst","2.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OF5","84878","93304","Military","75.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF4","70059","81123","Military","605.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Account Manager","6.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","39629","47127","Army","99.00","Military"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Senior IT Manager","38553","44711","Senior IT Manager","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF2","39629","47127","Officer","3961.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Retired Officer 2","31351","36696","Business Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Business Management","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","D","24362","29383","Admin Support Officer","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","4","2","100000","120000","Chief Analyst","1.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OR2","18306","29603","Military","14.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OF5","84878","93304","Military","166.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Deputy Account Manager","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF1","25727","34180","Army","20.00","Military"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Senior Photographic Officer","38553","44711","Senior Photographic Officer","0.66","Other"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OF1","25727","34180","Officer","1352.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Senior Medical Officer","76599","84551","Medical Assessment","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Knowledge Info Management","3.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","E1","19109","22345","Admin Support Officer","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OR3","25272","29603","Military","16.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OR2","18306","29603","Military","6873.00","Military"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","3","5","30889","42192","Associate Financial Analyst","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47018","50183","Army","51.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OR9","47018","50183","Enlisted Soldier","1141.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Medical Officer","58757","72907","Legal","0.81","Law"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Senior Curatorial Officer","31646","36696","Senior Curatorial Officer","6.32","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00206170","B1","58674","72907","Policy Advisor","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00155792","E1","19109","22345","Admin Support Officer","7.66","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00212421","OR4","29474","35028","Military","59.00","Military"
"Ministry of Defence","Ministry of Defence","Air Command","1017733","OR3","25272","29603","Military","230.00","Military"
"Ministry of Defence","Ministry of Defence","Single Source Regulations Office","3","3","18648","26498","Senior Financial Analyst","2.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","00000264","8","56529","71370","Team Member","4.81","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR8","40596","47421","Army","109.00","Military"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20668","On-Line Content Officer","31646","36696","On-Line Content Officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army Command","1167535","OR8","40596","47421","Enlisted Soldier","3264.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","PSALMO","58757","72907","Salvage and Marine Operations","1.00","Operational Delivery"
