Organisation Name (A),Department (B),Service Cat Label ©,Purpose of Spend (D),Expenditure CIPFA Sub Group €,Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Newspapers & Periodicals,4305,RUKHSAR KHALIQ - CARR ROAD NEWS,A0000067, 26/01/2017,DAL0276950,42.9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Newspapers & Periodicals,4305,RUKHSAR KHALIQ - CARR ROAD NEWS,A0000067, 26/01/2017,DAL0276950,53.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,ALARM,A0000081, 26/01/2017,AAS0277045,199,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,83.71,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,154.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,154.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,154.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,154.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,90.61,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,38.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,38.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,90.61,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,38.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 19/01/2017,PCO0276891,38.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 05/01/2017,PCO0276610,10.33,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 19/01/2017,OPS0276880,54,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 19/01/2017,PCO0276897,8.79,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 19/01/2017,PCO0276897,69.1,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/01/2017,PCO4005239,-27.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 19/01/2017,PCO0276894,4.35,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/01/2017,PCO0276962,9.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/01/2017,PCO0276971,9.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 05/01/2017,PCO0276541,22.43,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 26/01/2017,PCO0276971,27.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 19/01/2017,PCO0276894,33.98,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 05/01/2017,ENV0276570,27.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 19/01/2017,OPS0276880,5.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 19/01/2017,OPS0276880,150,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 26/01/2017,OPS0276943,33.84,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,BARNES JB LIMITED,A0000202, 19/01/2017,OPS0276868,51.94,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 12/01/2017,COR0276594,227.57,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 12/01/2017,PCO0276775,10.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 19/01/2017,PCO0276906,10.9,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 12/01/2017,EST0276779,17.09,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 12/01/2017,EST0276778,6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276885,9.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276884,19.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276889,11.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276889,25.83,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276884,17.52,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276884,20.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276885,29.76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 19/01/2017,PCO0276889,2.92,N,N/A,N,N/A
