DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,03/04/2014,Main Works Contract,Capital,Asteral Services Ltd,625950,204750
Department of Health,Whittington NHS Trust,03/04/2014,Domestic & Portering Service,Generic Workers,Buzz Housekeeping Services,632123,28591.97
Department of Health,Whittington NHS Trust,03/04/2014,Domestic & Portering Service,Generic Workers,Buzz Housekeeping Services,632120,26049.96
Department of Health,Whittington NHS Trust,03/04/2014,Sterile Services,Sterile Services,Ih Sterile Services Ltd,625238,44566.46
Department of Health,Whittington NHS Trust,03/04/2014,Other Ext General Services,Integrated Comm Equip Services,Islington Council,629189,112500
Department of Health,Whittington NHS Trust,03/04/2014,Prison Staf Service,Pentonville Prison,Ministry Of Justice,627919,219248.77
Department of Health,Whittington NHS Trust,03/04/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,628152,69788.15
Department of Health,Whittington NHS Trust,03/04/2014,Main Works Contract,Capital,Overbury Plc,631599,46308.6
Department of Health,Whittington NHS Trust,10/04/2014,Domestic & Portering Service,Generic Workers,Buzz Housekeeping Services,632118,25712.55
Department of Health,Whittington NHS Trust,10/04/2014,Sla-Liaison Psychiatry,Accident & Emergency,Camden & Islington Nhs Foundation Trust,617412,44898
Department of Health,Whittington NHS Trust,10/04/2014,Sla-Liaison Psychiatry,Accident & Emergency,Camden & Islington Nhs Foundation Trust,630095,44892
Department of Health,Whittington NHS Trust,10/04/2014,Hardware Maintenance,Patient Systems,Mckesson Inform Solutions Uk Ltd,616277,39829
Department of Health,Whittington NHS Trust,10/04/2014,Hardware Maintenance,Patient Systems,Mckesson Inform Solutions Uk Ltd,631946,39829
Department of Health,Whittington NHS Trust,10/04/2014,Nhs Clinical Services,Substance Misuse-Drug & Alcohol,Nhs Islington Ccg,631868,36778.2
Department of Health,Whittington NHS Trust,10/04/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,628150,66013.03
Department of Health,Whittington NHS Trust,10/04/2014,Main Works Contract,Capital,Storm Building Ltd,627822,80156.47
Department of Health,Whittington NHS Trust,10/04/2014,Medical Equipment,Capital,Stryker Uk,630987,29858.4
Department of Health,Whittington NHS Trust,11/04/2014,Equipment Purchase,Pentonville Prison,Globalmed Telemedicine Llc,635472,29386.55
Department of Health,Whittington NHS Trust,11/04/2014,Delivery costs,Pentonville Prison,Globalmed Telemedicine Llc,635472,49.23
Department of Health,Whittington NHS Trust,15/04/2014,CNST Premium,Risk Management,Nhs Litigation Authority,Direct Debit,573143
Department of Health,Whittington NHS Trust,15/04/2014,Insurance,Finance Director,Nhs Litigation Authority,Direct Debit,22647.8
Department of Health,Whittington NHS Trust,17/04/2014,Equipment Maintenance,Medical Physics,Ge Medical Systems Ltd,632050,28402.78
Department of Health,Whittington NHS Trust,17/04/2014,Other Ext General Services,Integrated Comm Equip Services,Islington Council,631304,112267
Department of Health,Whittington NHS Trust,17/04/2014,Rates-General,Estates,London Borough Of Islington,637179,108934
Department of Health,Whittington NHS Trust,17/04/2014,Rates-General,Estates,London Borough Of Islington,637181,25602
Department of Health,Whittington NHS Trust,17/04/2014,Main Works Contract,Capital,Lsg Electrical Services Ltd,630545,54614.83
Department of Health,Whittington NHS Trust,17/04/2014,Band 8c Senior Manager,Chief Operating Officer,Nhs Islington Ccg,631871,34861.4
Department of Health,Whittington NHS Trust,17/04/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,629476,55838.95
Department of Health,Whittington NHS Trust,17/04/2014,Main Works Contract,Capital,Overbury Plc,629862,433346.4
Department of Health,Whittington NHS Trust,17/04/2014,General Practioner Agency,Pentonville Prison,System Health Ltd,628231,44267
Department of Health,Whittington NHS Trust,17/04/2014,Stock-Pharmacy,Balance Sheet,The Royal Free London Nhs Ft,636597,62416.45
Department of Health,Whittington NHS Trust,24/04/2014,Medical Equipment,Capital,Arx Ltd,631416,189902.26
Department of Health,Whittington NHS Trust,24/04/2014,Main Works Contract,Capital,Carmelcrest Ltd,636093,141071.78
Department of Health,Whittington NHS Trust,24/04/2014,Main Works Contract,Capital,Carmelcrest Ltd,636111,56338.8
Department of Health,Whittington NHS Trust,24/04/2014,Childcare - Fideliti,Balance Sheet,Fideliti Ltd,639190,27012.81
Department of Health,Whittington NHS Trust,24/04/2014,Childcare Vouchers,Childcare,Fideliti Ltd,639190,291.74
Department of Health,Whittington NHS Trust,24/04/2014,Hardware Maintenance,Patient Systems,Mckesson Inform Solutions Uk Ltd,635480,39829
Department of Health,Whittington NHS Trust,24/04/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,631601,59307.57
Department of Health,Whittington NHS Trust,24/04/2014,Main Works Contract,Capital,Storm Building Ltd,632007,167423.89
Department of Health,Whittington NHS Trust,24/04/2014,Main Works Contract,Capital,Storm Building Ltd,631418,47807.75
Department of Health,Whittington NHS Trust,24/04/2014,Stock-Pharmacy,Balance Sheet,The Royal Free London Nhs Ft,638529,67599.66
Department of Health,Whittington NHS Trust,24/04/2014,Computer Hardware,Capital,Vodafone Corporate Ltd,634736,45276
Department of Health,Whittington NHS Trust,24/04/2014,Computer Hardware,Capital,Vodafone Corporate Ltd,634737,45276
