 Reference Number , Title of Agreement , Department Responsible , Description of Goods and/or Services , Supplier , Total Contract Value , Start Date ,End Date, Award Method , SME 
 5000000040I , Leisure Partnership , Adults and Communities , Provision of leisure services in the borough - Service Contract , Greenwich Leisure Ltd ,"£15,000,000", 01-Jan-2003 ,31/12/2017, ITT , N/A 
 5000000511I , SEN     (Underley Schools Ltd) , Children's Service , SEN (Underley Schools Ltd) , Underley Schools Ltd ,"£337,002", 22-Nov-2012 ,31/03/2018, Quote , N/A 
 5000000693I , PFI STREET LIGHTING , Street Scene , Provision and maintenance of borough street lighting , Barnet Lighting Services ,"£62,500,000", 21-Apr-2006 ,29/04/2031, OJEU - Restricted , N/A 
 5000002214E , Stationery(Office Depo) , CSG  , stationary , Office Depot UK Ltd ,"£800,000", 01-Apr-2010 ,31/03/2018, LCSG framework access agreement , N/A 
 5000002387I , SEN  (Kisimul Group Ltd) , Children's Service , SEN , Kisimul Group Ltd ,"£454,923", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002650I , SEN/Soc Care (Barnardos) , Children's Service , SEN , Barnardo Services Ltd ,"£610,245", 22-Nov-2012 ,31/03/2018, ITT , N/A 
 5000002651I , NASS SEN (Beth Jacob Grammer School) , Children's Service , SEN , Beth Jacob Grammer School for Girls Ltd ,"£122,360", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002653I , NASS SEN  (Cambian Autism Services) , Children's Service , SEN , Cambian Autism Services Ltd ,"£1,039,855", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002655I , NASS SEN (Egerton-Rothesay) , Children's Service , SEN , Egerton-Rothesay School Ltd ,"£156,620", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002657I , NASS SEN   (Insights ESC Ltd) , Children's Service , Semi-Independent Accomodation (Stonham Home) , Insights ESC Ltd ,"£529,368", 22-Nov-2012 ,30/03/2018, Framework , N/A 
 5000002658I , NASS SEN   (Menorah High School For , Children's Service , SEN , Menorah High School For Girls ,"£115,724", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002660I , NASS SEN   (Mill Hill Sch Fdn) , Children's Service , SEN , The Mill Hill School Foundation ,"£157,995", 21-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002662I , NASS SEN / Soc Care  (Nas Services Ltd) , Adults and Communities , SEN Placement  , Nas Services Ltd ,"£570,000", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002665I , Special Educational Needs Placement.-SEN , Children's Service , SEN , Senad Limited ,"£1,185,595", 01-Apr-2013 ,31/03/2018, Framework , N/A 
 5000002667I , SEN   (Tadley Horizon) , Children's Service , SEN , Tadley Horizon Priory ,"£446,156", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002669I , NASS SEN (Southover Partnership Ltd) , Children's Service , SEN , The Southover Partnership Limited ,"£757,327", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002670I , NASS SEN  (Transitional Care Ltd) , Children's Service , SEN , Transitional Care Ltd ,"£625,366", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002671I , NASS SEN (Treloar School) , Children's Service , SEN , Treloar School ,"£231,748", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002672I , NASS SEN (Ambitious About Autism) , Children's Service , SEN , Ambitious About Autism ,"£1,354,787", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002675I , SEN (Cruckton Hall School) , Children's Service , SEN , Cruckton Hall School ,"£515,916", 01-Apr-2011 ,31/03/2019, Framework , N/A 
 5000002676I , NASS SEN  (Kisharon Day School) , Children's Service , NASS SEN Placement (Kisharon Day School) , Kisharon Day School ,"£922,306", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002678I , SEN  (Nancy Reuben Primary) , Children's Service , SEN , Nancy Reuben Primary School ,"£38,368", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002682I , NASS SEN - North London International , Children's Service , SEN , The North London International School ,"£122,431", 01-Apr-2011 ,31/03/2018, Framework , N/A 
 5000002683I , NASS SEN  (Menorah Grammar School ) , Children's Service , SEN , Menorah Grammar School ,"£742,213", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002685I , NASS SEN  (Fairley House School ) , Children's Service , Special Educational Needs Placement (Fairley House) , Fairley House School ,"£547,735", 01-Apr-2011 ,31/03/2018, Framework , N/A 
 5000002688I , SEN (London Jewish Girls High) , Children's Service , NASS , London Jewish Girls High ,"£59,300", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002723I , NASS SEN (Abingdon House School) , Children's Service , SEN , Abingdon House School ,"£161,171", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002725I , SEN Child Placement   (CS) , Children's Service , Child Placement , Pield Heath House School ,"£149,500", 01-Sep-2012 ,31/03/2018, Quote , N/A 
 5000002747I , NASS SEN (Holmewood School) , Children's Service , SEN , The Holmewood School ,"£185,099", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002757I , NASS SEN   (Torah Vodaas Primary School) , Children's Service , SEN , Torah Vodaas Primary School ,"£138,000", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000002769I , SEN Placement (Hendon Prep) , Children's Service , SEN Placement - NASS/ NON PROCUREMENT , Hendon Preparatory ,"£40,000", 01-Apr-2014 ,31/03/2018, Quote , N/A 
 5000003191I , SEN Placement (Stormont) , Children's Service , SEN Placement - NASS/ NON PROCUREMENT , Stormont School ,"£40,000", 01-Apr-2014 ,31/03/2018, Quote , N/A 
 5000003586I , Care Homes Lease  (AD) , Adults and Communities , Care Homes Lease  (AD) , Catalyst Housing Ltd ,"£11,351,052", 28-Mar-2013 ,29/03/2034, ITT , N/A 
 5000003759I , Outings and holidays (DofE) , Children's Service , Outings & Holidays  , Kingswood Holiday Centre ,"£10,000", 01-Apr-2013 ,31/03/2018, Other , N/A 
 5000004276I , SEN   (Immanuel College) , Children's Service , SEN , Immanuel College ,"£83,890", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000004277I , SEN (Muntham House School) , Children's Service , SEN , Muntham House School ,"£221,323", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000004280I , SEN  (St Martha's Senior School) , Children's Service , SEN , St Martha's Senior School ,"£33,250", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000004290I , SEN Placement (Haberdashers) , Children's Service , SEN Placement - NASS/ NON PROCUREMENT , Haberdasher's Aske's School For Girls ,"£40,000", 01-Apr-2014 ,31/03/2018, Quote , N/A 
 5000004297I , NASS SEN  (The Pace Centre) , Children's Service , SEN , The Pace Centre ,"£292,514", 22-Nov-2012 ,31/03/2018, Framework , N/A 
 5000004412I , NASS Child Placement  (CS) , Children's Service , Non-Procurement , The Noam Primary School ,"£25,231", 02-Jan-2013 ,31/03/2018, Framework , N/A 
