Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321969332,31261.1
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321969332,6252.22
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321966335,22149.55
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321966335,4429.91
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,Agency Medical Consultant,Medicine,TOTAL ASSIST RECRUITMENT LTD,20077368,26153.46
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,Agency Medical Consultant,Medicine,TOTAL ASSIST RECRUITMENT LTD,20077368,5230.69
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,OCT 17 NDR,114356
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,SERVICES  -  OTHER,Corporate - Finance & Procurement,GREAT WESTERN HOSPITALS NHS FT,16973255,52197
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,DRUGS,Clinical Support,BAYER PLC,187487769,21850
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,DRUGS,Clinical Support,BAYER PLC,187487769,4370
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,DRUGS,Clinical Support,JANSSEN-CILAG LTD,930343192,32839.04
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,DRUGS,Clinical Support,JANSSEN-CILAG LTD,930343192,6567.81
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501442,194025
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501442,38805
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MEDPROSTH - OTHER,Medicine,BOSTON SCIENTIFIC LTD,7161700881,25300
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MEDPROSTH - OTHER,Medicine,BOSTON SCIENTIFIC LTD,7161700881,5060
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,AQUILANT ENDOSCOPY,AQ67819,43536
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support,AQUILANT ENDOSCOPY,AQ67819,177302.4
