Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,01/05/2014,CARTWHEEL ARTS,Arts & Leisure Services,CUSTOMERS & CORPORATE SERVICES,COMMUNITY COHESION STAFFING,"£6,555.00"
Rochdale,01/05/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£302,575.00"
Rochdale,01/05/2014,LINK4LIFE (TRADING),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£7,300.00"
Rochdale,14/05/2014,M6 THEATRE COMPANY ROCHDALE,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,CREATIVE EMPL PROGRAMME,"£2,250.00"
Rochdale,14/05/2014,MULTICULTURAL ARTS AND MEDIA CENTRE,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,CREATIVE EMPL PROGRAMME,"£2,250.00"
Rochdale,14/05/2014,SKYLIGHT CIRCUS ARTS,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,CREATIVE EMPL PROGRAMME,"£2,250.00"
Rochdale,28/04/2014,THE AWARDS SCHEME LTD,Arts & Leisure Services,EARLY HELP AND SCHOOLS,DUKE OF EDINBURGH SCHEME,"£1,310.00"
Rochdale,01/05/2014,MIDDLETON TRAMPOLINING CLUB,Arts & Leisure Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,"£5,458.16"
Rochdale,01/05/2014,SHINING STARS SWIMMING SCHEME,Arts & Leisure Services,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,"£8,075.00"
Rochdale,08/05/2014,NOTTSSPORT,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,£708.32
Rochdale,08/05/2014,NOTTSSPORT,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,"£2,889.80"
Rochdale,21/05/2014,NOTTSSPORT,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND REPLACEMENT EQUIP,"£4,220.71"
Rochdale,01/05/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,PUBLIC HEALTH,ROCHDALE ASIAN HEALTHY FAMILIES,£638.00
Rochdale,01/05/2014,ENLIGHTENING,Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£3,208.34"
Rochdale,01/05/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£8,627.50"
Rochdale,01/05/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£8,417.50"
Rochdale,01/05/2014,SKYLIGHT CIRCUS ARTS,Arts & Leisure Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£1,708.34"
Rochdale,30/05/2014,RICHARD BATTERSBY (CORN MERCHANTS) LTD,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,SPORTS PITCHES BOROUGHWIDE,"£4,501.00"
Rochdale,07/05/2014,BSP ELECTRICAL & ENGINEERING LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£852.20
Rochdale,29/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,11 TELFORD WAY,"£9,359.95"
Rochdale,23/05/2014,J C MILLS & SON LIMITED,Building Construction Materials,EARLY HELP AND SCHOOLS,ALL SOULS HEATING CONTROL SYSTEM,"£1,109.32"
Rochdale,23/05/2014,CLONSHALL LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,B`LEE CHANGING REPLACE ROOF & PANELLING,"£4,803.30"
Rochdale,30/04/2014,NORWOOD ELECTRICAL (UK) LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£1,936.35"
