Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Justice,Land Registry,Chief Executive's Office,1,EO,22437,26688,,5,
Ministry of Justice,Land Registry,Chief Executive's Office,1,HEO,26228,32772,,6.92,
Ministry of Justice,Land Registry,Chief Executive's Office,1,SEO,32974,47648,,2.94,
Ministry of Justice,Land Registry,Chief Executive's Office,1,G7,48880,59249,,1,
Ministry of Justice,Land Registry,Chief Executive's Office,1,G6,51131,72134,,1,
Ministry of Justice,Land Registry,Information Systems,2,AO,18649,21709,,20.98,
Ministry of Justice,Land Registry,Information Systems,2,EO,22437,26688,,207.92,
Ministry of Justice,Land Registry,Information Systems,2,HEO,26228,32772,,173.65,
Ministry of Justice,Land Registry,Information Systems,2,SEO,32974,47648,,100.55,
Ministry of Justice,Land Registry,Information Systems,2,G7,48880,59249,,12.6,
Ministry of Justice,Land Registry,Information Systems,2,G6,51131,72134,,8.43,
Ministry of Justice,Land Registry,HR Group,3,AA,15913,18973,,16,
Ministry of Justice,Land Registry,HR Group,3,AO,18649,21709,,46.49,
Ministry of Justice,Land Registry,HR Group,3,EO,22437,26688,,85.99,
Ministry of Justice,Land Registry,HR Group,3,HEO,26228,32772,,67.37,
Ministry of Justice,Land Registry,HR Group,3,SEO,32974,47648,,62.82,
Ministry of Justice,Land Registry,HR Group,3,G7,48880,59249,,12,
Ministry of Justice,Land Registry,HR Group,3,G6,51131,72134,,5,
Ministry of Justice,Land Registry,Legal Services Group,4,AO,18649,21709,,1,
Ministry of Justice,Land Registry,Legal Services Group,4,EO,22437,26688,,5.59,
Ministry of Justice,Land Registry,Legal Services Group,4,HEO,26228,32772,,9.86,
Ministry of Justice,Land Registry,Legal Services Group,4,SEO,32974,47648,,9,
Ministry of Justice,Land Registry,Legal Services Group,4,G7,48880,59249,,2,
Ministry of Justice,Land Registry,Legal Services Group,4,G6,51131,72134,,4.27,
Ministry of Justice,Land Registry,Operations Directorate,5,AA,15913,18973,,114.47,
Ministry of Justice,Land Registry,Operations Directorate,5,AO,18649,21709,,338.52,
Ministry of Justice,Land Registry,Operations Directorate,5,EO,22437,26688,,2233.57,
Ministry of Justice,Land Registry,Operations Directorate,5,HEO,26228,32772,,1434.13,
Ministry of Justice,Land Registry,Operations Directorate,5,SEO,32974,47648,,277.6,
Ministry of Justice,Land Registry,Operations Directorate,5,G7,48880,59249,,2,
Ministry of Justice,Land Registry,Operations Directorate,5,G6,51131,72134,,16.6,
Ministry of Justice,Land Registry,Finance Directorate,6,AA,15913,18973,,0.83,
Ministry of Justice,Land Registry,Finance Directorate,6,AO,18649,21709,,10,
Ministry of Justice,Land Registry,Finance Directorate,6,EO,22437,26688,,18.61,
Ministry of Justice,Land Registry,Finance Directorate,6,HEO,26228,32772,,21.49,
Ministry of Justice,Land Registry,Finance Directorate,6,SEO,32974,47648,,14.22,
Ministry of Justice,Land Registry,Finance Directorate,6,G7,48880,59249,,7,
Ministry of Justice,Land Registry,Finance Directorate,6,G6,51131,72134,,1,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,AO,18649,21709,,2.5,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,EO,22437,26688,,8.59,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,HEO,26228,32772,,36.86,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,SEO,32974,47648,,23.71,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,G7,48880,59249,,7,
Ministry of Justice,Land Registry,Commercial and Customer Directorate,7,G6,51131,72134,,2,
Ministry of Justice,Land Registry,Legal Services Group,8,AO,18649,21709,,1,
Ministry of Justice,Land Registry,Legal Services Group,8,HEO,26228,32772,,2,
Ministry of Justice,Land Registry,Legal Services Group,8,SEO,32974,47648,,1,
Ministry of Justice,Land Registry,Legal Services Group,8,G6,51131,72134,,5,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,AO,18649,21709,,4,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,EO,22437,26688,,12.67,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,HEO,26228,32772,,4,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,SEO,32974,47648,,9.27,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,G7,48880,59249,,1,
Ministry of Justice,Land Registry,Legal Services Group,9 to 28,G6,51131,72134,,100.45,
