OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CR0564427512695,Building work,ENVIRONMENT & HOUSING,,,16/01/2017,,,,,"£7,500.00",,"A & P CRONTRACTORS LTD, Unit 25  Royds Enterprise Park, NULL, BRADFORD, BD6 3EW",,Other/Not known,,Coral Wealthall,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,BR29524274481575,Installation of Flue System,ENVIRONMENT & HOUSING,,,09/01/2017,,,,,"£6,010.00",,"A1 BRIDGE FLUE SYSTEMS, Boughton Industrial Estate, New Ollerton, NEWARK  NOTTS, NG22 9ZD",,d) Medium,,Phil Rigby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,WA251742748S0375246,University Leaving Care Rents,CHILDRENS SERVICES,,,13/01/2017,,,,,"£5,253.93",,"BANGOR UNIVERSITY, Finance Office, Caederwen, College Road, Bangor, GWYNEDD, LL57 2DG",,Other/Not Known,,Iain Dunn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,BA02204274112791,South Bank Banners,CITY DEVELOPMENT,,,06/01/2017,,,,,"£17,654.00",,"BAY MEDIA LTD, 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,c) Small,,Nigel Robinson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,BE793742744MPK/JS/607/AC/IC6,Leeds Central Library and Art Gallery Roofing Works,CITY DEVELOPMENT,,,09/01/2017,,,,,"£174,810.02",,"BERMAR BUILDING COMPANY LTD, Unit 2 Bull Royd Industrial Es, Bull Royd Lane, BRADFORD   WEST YORK, BD8 0LH",,d) Medium,,Phil Rigby,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,ZZ33124274609JAN-05FEB,Residential Care,ADULT SOCIAL CARE,,,11/01/2017,,,,,"£19,621.79",,"BOWDEN LODGE PRIORY, ",,Other/Not Known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,BR200742753LCC/01,Research and strategy report - Leeds Legal Service,CITY DEVELOPMENT,,,18/01/2017,,,,,"£5,700.00",,"BRANKSOME PARTNERS LIMITED, ",,Other/Not Known,,Jennifer Young,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CA259242739452,Residental fees,CHILDRENS SERVICES,,,04/01/2017,,,,,"£17,957.99",,"CARE IN MIND RESIDENTIAL, 2 Hilliards Court, Chester Business Park, CHESTER, CH4 9PX",,Other/Not Known,,Clare Lynam,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CA569642741E05/12/2016,Home Care,ADULT SOCIAL CARE,,,06/01/2017,,,,,"£48,635.09",,"CAREMARK (LEEDS), Northwest Business Park, 1 Servia Hill, LEEDS, LS6 2QH",,b) Micro,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CE023X427486000054891,Deposit for Exhibition Space,CITY DEVELOPMENT,,,13/01/2017,,,,,"£5,000.00",,"CENTAUR COMMUNICATIONS LTD, Wells Point   79 Wells Street, NULL, LONDON, W1T 3QN",,b) Micro,,Jennifer Young,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CH262242746INV-451,Provision of 38 Sessions of Dramatherapy,CHILDRENS SERVICES,,,11/01/2017,,,,,"£8,106.67",,"CHROMA THERAPIES LTD, ",,Other/Not Known,,Iain Dunn,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CL00364275531349,4 Display Cases for Kirkstall Abbey,CITY DEVELOPMENT,,,20/01/2017,,,,,"£6,507.20",,"CLICK NETHERFIELD LIMITED, The Glassworks 6b Grange Road, Houstoun Industrial Estate, LIVINGSTON, EH54 5DE",,d) Medium,,John Roles,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CL075442758H398063,Installation of Fire Alarm System,ENVIRONMENT & HOUSING,,,23/01/2017,,,,,"£20,770.72",,"CLYMAC LIMITED, Cloudway Court, Belton Road, LOUGHBOROUGH, LE11 1LW",,d) Medium,,Phil Rigby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CO3107427532017/0020/3433/PO644,Works at Glebelands,CITY DEVELOPMENT,,,18/01/2017,,,,,"£7,971.91",,"COLAS LTD, Wallage Lane, Rowfant, CRAWLEY, RH10 4NF",,e) Large,,Ian Hope,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CO165442754106265,Home Care,ADULT SOCIAL CARE,,,19/01/2017,,,,,"£21,579.64",,"COMPLETE CARE AGENCY, 1 Airport West, First Floor Lancaster Way, LEEDS, LS19 7ZA",,b) Micro,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,CO0960427471049764,Winter Deleafing,ENVIRONMENT & HOUSING,,,12/01/2017,,,,,"£37,733.34",,"CONTINENTAL LANDSCAPES LTD, Wychwood House  Landscape Close, Weston On The Green, BICESTER, OX25 3SX",,e) Large,,John Woolmer,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,ZZ32754274609JAN-05FEB,Residential Care,ADULT SOCIAL CARE,,,11/01/2017,,,,,"£5,042.12",,"CROFT HOUSE, 52a High Street, Gawthorpe, OSSETT, WF5 9RL",,Other/Not Known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,BE1009427472203389,Legal Fees,CENTRAL & CORPORATE,,,12/01/2017,,,,,"£6,529.60",,"DAC BEACHCROFT LLP, Administration Centre Portwall Place, Portwall Lane, BRISTOL, BS1 9HS",,e) Large,,Claire Hyde,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,DA201J4276056542,IT Equipment,CHILDRENS SERVICES,,,25/01/2017,,,,,"£11,884.00",,"DATACABLE LTD, Keighley Business Centre, South Street, KEIGHLEY, BD21 1AG",,c) Small,,Nigel Wilson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,DC027042761013,Theming Schemes for indoor Display Areas in Tropical World,ENVIRONMENT & HOUSING,,,26/01/2017,,,,,"£22,000.00",,"DCR THEMING LIMITED, 4 Dalmorton Road, Chorlton-Cum-Hardy, MANCHESTER, M21 0YQ",,Other/Not known,,Michael Kinnaird,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28-Feb,DI002742761SV028802,Supply of Dishwasher,ENVIRONMENT & HOUSING,,,26/01/2017,,,,,"£10,746.00",,"DISHWASHERS DIRECT LIMITED, Deep Furrow Avenue, Carlton, CARLTON, NG4 1RS",,Other/Not Known,,Pamela Stevenson,Quotes
