"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Crown Advocate (Lon)","50660","63814","Duty Prosecutor","3.86","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Crown Advocate (Nat)","47605","59285","Duty Prosecutor","5.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Crown Advocate CPSD (Lon)","50660","63752","Duty Prosecutor","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Crown Advocate CPSD (Nat)","47605","59285","Duty Prosecutor","8.89","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level A2 (Nat)","15949","19684","Administrative Officer","8.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Communications Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Finance Manager","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Performance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Senior Personal Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B1 (Nat)","20277","25888","Workforce Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B2 (Nat)","25972","30616","HR Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level B3 (Nat)","32228","39876","Area Operations Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Admin (Nat)","45191","58489","Business Change and Delivery Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Lon)","48665","63752","Legal Manager","4.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Nat)","45191","58489","Legal Manager","15.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level D Legal (Nat)","45191","58489","Strategic Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level E Admin (Lon)","65005","74445","Area Business Manager","0.76","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","CPS DIRECT","CPS-G-018","Level E Legal (Lon)","65005","74445","Head of Unit","1.00","Operational Delivery"
