Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534907,,PR3672 Aylsham A140 Roundabout - Payment of Toppesfield Account,,Community and Environmental Services,,,PR3672 Aylsham A140 Roundabout - Payment of Toppesfield Account,HIGHWAYS-WORKS.CONSTRUCTION,,,,,,,700000,,0,TOPPESFIELD LTD,,,2260341,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545023,,The Syrian refugee programme,,Adult Social Care,,,The Syrian refugee programme,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,270000,,0,NORWICH CITY COUNCIL,,,90769,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539973,,Norfolk Citizens Advice Bureau - CAB Contract - 1/1/17 - 30/6/17 payment,,Adult Social Care,,,Norfolk Citizens Advice Bureau - CAB Contract - 1/1/17 - 30/6/17 payment,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,127698.24,,0,NORFOLK CITIZENS ADVICE BUREAU,,,1084865,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,528255,,"Spire Professional fee's. Expansion of Bowthorpe, St. Michaels 28.10.16",,Children's Services,,,"Spire Professional fee's. Expansion of Bowthorpe, St. Michaels 28.10.16",FM-TOTAL FACILITIES MANAGEMENT,,,,,,,118331.3,,0,SPIRE SUPPORT SERVICES LIMITED,,,1998929,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540370,,Fund transfer request for local welfare provision,,Finance & Property,,,Fund transfer request for local welfare provision,GRANTS.GRANTS TO BUSINESSES,,,,,,,100000,,0,FAMILY FUNDS TRADING LIMITED,,,1084835,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544464,,2017/18 NCC contribution to New Anglia Local Enterprise Partnership,,Community and Environmental Services,,,2017/18 NCC contribution to New Anglia Local Enterprise Partnership,GRANTS.GRANTS TO BUSINESSES,,,,,,,75000,,0,NEW ANGLIA LOCAL ENTERPRISE PARTNERSHIP LIMITED,,,737769,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538869,,Reed Business Information Limited - Community Care Event - 26/27th September 2017 - London,,Children's Services,,,Reed Business Information Limited - Community Care Event - 26/27th September 2017 - London,HR-RECRUITMENT.RECRUITMENT OF PERMANENT STAFF,,,,,,,66460,,0,REED BUSINESS INFORMATION LIMITED,,,73845,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539352,,Strong and Well Funding,,Adult Social Care,,,Strong and Well Funding,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,53500,,0,KING'S LYNN & WEST NORFOLK BOROUGH COUNCIL,,,79830,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534836,,NCC's contribution to the implementation of changes to Council Tax.,,Finance & Property,,,NCC's contribution to the implementation of changes to Council Tax.,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,50000,,0,SOUTH NORFOLK DISTRICT COUNCIL,,,74707,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535407,,"Services of an interim Programme Director, for Norfolk & Waveney STP",,Adult Social Care,,,"Services of an interim Programme Director, for Norfolk & Waveney STP",RESEARCH AND EVALUATION,,,,,,,50000,,0,FINEGREEN ASSOCIATES,,,2263215,,,,,,
