DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,03/10/2014,Legal Fees,Hr Operations,Bevan Brittan Llp,680572,33597.65
Department of Health,Whittington NHS Trust,03/10/2014,Legal Fees,Hr Operations,Bevan Brittan Llp,680742,33597.65
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680600,24658.91
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680602,24566.94
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680602,117.44
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680598,26413.33
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680598,125.22
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680599,26936.45
Department of Health,Whittington NHS Trust,03/10/2014,External Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,680599,-1.72
Department of Health,Whittington NHS Trust,03/10/2014,Teaching/Training Expenditure,Paediatric Service,Fischer Associates,679859,40000
Department of Health,Whittington NHS Trust,03/10/2014,Sterile Services,Sterile Services,Ih Sterile Services Ltd (Hcl Med Tech),678239,45743.11
Department of Health,Whittington NHS Trust,03/10/2014,Ambulance Contract,Transport,Medical Services Ltd,679300,58252
Department of Health,Whittington NHS Trust,03/10/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,674877,40691.99
Department of Health,Whittington NHS Trust,03/10/2014,Hardware Maintenance,Technical Services,Pcti Solutions Ltd,674441,40000
Department of Health,Whittington NHS Trust,03/10/2014,Equipment Maintenance,Wheelchair Services,Tann Autos,681128,37974.75
Department of Health,Whittington NHS Trust,09/10/2014,Hardware Maintenance,Finance Director,Advanced Business Solutions,682934,28102.8
Department of Health,Whittington NHS Trust,09/10/2014,Medical Equipment,Capital,Bruker Uk Ltd,678737,70350
Department of Health,Whittington NHS Trust,09/10/2014,Hardware Maintenance,Ict Department,Bt Engage It,678657,59836.99
