Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,228,,ANPR for car parks,,Environment,,,ANPR for car parks,,,,,,26/02/2013,25/02/2018,01/10/2017,25/02/2020,1200000,,,APT Control Ltd - Veri-Park,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,289,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,Advance Tree Services Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,290,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,Glendale Countryside Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,291,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,Gristwood & Toms Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,292,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,High Elms Tree Surgery ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,293,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,J W Salmon - Aboricultural Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,294,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,,R Watts & Sons,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,304,,Audio-Visual Equipment for meeting Rooms,,Human Resources ICT/CSC & Shared Support Services,,,Audio-Visual Equipment for meeting Rooms,,,,,,01/12/2014,30/04/2015,30/04/2015,,22200,,,On-Av Ltd,,,,,,,,Paul.Spencer@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,221,,Bailiff for parking charge recovery,,Environment,,,Bailiff for parking charge recovery,,,,,,01/07/2013,30/06/2015,01/05/2015,,0,,,JBW Ltd,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/05/2015,115,,Banking contract,,Finance & Commercial,,,Banking contract,,,,,,01/04/2014,31/03/2017,30/09/2016,,90000,,,Nat West,,,,,,,,Steve.Richardson@wycombe.gov.uk,
