Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 4, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,2850,03/02/2016
"Suite 2 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Craggs Fuel Cards Ltd,2325,01/12/2015
"Suite 7 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Round Bank Engineering Ltd,870,19/10/2015
"Suite 6 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Vanden Recycling Ltd,1950,03/03/2016
"Unit 6 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",,2650,31/08/2015
"Picture House Buildings, New Road, Hebden Bridge, HX7 8AD",Valley Taxis Ltd,3850,01/11/2015
"Unit E Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,5900,01/04/2016
"79 Southgate, Elland, HX5 0EP",Armitage & Barker Ltd,3850,01/04/2016
"Unit 4, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",Matthew Sheard & Sons Ltd,2000,01/04/2016
"Unit 6A Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",Specialised Coatings Holdings Ltd,12750,01/04/2016
"Unit B4 Lowfields Close, Lowfields Business Park, Elland, HX5 9DX",Wynne Systems Uk Ltd,62000,01/04/2016
"Heart Gallery Arts Centre, 4 Market Street, Hebden Bridge, HX7 6AA",,1375,27/12/2015
"34 Wharf Street, Sowerby Bridge, HX6 2AE",Armitage & Barker Ltd,7900,01/04/2016
"The Works, 12 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",S J Works Ltd,60000,01/04/2016
"1 Wakefield Road, Sowerby Bridge, HX6 2AP",Donaldsons Vets Ltd,9300,01/04/2016
"Unit 6 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH",Edwards Excavations Ltd,23750,01/04/2016
"Weir Valves, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",,12750,01/04/2016
"(Former Ling Leisure), West Park Street, Brighouse, HD6 1DU",Clinical Pilates (Yorkshire) Limited,11750,08/02/2016
"11 Northgate, Halifax, HX1 1UR",Food Therapy Halifax Ltd,21250,06/04/2016
"Unit B2, Lowfields Close, Lowfields Business Park, Elland               HX5 9DX",Wynne Systems Uk Ltd,52000,01/04/2016
