Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,12-May-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NDR MAY 17,114002
Department of Health,Salisbury NHS Foundation Trust,12-May-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NDR MAY 17,2
Department of Health,Salisbury NHS Foundation Trust,12-May-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NDR MAY 17,354
Department of Health,Salisbury NHS Foundation Trust,31-May-17,Contracted Repairs - Mechanical,Corporate - ETS,ZURICH MUNICIPAL,E1 11NB370017,21731.37
Department of Health,Salisbury NHS Foundation Trust,31-May-17,Contracted Repairs - Mechanical,Corporate - ETS,ZURICH MUNICIPAL,E1 11NB370017,4346.27
Department of Health,Salisbury NHS Foundation Trust,26-May-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067,175000
Department of Health,Salisbury NHS Foundation Trust,26-May-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067,35000
Department of Health,Salisbury NHS Foundation Trust,05-May-17,SERVICES  -  RECRUITMENT AGENCY FEES,Quality,MEDACS HEALTHCARE SERVICES PLC,678-102260,35568
Department of Health,Salisbury NHS Foundation Trust,19-May-17,LAB EQUIP-ANALYSERS,Clinical Support,BECKMAN COULTER,1377651,44039.11
Department of Health,Salisbury NHS Foundation Trust,19-May-17,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,1018004861,11.12
Department of Health,Salisbury NHS Foundation Trust,19-May-17,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,1018004861,22.23
Department of Health,Salisbury NHS Foundation Trust,19-May-17,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,1018004861,11.12
Department of Health,Salisbury NHS Foundation Trust,19-May-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018004861,6.53
Department of Health,Salisbury NHS Foundation Trust,19-May-17,MEDSURGCONS - OTHER,Clinical Support,NHS LOGISTICS,1018004861,30.16
Department of Health,Salisbury NHS Foundation Trust,19-May-17,MEDSURGCONS - OTHER,Clinical Support,NHS LOGISTICS,1018004861,38.81
Department of Health,Salisbury NHS Foundation Trust,19-May-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018004861,9918.45
Department of Health,Salisbury NHS Foundation Trust,19-May-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018004861,3306.15
Department of Health,Salisbury NHS Foundation Trust,19-May-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018004861,1.85
Department of Health,Salisbury NHS Foundation Trust,19-May-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018004861,1.57
Department of Health,Salisbury NHS Foundation Trust,19-May-17,DISPOSABLE THEATRE DRAPES WIPES,Surgery,NHS LOGISTICS,1018004861,4.15
Department of Health,Salisbury NHS Foundation Trust,19-May-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018004861,1.85
Department of Health,Salisbury NHS Foundation Trust,19-May-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Medicine,NHS LOGISTICS,1018004861,5.53
