Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Puprose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Engineering & Special Projects,Capital Costs,CD14,Capital : Payments,18TH PENDLE SCOUTING,A0088709, 19/03/2015,�250.00,HED0259927,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2002,Bldgs : R & M : Abnormal,A BINNS & CO,A0057121, 26/03/2015,�570.00,HED0260355,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4705,Other Expenses,A J LIGHTING & SOUND LIMITED,A0090226, 19/03/2015,�100.00,DAL0260001,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/03/2015,�244.87,AAS0260856,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/03/2015,�169.62,AAS0260854,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�3.95,AAS0259755,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�10.00,AAS0259754,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�10.00,AAS0259755,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�10.00,AAS0259757,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�10.96,AAS0259754,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�34.03,AAS0259756,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 12/03/2015,�451.59,AAS0259756,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4705,Other Expenses,ALPINE TAXIS,A0063813, 12/03/2015,�34.00,HED0259743,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4201,Protective Clothing,REDACTED,A0051747, 26/03/2015,�40.00,ENV0260316,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,CD14,Capital : Payments,APS AEGIS LTD,A0082005, 19/03/2015,"�3,035.00",HED0260149,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,3806,Car Allows : Offs : Lease Exps,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 12/03/2015,-�192.93,PER0259687,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,3806,Car Allows : Offs : Lease Exps,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 12/03/2015,�367.50,PER0259687,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2001,Bldgs : R & M : Day To Day,ARROWLINE,A0077222, 19/03/2015,�112.00,HED0260148,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,2001,Bldgs : R & M : Day To Day,ARROWLINE,A0077222, 19/03/2015,�168.00,HED0260148,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�36.54,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�48.06,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�296.58,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�230.09,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�191.03,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�280.53,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�125.91,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�143.12,AAS0260860,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 04/03/2015,�87.28,AAS0260860,N,N/A,N,N/A
