year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2006,LOCAL,Hyde Park and Woodhouse Ward,RHODES-CLAYTON,LINDA VALERIE,Liberal Democrats,1099,41,ELECTED,15538
2006,LOCAL,Hyde Park and Woodhouse Ward,KAINYEK,MINA,The Labour Party Candidate,1072,41,,15538
2006,LOCAL,Hyde Park and Woodhouse Ward,SUNDERLAND,TIM JOHN,Green Party,501,41,,15538
2006,LOCAL,Hyde Park and Woodhouse Ward,NEAFCY,GILES EDWARD,Independent,79,41,,15538
2006,LOCAL,Hyde Park and Woodhouse Ward,ARFAN,MUHAMMAD,The Alliance for Green Socialism,79,41,,15538
2006,LOCAL,Killingbeck and Seacroft Ward,SELBY,BRIAN MICHAEL,The Labour Party Candidate,2696,11,ELECTED,16577
2006,LOCAL,Killingbeck and Seacroft Ward,MORGAN,VERONICA,The Labour Party Candidate,2417,11,ELECTED,16577
2006,LOCAL,Killingbeck and Seacroft Ward,GEAPIN,GEORGE,British National Party,1017,11,,16577
2006,LOCAL,Killingbeck and Seacroft Ward,TAIT,MARGARET,Liberal Democrats,872,11,,16577
2006,LOCAL,Killingbeck and Seacroft Ward,WARRINGTON,RICHARD THOMAS,British National Party,860,11,,16577
2006,LOCAL,Killingbeck and Seacroft Ward,FISHER,SADIE,Liberal Democrats,848,11,,16577
2006,LOCAL,Killingbeck and Seacroft Ward,ANDERSON,CAROLINE HELEN,The Conservative Party Candidate,592,11,,16577
2006,LOCAL,Killingbeck and Seacroft Ward,TOWNSLEY,DONALD HOLFORD,The Conservative Party Candidate,542,11,,16577
2006,LOCAL,Headingley Ward,HAMILTON,MARTIN,Liberal Democrats,1067,13,ELECTED,13609
2006,LOCAL,Headingley Ward,MITCHELL,KATHERINE HELEN,The Labour Party Candidate,641,13,,13609
2006,LOCAL,Headingley Ward,JEFFRIES,LESLEY EVELYN,Green Party,469,13,,13609
2006,LOCAL,Headingley Ward,WALES,CHRISTOPHER ROAN,The Conservative Party Candidate,299,13,,13609
2006,LOCAL,Headingley Ward,DE SOUZA VIGNESWAREN,SEQUOYAH,The Alliance for Green Socialism,84,13,,13609
2006,LOCAL,Armley Ward,HARPER,JANET,The Labour Party Candidate,2214,13,ELECTED,17327
2006,LOCAL,Armley Ward,ALLEN,BERNARD ADRIAN,British National Party,921,13,,17327
2006,LOCAL,Armley Ward,NELSON,JACQUELINE NICOLE,Green Party,740,13,,17327
2006,LOCAL,Armley Ward,BROADBENT,GLENN,The Conservative Party Candidate,713,13,,17327
2006,LOCAL,Armley Ward,GOLTON,CHRISTINE MAVIS,Liberal Democrats,677,13,,17327
2006,LOCAL,Ardsley and Robin Hood Ward,MULHERIN,LISA,The Labour Party Candidate,1884,23,ELECTED,15743
2006,LOCAL,Ardsley and Robin Hood Ward,BOYNTON,DAVID,The Conservative Party Candidate,1372,23,,15743
2006,LOCAL,Ardsley and Robin Hood Ward,HIRST,JOHN DARRELL,British National Party,1182,23,,15743
2006,LOCAL,Ardsley and Robin Hood Ward,MOORE,PHILIP HARRISON,Liberal Democrats,821,23,,15743
2006,LOCAL,Adel and Wharfedale Ward,FOX,CLIVE JAN,The Conservative Party Candidate,4128,25,ELECTED,16129
2006,LOCAL,Adel and Wharfedale Ward,SHAW,CHRISTINA,Liberal Democrats,2085,25,,16129
2006,LOCAL,Adel and Wharfedale Ward,GARVANI,JOHN,The Labour Party Candidate,941,25,,16129
2006,LOCAL,Adel and Wharfedale Ward,ELLIOTT,STEPHEN EDWARD,English Democrats Party,563,25,,16129
2006,LOCAL,Burmantofts and Richmond Hill Ward,HOLLINGSWORTH,DAVID EWAN,Liberal Democrats,2182,15,ELECTED,15272
2006,LOCAL,Burmantofts and Richmond Hill Ward,HARDY,JOHN HAMILTON,The Labour Party Candidate,1634,15,,15272
2006,LOCAL,Burmantofts and Richmond Hill Ward,COLLETT,MARK ADRIAN,British National Party,1124,15,,15272
2006,LOCAL,Burmantofts and Richmond Hill Ward,O'RIORDAN,SIMON JOHN PATRICK,The Conservative Party Candidate,214,15,,15272
2006,LOCAL,Morley South Ward,BEVERLEY,CHRISTOPHER JAMES,British National Party,2083,14,ELECTED,16211
2006,LOCAL,Morley South Ward,ELLIOTT,MICHAEL TERENCE,Morley Borough Independents,1790,14,,16211
2006,LOCAL,Morley South Ward,BRADLEY,SHERRY,The Labour Party Candidate,1407,14,,16211
2006,LOCAL,Morley South Ward,JAMIESON,KEELY JOANNE,The Conservative Party Candidate,550,14,,16211
2006,LOCAL,Morley South Ward,SKINNER,JOHN ANTHONY,Liberal Democrats,317,14,,16211
2006,LOCAL,Morley South Ward,SLINGSBY,CHARLES ALBERT,Independent,175,14,,16211
2006,LOCAL,Morley North Ward,LEADLEY,THOMAS ADRIAN,Morley Borough Independents,2959,13,ELECTED,17500
2006,LOCAL,Morley North Ward,REDMOND,THOMAS HENRY,British National Party,1491,13,,17500
2006,LOCAL,Morley North Ward,DAWSON,NEIL,The Labour Party Candidate,1370,13,,17500
2006,LOCAL,Morley North Ward,FLYNN,WILLIAM PATRICK,The Conservative Party Candidate,802,13,,17500
2006,LOCAL,Morley North Ward,AKBULUT,LEVENT,Liberal Democrats,350,13,,17500
2006,LOCAL,Pudsey Ward,COULSON,EUGENE ROYSTON,The Labour Party Candidate,2499,13,ELECTED,16960
2006,LOCAL,Pudsey Ward,WHITE,BARRY RICHARD,The Conservative Party Candidate,2122,13,,16960
2006,LOCAL,Pudsey Ward,DAY,ANGELA JULIE,British National Party,1115,13,,16960
2006,LOCAL,Pudsey Ward,MCCARTNEY,JASON ALEXANDER,Liberal Democrats,678,13,,16960
2006,LOCAL,Pudsey Ward,DRACUP,IRENE GLYNIS,Green Party,377,13,,16960
2006,LOCAL,Calverley and Farsley Ward,ROBINSON,FRANK,The Conservative Party Candidate,3272,20,ELECTED,17273
2006,LOCAL,Beeston and Holbeck Ward,GREEN,NEIL RICHARD,Green Party,254,18,,15907
