Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Equip Maint Contracts,MRI-NON PAY,NHS SUPPLY CHAIN,16338346,174445.03,2016003284
Department of Health,Portsmouth Hospitals Trust,18/02/2016,Laboratory Reagents,BLOOD SCIENCES,PERKINELMER LAS (UK) LTD,16878537,70626,3100734520
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Blood Products,BLOOD TRANSFUSION SERVICE,NHS BLOOD & TRANSPLANT,17373393,186706.83,849511
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Computer Maintenance,PACs/CRIS Consortium,EBBEROD CAPITAL LTD,17373570,245481.55,1028
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Sewerage,UTILITIES QAH,SOUTHERN WATER SERVICES LTD,17374445,27556.91,70109097443
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,17378227,78,1051351083
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,17378227,45723.13,1051351083
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Computer Maintenance,ICT OPERATIONS,CARADIGM UK LTD,17378908,57600,277
Department of Health,Portsmouth Hospitals Trust,02/02/2016,Computer Hardware Purch,GOVERNANCE,SOFTCAT LTD,17381062,62689.48,INV01305117
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,17391919,72650.45,1050395319
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,17391949,30013.46,228
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,17391949,12666.97,228
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,17391949,5244.29,228
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,17392108,46472.46,233
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,17392108,17427.17,233
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,17392108,131671.96,233
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES OPERATIONS LTD,17392133,25236.17,6433
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES OPERATIONS LTD,17392133,9463.56,6433
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES OPERATIONS LTD,17392133,71502.49,6433
Department of Health,Portsmouth Hospitals Trust,03/02/2016,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,17392293,30825.25,WSH1500017447
Department of Health,Portsmouth Hospitals Trust,03/02/2016,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,17392293,25577.16,WSH1500017447
Department of Health,Portsmouth Hospitals Trust,03/02/2016,SrvcsRecd-FoundationTrust,RENAL NON STOCK/STOCK,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,17392293,728.92,WSH1500017447
Department of Health,Portsmouth Hospitals Trust,03/02/2016,Laboratory Test Kits,MICROBIOLOGY,BIOMERIEUX UK LTD,17397982,107282.5,1800001465
Department of Health,Portsmouth Hospitals Trust,04/02/2016,Computer Maintenance,APEX COMPUTER SYSTEM,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,17412055,13820.4,18396
Department of Health,Portsmouth Hospitals Trust,04/02/2016,Computer Maintenance,BUSINESS INTELLIGENCE,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,17412055,1821.6,18396
Department of Health,Portsmouth Hospitals Trust,04/02/2016,Computer Maintenance,ICT OPERATIONS,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,17412055,30297.6,18396
Department of Health,Portsmouth Hospitals Trust,04/02/2016,Lab Equip Maint Contracts,CYTOLOGY PATHOLOGY,SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD,17412055,1459.2,18396
Department of Health,Portsmouth Hospitals Trust,05/02/2016,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,17426069,63356.32,15236976
Department of Health,Portsmouth Hospitals Trust,05/02/2016,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,17426628,63450.45,15256335
Department of Health,Portsmouth Hospitals Trust,05/02/2016,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,17429513,141,1051352993
Department of Health,Portsmouth Hospitals Trust,05/02/2016,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,17429513,35640,1051352993
Department of Health,Portsmouth Hospitals Trust,06/02/2016,Laboratory Test Kits,MICROBIOLOGY,ROCHE DIAGNOSTICS LTD,17450502,36893.36,6570558988
Department of Health,Portsmouth Hospitals Trust,08/02/2016,Laboratory Test Kits,MICROBIOLOGY,ROCHE DIAGNOSTICS LTD,17450502,184466.78,6570558988
Department of Health,Portsmouth Hospitals Trust,06/02/2016,Laboratory Reagents,BLOOD SCIENCES,PERKINELMER LAS (UK) LTD,17450613,4214.2,3100736153
Department of Health,Portsmouth Hospitals Trust,18/02/2016,Laboratory Reagents,BLOOD SCIENCES,PERKINELMER LAS (UK) LTD,17450613,21071,3100736153
Department of Health,Portsmouth Hospitals Trust,07/02/2016,Med & Surg Equip Disp,ENDOSCOPY,TBS GB TELEMATIC & BIOMEDICAL SERVICES LTD,17455050,27609.6,1630076
Department of Health,Portsmouth Hospitals Trust,11/02/2016,SrvcsRecd-FoundationTrust,community hospitals - p-field,SOUTHERN HEALTH (MH LD & SC) NHSFT,17500911,69001,43630648
Department of Health,Portsmouth Hospitals Trust,11/02/2016,SrvcsRecd-FoundationTrust,COMMUNITY HOSPITALS - GWMH,SOUTHERN HEALTH (MH LD & SC) NHSFT,17500911,148847,43630648
