"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","4B","42333","51984","DC&M General Manager","5.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3C","32173","39509","DC&M Senior Consultant","5.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3C","32173","39509","DC&M SDM","13.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3A","26247","32231","DCM Production Manager","27.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3A","26247","32231","DC&M Consultant","23.86","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","Surveyor","328.84","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","4B","42333","51984","DC&M Principal Consultant","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3A","26247","32231","DC&M Delivery Manager","5.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","DC&M Data Controller","10.92","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","DC&M Technical Specialist","33.42","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","1C","15663","19235","DC&M Admin & Tech Support","9.24","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2C","23284","28592","Remote Sensing Developer","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3C","32173","39509","Strategic Initatives Advisor","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3C","32173","39509","Service Delivery Manager Operations","2.80","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","4B","42333","51984","Supply Chain Programme Manager","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","4B","42333","51984","Quality Manager","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","Finance Manager","3.81","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","Financial Analyst","7.55","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4B","42333","51984","Senior Finance Mgr","3.00","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","Senior Operations Risk Manager","1.00","Internal Audit"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2B","21569","26487","Account Officer","3.43","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2B","21569","26487","Senior Credit Controller","2.00","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","1C","15663","19235","Finance Admin","4.81","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","Risk and Assurance Business Partner","3.00","Internal Audit"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","Credit & Operations Manager","1.00","Finance"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4B","42333","51984","Building and Property Services Manager","1.00","Property and asset management"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","Senior Risk","1.00","Internal Audit"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2B","21569","26487","Risk & Business Continuity Officer","1.00","Internal Audit"
"Department for Business Innovation and Skills","Ordnance Survey","OS International","1","4B","42333","51984","Head of Procurement","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","Procurement Manager","2.81","Procurement"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","Trainee Consultant (Graduate)","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","Trainee Production Analyst (Graduate)","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Products","5","2B","21569","26487","Trainee Geographic Data Modeller (Graduate)","1.00","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Ordnance Survey","Sales and Market Development","4","2B","21569","26487","Trainee GI Developer (Graduate)","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Products","5","2B","21569","26487","Trainee Technical Product Manager (Graduate)","1.00","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Ordnance Survey","Products","5","2B","21569","26487","Trainee Market Analyst (Graduate)","1.00","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","2B","21569","26487","Trainee Researcher (Graduate)","1.00","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Products","5","2B","21569","26487","Trainee Product Developer (Graduate)","1.00","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","1C","15663","19235","Generic PA/Admin - Corporate Services","5.46","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","HR Employee Relations Manager","0.76","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","HR Projects & Tech Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","HR Business Partner","2.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","Records Manager","1.00","Internal Audit"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","HR Adviser","3.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4C","46566","57183","Reward & HR Services Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","HR Specialist","0.86","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2A","18626","22874","HR OD Assistant","1.86","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","1C","15663","19235","HR OD Administrator","3.05","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","IP & Legal Office Manager","1.00","Law"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","1C","15663","19235","Legal Administration","1.00","Law"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4B","42333","51984","Legal Adviser","5.22","Law"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","Senior Paralegal","1.00","Law"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","OD Consultant","1.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3C","32173","39509","Internal Communications Manager","1.00","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","1C","15663","19235","Business Centre Executive","2.54","Property and asset management"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2C","23284","28592","Internal Communications Specialist","1.38","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","2A","18626","22874","Training Coordinator","0.80","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","3A","26247","32231","Talent Programme Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Finance and Corporate Services","3","4A","38099","46786","Principal OD Consultant","1.00","Human Resources"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","4A","38099","46786","Print & Supply Resource Manager","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","3B","28787","35350","Contract Manager - Print","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","Print & Supply Team Leader","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","1C","15663","19235","Trade Orders Advisor","0.59","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Operations","2","2B","21569","26487","Supply Chain Production Controller","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","2B","21569","26487","Technical Author","4.62","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","2B","21569","26487","Graphic Designer","5.00","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","2B","21569","26487","Corporate Design Production Controller","0.49","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","2B","21569","26487","Corporate Image Provider","1.00","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Corporate Office","1","3B","28787","35350","Corporate Design Resource Manager","1.00","Communications"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","3C","32173","39509","IS Contract/Supplier Manager","2.74","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","4A","38099","46786","IS Consultant - Test","6.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","3C","32173","39509","Domain Manager - Customer Services","3.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","3C","32173","39509","IS SDM - Customer Services","4.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","3C","32173","39509","Service Level Manager","4.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","3C","32173","39509","Service Specialist - Info Risk","9.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","2A","18626","22874","Support Technician - Delivery","26.80","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","2B","21569","26487","Support Analyst - Software Asset Management","10.00","Information Technology"
"Department for Business Innovation and Skills","Ordnance Survey","Information Services","6","2B","21569","26487","Support Analyst - Geo","6.90","Information Technology"
