"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level A2 (Lon)","17275","20381","Fees Clerk","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level B2 (Lon)","26905","31864","Finance Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level D Admin (Lon)","48665","63121","Senior Business Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Assistant (Lon)","18015","20412","administrative Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Officer (Lon)","20275","23381","Administrative Officer","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Officer (Lon)","20275","23381","Fees Clerk","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Higher Exec Officer (Lon)","29905","36200","Personal Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Higher Exec Officer (Lon)","29905","36200","Business Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Grade 6 Legal (Lon)","68005","76708","Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Executive Officer (Lon)","24304","30132","Fees Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Executive Officer (Lon)","24304","30132","Business Operations Officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","Level A2 (Lon)","17275","20381","Casework Assistant","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Assistant (Lon)","18015","20412","administrative Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Officer (Lon)","20275","23381","Casework Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Officer (Lon)","20275","23381","Administrative Officer","5.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Higher Exec Officer (Lon)","29905","36200","Senior Casework Manager","2.80","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Senior Exec Officer (Lon)","36239","44430","Prosecutor","2.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Grade 7 Legal (Lon)","51665","66121","Prosecutor","9.96","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Grade 6 Legal (Lon)","68005","76708","Prosecutor","3.14","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Grade 6 Legal (Lon)","68005","76708","Legal Manager","7.92","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Executive Officer (Lon)","24304","30132","Caseworker","23.73","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Executive Officer (Lon)","24304","30132","Project support officer","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Grade 7 Admin (Lon)","51665","66121","Prosecutor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Grade 7 Admin (Lon)","51665","66121","Senior Policy Advisor","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-006","Crown Advocate Ctrl Div (Lon)","54532","67840","Crown Advocate","1.00","Operational Delivery"
