year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2010,GENERAL,LEEDS WEST,BEVERLEY,Joanna,British National Party,2377,,,67453
2010,GENERAL,LEEDS WEST,BLACKBURN,David,Green Party [The],1832,,,67453
2010,GENERAL,LEEDS WEST,COLEMAN,Ruth,Liberal Democrats,9373,,,67453
2010,GENERAL,LEEDS WEST,MARJORAM,Joseph William,Conservative Party [The],7641,,,67453
2010,GENERAL,LEEDS WEST,MILES,Jeff,United Kingdom Independence Party,1140,,,67453
2010,GENERAL,LEEDS WEST,REEVES,Rachel Jane,Labour Party [The],16389,,ELECTED,67453
2010,GENERAL,LEEDS EAST,ANDERSON,Barry John,Conservative Party [The],8763,,,64698
2010,GENERAL,LEEDS EAST,BROWN,Trevor David,British National Party,2947,,,64698
2010,GENERAL,LEEDS EAST,MUDIE,George,Labour Party [The],19056,,ELECTED,64698
2010,GENERAL,LEEDS EAST,TEAR,Andrew Paul,Liberal Democrats,6618,,,64698
2010,GENERAL,LEEDS EAST,DAVIES,Michael Francis,Alliance for Green Socialism,429,,,64698
2010,GENERAL,LEEDS NORTH EAST,CHOUDHRY,Aqila,Liberal Democrats,9310,,,67899
2010,GENERAL,LEEDS NORTH EAST,FOOTE,Celia Elizabeth,Alliance for Green Socialism,596,,,67899
2010,GENERAL,LEEDS NORTH EAST,HAMILTON,Fabian,Labour Party [The],20287,,ELECTED,67899
2010,GENERAL,LEEDS NORTH EAST,HENDON,Warren James,United Kingdom Independence Party,842,,,67899
2010,GENERAL,LEEDS NORTH EAST,LOBLEY,Matthew,Conservative Party [The],15742,,,67899
2010,GENERAL,LEEDS NORTH EAST,REDMOND,Tom,British National Party,758,,,67899
2010,GENERAL,LEEDS CENTRAL,BENN,Hilary James,Labour Party [The],18434,,ELECTED,81266
2010,GENERAL,LEEDS CENTRAL,LAMB,Alan James,Conservative Party [The],7541,,,81266
2010,GENERAL,LEEDS CENTRAL,MEESON,Kevin,British National Party,3066,,,81266
2010,GENERAL,LEEDS CENTRAL,ONE-NIL,We Beat The Scum,Independent,155,,,81266
2010,GENERAL,LEEDS CENTRAL,PROCTER,Dave,Independent,409,,,81266
2010,GENERAL,LEEDS CENTRAL,TAYLOR,Mick,Liberal Democrats,7789,,,81266
2010,GENERAL,ELMET AND ROTHWELL,CLAYTON,Sam Matthew,British National Party,1802,,,77724
2010,GENERAL,ELMET AND ROTHWELL,GOLTON,Stewart,Liberal Democrats,9109,,,77724
2010,GENERAL,ELMET AND ROTHWELL,LEWIS,James,Labour Party [The],19257,,,77724
2010,GENERAL,ELMET AND ROTHWELL,NOLAN,Christopher,Independent,250,,,77724
2010,GENERAL,ELMET AND ROTHWELL,ODDY,Darren Paul,United Kingdom Independence Party,1593,,,77724
2010,GENERAL,ELMET AND ROTHWELL,SHELBROOKE,Alec,Conservative Party [The],23778,,ELECTED,77724
2010,GENERAL,MORLEY AND OUTWOOD,BALLS,Ed,Labour Party [The],18365,,ELECTED,74200
2010,GENERAL,MORLEY AND OUTWOOD,BEVERLEY,Chris,British National Party,3535,,,74200
2010,GENERAL,MORLEY AND OUTWOOD,CALVERT,Antony Jaimes,Conservative Party [The],17264,,,74200
2010,GENERAL,MORLEY AND OUTWOOD,DANIEL,David,United Kingdom Independence Party,1506,,,74200
2010,GENERAL,MORLEY AND OUTWOOD,MONAGHAN,James,Liberal Democrats,8186,,,74200
2010,GENERAL,PUDSEY,ANDREW,Stuart,Conservative Party [The],18874,,ELECTED,69257
2010,GENERAL,PUDSEY,DEWS,David Alan,United Kingdom Independence Party,1221,,,69257
2010,GENERAL,PUDSEY,GIBSON,Ian,British National Party,1549,,,69257
2010,GENERAL,PUDSEY,HANLEY,Jamie,Labour Party [The],17215,,,69257
2010,GENERAL,PUDSEY,MATTHEWS,Jamie,Liberal Democrats,10224,,,69257
2010,GENERAL,LEEDS NORTH WEST,BAVAGE,Trevor Anthony John,Alliance for Green Socialism,121,,,65399
2010,GENERAL,LEEDS NORTH WEST,BLAKE,Judith,Labour Party [The],9132,,,65399
2010,GENERAL,LEEDS NORTH WEST,BULMER,Geoffrey James,British National Party,766,,,65399
2010,GENERAL,LEEDS NORTH WEST,HEMINGWAY,Martin Francis,Green Party [The],508,,,65399
2010,GENERAL,LEEDS NORTH WEST,MULHOLLAND,Greg,Liberal Democrats,20653,,ELECTED,65399
2010,GENERAL,LEEDS NORTH WEST,MULLIGAN,Julia,Conservative Party [The],11550,,,65399
2010,GENERAL,LEEDS NORTH WEST,PROCTER,Alan Leslie,English Democrats Party,153,,,65399
2010,GENERAL,LEEDS NORTH WEST,THACKRAY,Mark Anthony,United Kingdom Independence Party,600,,,65399
