Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Nr,AMOUNT
Corporate Directorates,UCLH,29-Sep-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30094143,94405.77
Specialist Hospitals,UCLH,01-Sep-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30093264,43093.85
Specialist Hospitals,UCLH,22-Sep-10,Agency Staff,Agency Staff,The Fetal Medicine Foundation,622975,88776.4
Surgery,UCLH,22-Sep-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30093820,307832.18
Capital,UCLH,15-Sep-10,Capital,Specialist Hospitals CB Capita,Carefusion,35146701,28043.75
Capital,UCLH,22-Sep-10,Capital,Specialist Hospitals CB Capita,Envair Projects Ltd,35147718,57862.88
Capital,UCLH,29-Sep-10,Capital,Corporate Capital Schemes,Hopkins Architects Partnership LLP,622389,29646.35
Capital,UCLH,15-Sep-10,Capital,Corporate Capital Schemes,Kind & Co,35144180,52813.78
Capital,UCLH,22-Sep-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,623547,25401.15
Capital,UCLH,01-Sep-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,621755,29375
Capital,UCLH,01-Sep-10,Capital,Specialist Hospitals CB Capita,Logica Uk Ltd,621757,40877.08
Capital,UCLH,08-Sep-10,Capital,Specialist Hospitals CB Capita,M E Construction Ltd,622108,90597.52
Capital,UCLH,01-Sep-10,Capital,Corporate Capital Schemes,Mace Macro Ltd,619630,59889.75
Capital,UCLH,01-Sep-10,Capital,Specialist Hospitals CB Capita,Medaes Ltd,35142259,44134.63
Capital,UCLH,22-Sep-10,Capital,Specialist Hospitals CB Capita,Overbury Plc,35147754,188400.68
Capital,UCLH,29-Sep-10,Capital,Specialist Hospitals CB Capita,Sign Supply Ltd,624107,44203.5
Capital,UCLH,22-Sep-10,Capital,Corporate Capital Schemes,Skanska,623271,1302375.88
Corporate Directorates,UCLH,08-Sep-10,External Support,Finance Directorate,Kpmg LLP  Fees Account,615164,52169.12
Corporate Directorates,UCLH,08-Sep-10,External Support,Staff Training,NHS Confederation(Employers )Co Ltd,623961,41125
Corporate Directorates,UCLH,08-Sep-10,External Support,Procurement,Purchasing Index Ltd,20015701,37104.75
Surgery,UCLH,15-Sep-10,External Support,Medical Physics,B Braun Medical Ltd,20014880,25899.71
Surgery,UCLH,29-Sep-10,External Support,Medical Physics,B Braun Medical Ltd,20015047,25899.71
Specialist Hospitals,UCLH,01-Sep-10,Contract Hotel Services-incl cleaning,NHNN,Medirest,594277,125066.53
Specialist Hospitals,UCLH,22-Sep-10,Contract Hotel Services-incl cleaning,NHNN,Medirest,604843,125066.53
Specialist Hospitals,UCLH,15-Sep-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,617200,56407.03
Specialist Hospitals,UCLH,01-Sep-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,612293,65074.93
Specialist Hospitals,UCLH,15-Sep-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,608093,65074.93
Specialist Hospitals,UCLH,15-Sep-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,608616,65074.93
Corporate Directorates,UCLH,01-Sep-10,Contract Services,Procurement,University Hosp Coventry & Warwickshire,604830,62500
Corporate Services,UCLH,01-Sep-10,Contract Services,Facilities Directorate,Health Management Uclh,613182,427773.65
Corporate Services,UCLH,28-Sep-10,Contract Services,Facilities Directorate,Health Management Uclh,619126,569209.81
Surgery,UCLH,29-Sep-10,Contract Services,General Surgery,PRN Transcription Ltd,35142904,30726.36
Clinical Services,UCLH,08-Sep-10,Drugs and Medical Gases,PMM,Alliance Healthcare (Distribution|) Ltd,20015340,38152.14
Clinical Services,UCLH,15-Sep-10,Drugs and Medical Gases,PMM,Alliance Healthcare (Distribution|) Ltd,610718,39143.96
Clinical Services,UCLH,08-Sep-10,Drugs and Medical Gases,PMM,Alliance Healthcare (Distribution|) Ltd,615777,120592.89
Clinical Services,UCLH,29-Sep-10,Drugs and Medical Gases,PMM,Gilead Sciences Ltd,605893,51641.25
Clinical Services,UCLH,22-Sep-10,Drugs and Medical Gases,PMM,Healthcare At Home Ltd,35114316,52507.81
Clinical Services,UCLH,08-Sep-10,Drugs and Medical Gases,PMM,Healthcare Product Srvs,615311,26555
Clinical Services,UCLH,08-Sep-10,Drugs and Medical Gases,PMM,Janssen Cilag Ltd,20015454,35831.86
Clinical Services,UCLH,29-Sep-10,Drugs and Medical Gases,PMM,Janssen Cilag Ltd,20015698,35831.86
Clinical Services,UCLH,01-Sep-10,Drugs and Medical Gases,PMM,Roche Products Ltd,606228,33889.47
Clinical Services,UCLH,22-Sep-10,Drugs and Medical Gases,PMM,Roche Products Ltd,623261,33889.47
Clinical Services,UCLH,01-Sep-10,Drugs and Medical Gases,PMM,Roche Products Ltd,609808,112854.64
Clinical Services,UCLH,29-Sep-10,Drugs and Medical Gases,PMM,Roche Products Ltd,615410,112854.64
Specialist Hospitals,UCLH,15-Sep-10,Drugs and Medical Gases,NHNN,NHS Business Services Authority,609819,256955.66
Surgery,UCLH,29-Sep-10,Drugs and Medical Gases,Nuclear Medicine,Siemens Healthcare,35115976,51339.86
Corporate Directorates,UCLH,08-Sep-10,Energy & Water,Capital Investment,EDF Energy,623259,39217.33
Corporate Services,UCLH,01-Sep-10,Energy & Water,Facilities Directorate,Bloomsbury Heat and Power Ltd,607151,27686.91
Corporate Services,UCLH,01-Sep-10,Energy & Water,Facilities Directorate,Bloomsbury Heat and Power Ltd,615511,33096.02
Corporate Services,UCLH,29-Sep-10,Energy & Water,Facilities Directorate,Southern Electric,617199,25975.37
