DfE No,School,Type of establishment,Total Number of Pupils on Roll,No. of pupils with EAL,% of pupils with EAL
2005,Abbey Park Primary Academy,Academy,219,4,1.8
5201,All Saints' CE (VA) J & I School,LA Maintained,211,18,8.5
2093,Ash Green Community Primary School,LA Maintained,462,8,1.7
2040,Bailiffe Bridge J & I School,LA Maintained,208,10,4.8
3321,Barkisland CE (VA) Primary School,LA Maintained,203,0,0
2019,Beech Hill School,Academy,579,484,83.6
2063,Bolton Brow Primary Academy,Academy,235,9,3.8
2048,Bowling Green Primary School,LA Maintained,160,3,1.9
2004,Bradshaw Primary School,Academy,331,0,0
2053,Burnley Road Academy,Academy,244,4,1.6
2042,Carr Green Primary School,LA Maintained,345,8,2.3
2068,Castle Hill Primary School,LA Maintained,274,2,0.7
2054,Central Street Infant & Nursery School,LA Maintained,68,3,4.4
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,190,31,16.3
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,136,1,0.7
2076,Cliffe Hill Community Primary School,LA Maintained,178,5,2.8
2059,Colden J & I School,LA Maintained,87,1,1.1
2006,Copley Primary School,LA Maintained,235,5,2.1
2069,"Cornholme J, I & N School",LA Maintained,209,8,3.8
2055,Cragg Vale J & I School,LA Maintained,54,0,0
2087,Cross Lane Primary and Nursery School,LA Maintained,310,83,26.8
2007,Dean Field Community Primary School,LA Maintained,210,5,2.4
3318,"Elland CE (VA) J, I & N School",LA Maintained,218,12,5.5
2003,Ferney Lee Primary School,LA Maintained,202,51,25.2
2000,Field Lane Primary School,Academy,139,14,10.1
3319,Hebden Royd CE (VA) Primary School,LA Maintained,151,6,4
2058,"Heptonstall J, I & N School",LA Maintained,110,0,0
7010,Highbury School,LA Maintained,72,8,11.1
3331,Holy Trinity Primary School (COEA),Academy,414,230,55.6
2050,Holywell Green Primary School,LA Maintained,233,1,0.4
2010,Lee Mount Primary School,LA Maintained,376,28,7.4
5204,Lightcliffe CE (VA) Primary School,LA Maintained,421,11,2.6
2033,"Ling Bob J, I & N School",LA Maintained,350,72,20.6
5207,Longroyde Primary School,LA Maintained,385,48,12.5
3014,Luddenden CE School,LA Maintained,196,5,2.6
2064,Luddendenfoot Academy,Academy,152,3,2
2065,Midgley School,LA Maintained,100,3,3
3332,Moorside Community Primary School,LA Maintained,261,8,3.1
2002,Mount Pellon Primary Academy,Academy,517,359,69.4
2066,New Road Primary School,LA Maintained,135,3,2.2
3010,Norland CE (VC) J & I School,LA Maintained,95,0,0
2015,Northowram Primary School,LA Maintained,472,3,0.6
2083,Old Earth School,Academy,457,11,2.4
2075,Old Town Primary School,LA Maintained,102,0,0
2017,Parkinson Lane Community Primary School,LA Maintained,543,535,98.5
2001,"Rawson J, I & N School",LA Maintained,380,38,10
2061,Ripponden J & I School,LA Maintained,221,0,0
2082,Riverside Junior School,LA Maintained,155,1,0.6
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,191,13,6.8
2021,Salterhebble J & I School,LA Maintained,206,18,8.7
5200,Salterlee Academy Trust,Academy,100,0,0
2009,Savile Park Primary School,LA Maintained,281,172,61.2
2056,Scout Road Academy,Academy,96,0,0
2073,Shade Primary School,LA Maintained,220,1,0.5
2060,Shelf J & I School,LA Maintained,312,2,0.6
2094,Siddal Primary School,Academy,253,17,6.7
2095,Sowerby Village CE (VC) Primary School,LA Maintained,161,2,1.2
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,168,5,3
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,242,5,2.1
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,182,159,87.4
5206,St Chad's CE (VA) Primary School,LA Maintained,210,1,0.5
5203,"St John's (CE) Primary Academy, Clifton",Academy,208,4,1.9
3322,St John's CE Primary School (Rishworth),Academy,135,0,0
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,226,9,4
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,189,25,13.2
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,131,25,19.1
3306,St Malachy's Catholic Primary School,Academy,194,55,28.4
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,294,152,51.7
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,103,0,0
5202,St Michael & All Angels CE Primary School,LA Maintained,201,0,0
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,130,10,7.7
2057,Stubbings Infant School,LA Maintained,78,2,2.6
2049,The Greetland Academy,Academy,417,4,1
4035,The Halifax Academy,Academy,120,28,23.3
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,226,12,5.3
3013,Triangle CE (VC) Primary School,LA Maintained,189,2,1.1
2067,Tuel Lane Infant School,LA Maintained,140,3,2.1
2027,Wainstalls School,Academy,170,1,0.6
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,169,0,0
2028,Warley Road Primary School,LA Maintained,617,495,80.2
2030,Warley Town School,LA Maintained,136,5,3.7
5205,West Vale Primary School,LA Maintained,173,2,1.2
2031,Whitehill Community Academy,Academy,659,13,2
2046,Withinfields Primary School,LA Maintained,359,8,2.2
7008,Wood Bank School,LA Maintained,69,29,42
2081,Woodhouse Primary School,LA Maintained,420,11,2.6
,Calderdale (Incl special schools),,20380,3432,16.8
,Calderdale (Excl special schools),,20239,3395,16.8
