ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,15/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WICKSTEED LEISURE LIMITED,15/01/2018,"-£28,719.00",PURCHASE OF FURNITURE AND EQUIPMENT,V001134816
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,447.35",ELECTRICITY,V001161406
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,535.32",ELECTRICITY,V001161407
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,586.11",ELECTRICITY,V001161408
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,546.30",GAS,V001161409
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,462.92",ELECTRICITY,V001161410
ROCHDALE BOROUGH COUNCIL,10/01/2018,PUBLIC HEALTH,CRESTA WORLD TRAVEL LIMITED,10/01/2018,£534.96,TRAINING-NON QUALIFICATION,V001173320
ROCHDALE BOROUGH COUNCIL,09/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,MILLERS OILS LIMITED,09/01/2018,£880.00,VEHICLE MAINTENANCE,V001178123
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,UNIVERSAL LAUNDRY SERVICES,04/01/2018,£814.83,"CLOTHES, UNIFORM AND LAUNDRY",V001178189
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£4,063.61",ELECTRICITY,V001178264
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£4,487.62",ELECTRICITY,V001178265
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£4,081.41",ELECTRICITY,V001178266
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£3,216.43",ELECTRICITY,V001178268
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£3,496.66",ELECTRICITY,V001178269
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£3,782.85",ELECTRICITY,V001178270
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,097.39",ELECTRICITY,V001180357
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,457.54",ELECTRICITY,V001180358
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,480.08",ELECTRICITY,V001180360
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,503.99",ELECTRICITY,V001180362
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,097.39",GAS,V001180363
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,340.48",ELECTRICITY,V001180365
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£3,216.43",ELECTRICITY,V001180447
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£4,063.61",ELECTRICITY,V001180448
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£4,081.41",ELECTRICITY,V001180449
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,UNIVERSAL LAUNDRY SERVICES,04/01/2018,£867.76,"CLOTHES, UNIFORM AND LAUNDRY",V001189162
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,11/01/2018,"£1,736.82",ELECTRICITY,V001193841
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,446.08",ELECTRICITY,V001194558
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,386.85",ELECTRICITY,V001194678
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,475.28",ELECTRICITY,V001194679
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,484.36",ELECTRICITY,V001194680
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"£1,521.73",ELECTRICITY,V001194684
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,521.73",ELECTRICITY,V001194719
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,497.82",ELECTRICITY,V001194720
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,475.28",ELECTRICITY,V001194721
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,484.36",ELECTRICITY,V001194722
ROCHDALE BOROUGH COUNCIL,11/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,11/01/2018,"-£1,386.85",ELECTRICITY,V001194723
ROCHDALE BOROUGH COUNCIL,15/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,FOREST FUELS LTD,15/01/2018,"£1,396.01",ENERGY COSTS,V001194899
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WARRINGTON TRUCK PARTS LTD,04/01/2018,£590.00,VEHICLE MAINTENANCE,V001198014
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WARRINGTON TRUCK PARTS LTD,04/01/2018,£590.00,VEHICLE MAINTENANCE,V001198015
ROCHDALE BOROUGH COUNCIL,09/01/2018,PROPERTY AND HIGHWAYS,TASC LTD,09/01/2018,£525.00,TRAINING,V001198618
ROCHDALE BOROUGH COUNCIL,04/01/2018,ECONOMY DIRECTORATE,TURNER AND  TOWNSEND,04/01/2018,"£3,750.00",MINOR BUILDING WORKS,V001199699
ROCHDALE BOROUGH COUNCIL,29/01/2018,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,29/01/2018,"£2,258.08",VOLUNTARY ASSOCIATIONS,V001200170
ROCHDALE BOROUGH COUNCIL,18/01/2018,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,18/01/2018,"£1,497.82",ELECTRICITY,V001200343
ROCHDALE BOROUGH COUNCIL,31/01/2018,RESOURCES,EVERYTHING EVERYWHERE,31/01/2018,-£550.00,MOBILE PHONE,V001202228
ROCHDALE BOROUGH COUNCIL,22/01/2018,PROPERTY AND HIGHWAYS,GROUNDWORK LANDSCAPES LIMITED,22/01/2018,"£9,907.50",TRANSACTIONS-EXPENDITURE,V001202408
ROCHDALE BOROUGH COUNCIL,25/01/2018,PROPERTY AND HIGHWAYS,JUBB AND JUBB LIMITED,25/01/2018,"£1,727.00",TRANSACTIONS-EXPENDITURE,V001202413
ROCHDALE BOROUGH COUNCIL,04/01/2018,PUBLIC HEALTH,PENNINE CARE NHS,04/01/2018,"£327,779.00",PH PENNINE CARE CONTRACT,V001202485
ROCHDALE BOROUGH COUNCIL,16/01/2018,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,16/01/2018,"£6,638.03",ROADWORKS,V001202767
ROCHDALE BOROUGH COUNCIL,16/01/2018,PROPERTY AND HIGHWAYS,COMPASS MINERALS UK LIMITED,16/01/2018,"£1,368.00",MAINTENANCE,V001202768
ROCHDALE BOROUGH COUNCIL,05/01/2018,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,05/01/2018,£626.93,ROADWORKS,V001202774
ROCHDALE BOROUGH COUNCIL,18/01/2018,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,18/01/2018,"£8,943.33",CONTRACTS,V001202922
ROCHDALE BOROUGH COUNCIL,11/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,AVK SEG UK LTD,11/01/2018,"£5,135.55",REPAIRS & ALTS OF BUILDINGS,V001202948
ROCHDALE BOROUGH COUNCIL,05/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,FOREST FUELS LTD,05/01/2018,"£1,197.72",ENERGY COSTS,V001202949
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,04/01/2018,"£2,281.98",CATERING - GENERAL,V001202977
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,04/01/2018,£972.63,CATERING - GENERAL,V001202978
ROCHDALE BOROUGH COUNCIL,24/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,24/01/2018,£723.47,CATERING - GENERAL,V001202980
ROCHDALE BOROUGH COUNCIL,04/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,04/01/2018,£782.10,CATERING - GENERAL,V001202981
ROCHDALE BOROUGH COUNCIL,05/01/2018,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,05/01/2018,"£3,756.84",CONSULTANT FEES,V001203011
ROCHDALE BOROUGH COUNCIL,16/01/2018,PROPERTY AND HIGHWAYS,COMPASS MINERALS UK LIMITED,16/01/2018,"£1,385.10",MAINTENANCE,V001203018
ROCHDALE BOROUGH COUNCIL,31/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE,31/01/2018,"-£1,100.00",TRANSACTIONS-INCOME,V001203284
ROCHDALE BOROUGH COUNCIL,31/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE,31/01/2018,-£950.00,TRANSACTIONS-INCOME,V001203285
ROCHDALE BOROUGH COUNCIL,31/01/2018,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE,31/01/2018,-£850.00,TRANSACTIONS-INCOME,V001203286
ROCHDALE BOROUGH COUNCIL,04/01/2018,PROPERTY AND HIGHWAYS,NEW LOOK WINDOWS LTD,04/01/2018,£573.00,TRANSACTIONS-EXPENDITURE,V001203382
ROCHDALE BOROUGH COUNCIL,04/01/2018,PROPERTY AND HIGHWAYS,NEW LOOK WINDOWS LTD,04/01/2018,£508.00,TRANSACTIONS-EXPENDITURE,V001203383
ROCHDALE BOROUGH COUNCIL,09/01/2018,PROPERTY AND HIGHWAYS,NEW LOOK WINDOWS LTD,09/01/2018,£526.00,TRANSACTIONS-EXPENDITURE,V001203385
