Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date, Contract value ,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,AON45332,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM - building maintenance,,,,,01/02/2015,31/01/2019,,31/01/2019,,,,1-2 CALL DRAINAGE & GROUNDWORK LTD,,,1529798,,N,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,ALN45450A,,Recycling Credits 1st Dersingham Scout Group,,ETD,,,Recycling Credits 1st Dersingham Scout Group,Waste - recycling credits,,,,,01/03/2015,31/03/2016,,,"�150,000",,,1ST DERSINGHAM SCOUT & GUIDE GROUPS,,,80240,,Y,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,AAN41218,,Shop Consumables,,COMMUNITY SERVICES,,,Shop Consumables,Retail - goods for resale,,,,,01/04/2013,30/09/2016,,30/09/2016,,,,3D DISPLAYS LIMITED,,,65570,,N,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BON40201N,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,,RESOURCES,,,Multi provider Framework Agreement for the Provision of Training for the Early years and Childcare Workforce,HR - training,,,,,05/07/2012,04/07/2016,,04/07/2016,"�250,000",,,4 TRAINING & CONSULTANCY LTD,,,997840,,N,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BON44787,,CF0443 4Children Lots 31 & 32 Children's Centres,,CHILDREN,,,CF0443 4Children Lots 31 & 32 Children's Centres,Children's services - children's centres,,,,,01/10/2012,31/03/2016,,31/03/2016,"�1,873,065",,,4CHILDREN (TRADING) LIMITED,gb/02433565,,80253,,Y,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BAN10454,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,"�1,932,228",,,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,N,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BAN43426,,Spot Purchased Day Care For Adults (Point House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Point House),Adult care - day care/community support/support into work,,,,,01/01/2000,,,,"�4,419",,,"A, S & C CROPLEY T/A POINT HOUSE",,,78561,,N,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BAN10627,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,MR & MRS A BUTCHERS T/A INWOOD HOUSE,,,586494,,N,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,GUN36045A,,Hand & power tools - local arrangement,,ETD,,,Hand & power tools - local arrangement,Tools & hardware - purchase & maintenance,,,,,01/04/2009,,,,"�28,943",,,A & K SUPPLIES,,,108187,,N,,Procurement Sourcing Team,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,25/06/2015,BXN44912D,,Private Voluntary Independent School Pre-school & Playgroup,,CHILDREN,,,Private Voluntary Independent School Pre-school & Playgroup,Children's services - playgroups & nurseries,,,,,,,,,,,,A ALMOND,,,1170776,,N,,Procurement Part B Team,partb@norfolk.gov.uk,
