Travel Date,No of Passengers,Class of Service,Departure Airport,Destination Airport,Cost of Booking excluding VAT,Airline,Dept.
05/01/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£134.88,Easyjet,DFID
06/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£133.00,British Airways,DFID
13/01/2011,1,ECONOMY                  ,Lon Heathrow,Addis Ababa,£239.00,British Midland,DFID
13/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£47.00,British Airways,DFID
14/01/2011,1,ECONOMY                  ,Lon Heathrow,Addis Ababa,£239.00,British Midland,DFID
06/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£89.00,British Airways,DFID
10/01/2011,1,ECONOMY                  ,Madrid,Brussels,£199.00,Sn Brussels Airlines,DFID
06/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£119.00,British Airways,DFID
15/01/2011,1,ECONOMY                  ,Glasgow,Nairobi,£99.00,Kenya Airways,DFID
07/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£50.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£62.00,British Airways,DFID
22/01/2011,1,ECONOMY                  ,Glasgow,Dubai,£505.00,Emirates,DFID
18/02/2011,1,ECONOMY                  ,Glasgow,Newark Liberty,£133.00,Continental Airlines,DFID
09/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£88.88,Easyjet,DFID
13/01/2011,1,ECONOMY                  ,Lon Gatwick,Oslo Osl,£30.20,Norwegian Air Shuttle,DFID
16/01/2011,1,ECONOMY                  ,Lon Heathrow,Accra,£545.00,KLM UK,DFID
10/01/2011,1,ECONOMY                  ,Belfast Harb,Lon Heathrow,£225.00,British Midland,DFID
04/02/2011,1,ECONOMY                  ,Lon Heathrow,Freetown,£0.00,British Midland,DFID
17/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£624.00,United Airlines,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Dakar,£870.00,Iberia,DFID
04/02/2011,1,ECONOMY                  ,Glasgow,Freetown,£0.00,British Midland,DFID
27/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£52.00,British Airways,DFID
10/01/2011,1,ECONOMY                  ,Ankara Turke,Lon Heathrow,£276.00,Turkish Airlines,DFID
26/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£32.00,British Midland,DFID
05/01/2011,1,ECONOMY                  ,London Stans,Glasgow,£60.00,Easyjet,DFID
