ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,07/04/2017,LEARNING DIS & MENTAL HEALTH,CARPET CREATIONS,07/04/2017,847,TRANSACTIONS-EXPENDITURE,V001065485
ROCHDALE BOROUGH COUNCIL,06/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,BODEN & DAVIES LTD,06/04/2017,780.3,CENTRAL HEATING,V001085361
ROCHDALE BOROUGH COUNCIL,10/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,GTM ELECTRICAL SERVICES LIMITED,10/04/2017,1050,REPAIRS & ALTS OF BUILDINGS,V001090593
ROCHDALE BOROUGH COUNCIL,25/04/2017,ECONOMY DIRECTORATE,CHUBB FIRE AND SECURITY LIMITED,25/04/2017,596.82,SECURITY,V001099753
ROCHDALE BOROUGH COUNCIL,03/04/2017,PHYSICAL DIS & OLDER PEOPLE,K P DODD CONSTRUCTION LIMITED,03/04/2017,6000,MINOR BUILDING WORKS,V001100021
ROCHDALE BOROUGH COUNCIL,03/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,CRAWFORD DOMESTIC APPLIANCES LIMITED,03/04/2017,550,EQUIPMENT - GENERAL,V001100335
ROCHDALE BOROUGH COUNCIL,04/04/2017,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,04/04/2017,750,TRAINING,V001101887
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,04/04/2017,2000,GRANTS TO THE NON VOLUNTARY SECTOR,V001101923
ROCHDALE BOROUGH COUNCIL,03/04/2017,EARLY HELP AND SCHOOLS,LIQUIDLOGIC LTD,03/04/2017,5000,SOFTWARE,V001101968
ROCHDALE BOROUGH COUNCIL,03/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,LIQUIDLOGIC LTD,03/04/2017,4500,SOFTWARE,V001101969
ROCHDALE BOROUGH COUNCIL,03/04/2017,PHYSICAL DIS & OLDER PEOPLE,LIQUIDLOGIC LTD,03/04/2017,8500,PURCHASE OF ICT SOFTWARE,V001101970
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASTRA ALARMS SYSTEMS LTD,04/04/2017,2610,EQUIPMENT - GENERAL,V001102024
ROCHDALE BOROUGH COUNCIL,04/04/2017,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,04/04/2017,2258.08,VOLUNTARY ASSOCIATIONS,V001102137
ROCHDALE BOROUGH COUNCIL,07/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,TAMESIDE METROPOLITAN BOROUGH COUNCIL,07/04/2017,2037,SOFTWARE,V001102340
ROCHDALE BOROUGH COUNCIL,04/04/2017,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,04/04/2017,11200,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001102384
ROCHDALE BOROUGH COUNCIL,07/04/2017,FINANCE SERVICES,JACOBS,07/04/2017,2103.34,INPUT VAT -  ADJUSTMENTS,V001103826
ROCHDALE BOROUGH COUNCIL,07/04/2017,ECONOMY DIRECTORATE,KEY TO THE DOOR,07/04/2017,3000,ACTIVITIES,V001104219
ROCHDALE BOROUGH COUNCIL,04/04/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,04/04/2017,2893.58,CAPITAL SALARIES,V001104223
