Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,342,,Air quality Equipment Maintenance,,Environment,,,Air quality Equipment Maintenance,,,,,,01/01/2015,31/12/2015,30/11/2015,0,5944,,,ESU1 ltd,,,,,,,,Julian.Smith@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,228,,ANPR for car parks,,Environment,,,ANPR for car parks,,,,,,26/02/2013,25/02/2018,01/10/2017,25/02/2020,1200000,,,APT Control Ltd - Veri-Park,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,289,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,Advance Tree Services Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,290,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,Glendale Countryside Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,291,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,Gristwood & Toms Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,292,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,High Elms Tree Surgery ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,293,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,J W Salmon - Aboricultural Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,294,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,0,400000,,,R Watts & Sons,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,115,,Banking contract,,Finance & Commercial,,,Banking contract,,,,,,01/04/2014,31/03/2017,30/09/2016,0,90000,,,Nat West,,,,,,,,Steve.Richardson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,121,,Bill payment system,,Finance & Commercial,,,Bill payment system,,,,,,01/11/2012,31/10/2016,16/01/2016,0,120000,,,Allpay.net,,,,,,,,Paul.Simmons@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,324,,BMS Servicing and monitoring,,Human Resources ICT/CSC & Shared Support Services,,,BMS Servicing and monitoring,,,,,,01/04/2015,31/03/2019,28/02/2016,0,34500,,,ESG Ltd,,,,,,,,Paul.Bryan@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,333,,Cash Collection,,Finance & Commercial,,,Cash Collection,,,,,,01/01/2015,31/12/2018,30/03/2018,0,120000,,,Contract Security Services Ltd,,,,,,,,Simon.Blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,275,,Checking  of structural  calculations for  building regulations applications,,Planning & Sustainability,,,Checking  of structural  calculations for  building regulations applications,,,,,,01/08/2013,31/07/2016,02/05/2016,31/07/2017,20000,,,JNP Engineering LLP,,,,,,,,Alan.Mason@Wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,276,,Checking of structural calculations for building regulations applications,,Planning & Sustainability,,,Checking of structural calculations for building regulations applications,,,,,,01/08/2013,31/07/2016,02/05/2016,31/07/2017,20000,,,Roughton,,,,,,,,Alan.Mason@Wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,277,,Checking of structural calculations for building regulations applications,,Planning & Sustainability,,,Checking of structural calculations for building regulations applications,,,,,,01/08/2013,31/07/2016,02/05/2016,31/07/2017,20000,,,Hannah Reed (Peter Brett Associates),,,,,,,,Alan.Mason@Wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,124,,Collection of Dog Waste,,Environment,,,Collection of Dog Waste,,,,,,01/11/2014,03/03/2020,01/11/2016,03/03/2022,155740,,,SDK Environmental Ltd,,,,,,,,Julian.Smith@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,76,,Commercial Vehicles Lease,,Finance & Commercial,,,Commercial Vehicles Lease,,,,,,29/09/2014,28/09/2017,01/12/2015,0,21000,,,Lex Autolease Ltd,,,,,,,,Simon.Blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,341,,Completion of Benefits workbooks,,Finance & Commercial,,,Completion of Benefits workbooks,,,,,,05/09/2014,04/09/2016,01/05/2016,0,34000,,,Branch and Lee Ltd,,,,,,,,Andy.Green@Wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,137,,Contract A Grounds maintenance,,Community,,,Contract A Grounds maintenance,,,,,,01/04/2010,31/03/2016,31/08/2015,31/03/2018,1830000,,,John O'Conor Ltd,,,,,,,,Andy.Sherwood@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,226,,Contract B Grounds and Play maintenance,,Community,,,Contract B Grounds and Play maintenance,,,,,,01/01/2013,31/12/2017,01/01/2016,31/12/2019,4500000,,,Quadron,,,,,,,,Andy.Sherwood@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,259,,Council tax billing,,Finance & Commercial,,,Council tax billing,,,,,,01/04/2013,31/03/2016,01/01/2016,31/03/2018,69900,,,Smith & Ouzman,,,,,,,,Jennie.Rahman@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,156,,CRM System & Support,,Human Resources ICT/CSC & Shared Support Services,,,CRM System & Support,,,,,,02/02/2015,31/01/2016,27/11/2015,0,55000,,,Northgate,,,,,,,,Mark.Lansbury@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,22,,Data Room for Waste CD,,Environment,,,Data Room for Waste CD,,,,,,17/06/2011,30/09/205,29/09/2015,0,19200,,,EU supplies,,,,,,,,Steve.Middleton@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,70,,Death in Service Insurance service,,Human Resources ICT/CSC & Shared Support Services,,,Death in Service Insurance service,,,,,,01/04/2015,31/03/2016,30/01/2016,0,26000,,,Canada Life,,,,,,,,Ryan.Savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,211,,Development Management & Lead Consultant & Design Services (Master Plan),,Finance & Commercial,,,Development Management & Lead Consultant & Design Services (Master Plan),,,,,,02/05/2011,24/06/2016,24/06/2016,0,213500,,,Mace Real Estate ( Mace Limited),,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,288,,Document storage,,Democratic Legal & Policy,,,Document storage,,,,,,01/01/2014,31/12/2017,01/05/2017,0,28000,,,Iron Mountain,,,,,,,,Jennifer.Griffin@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,123,,Dog Warden Service,,Environment,,,Dog Warden Service,,,,,,01/11/2014,31/10/2018,01/11/2016,0,229560,,,SDK Environmental Ltd,,,,,,,,Julian.Smith@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,235,,"E forms for licensing, revenues and Benifits",,Human Resources ICT/CSC & Shared Support Services,,,"E forms for licensing, revenues and Benifits",,,,,,01/10/2012,31/10/2015,27/08/2015,0,20000,,,Victoria Form,,,,,,,,Mark.Lansbury@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,218,,eFinancials,,Finance & Commercial,,,eFinancials,,,,,,29/11/2011,31/03/2017,02/01/2017,0,145000,,,Advanced Business Solutions,,,,,,,,Brenda.Watson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,264,,External audit,,Finance & Commercial,,,External audit,,,,,,01/09/2012,31/08/2017,03/04/2017,0,640000,,,Ernest & Young,,,,,,,,Brenda.Watson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,118,,"Fire alarm, Emergency lighting & portable fire fighting Equipment maintenance",,Human Resources ICT/CSC & Shared Support Services,,,"Fire alarm, Emergency lighting & portable fire fighting Equipment maintenance",,,,,,01/04/2014,31/03/2019,31/01/2019,31/03/2020,80000,,,Lightside Ltd,,,,,,,,Paul.Bryan@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,212,,Handy Cross Leisure Centre: Initial Design & Costsing: lead Cosnultant & Design Services,,Finance & Commercial,,,Handy Cross Leisure Centre: Initial Design & Costsing: lead Cosnultant & Design Services,,,,,,02/03/2012,26/12/2015,26/12/2015,0,973000,,,Mace Limited,,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,39,,Housing Removals Contract,,Environment,,,Housing Removals Contract,,,,,,01/10/2014,30/09/2018,04/01/2016,0,40000,,,Doree Bonner,,,,,,,,Nick.Lamport@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,214,,Hughenden Quarter Consultants,,Finance & Commercial,,,Hughenden Quarter Consultants,,,,,,01/12/2011,31/08/2015,31/08/2015,0,90000,,,Mayer Brown,,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,215,,Hughenden Quarter Consultants,,Finance & Commercial,,,Hughenden Quarter Consultants,,,,,,22/08/2011,30/09/2015,30/09/2015,0,24000,,,Bevan Brittan,,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,15/08/2015,217,,Hughenden Quarter Consultants,,Finance & Commercial,,,Hughenden Quarter Consultants,,,,,,12/05/2011,31/08/2015,30/06/2015,0,15000,,,GVA Grimley,,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
