"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Press Officer","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","TIS3","36371","47167","Department Co-ordinator","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B2/BAND B2","29819","38103","Business Manager","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Senior Operational Manager","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","B2/BAND B2","29819","38103","Regional Researcher","5.72","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","C/BAND C","19594","24188","Correspondence Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","A/BAND A","44300","59885","Senior Technical Adviser","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","38","C/BAND C","19594","24188","Department Assistant","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B1/BAND B1","23557","29795","Executive Assistant","1.00","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Communications Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","Digital Campaigns Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","C/BAND C","19594","24188","Finance Support Officer","0.56","Finance"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Office Manager","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","Digital Campaigns Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B1/BAND B1","23557","29795","Office Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Operations Manager","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","News & Content Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B2/BAND B2","29819","38103","Policy Adviser","5.00","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B2/BAND B2","29819","38103","Review Team Leader","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","News and Content Editor","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","B1/BAND B1","23557","29795","Policy Support Officer","2.69","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B/Faststream","27000","35817","Review Team Leader","0.78","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","Senior Web Developer","1.00","Communications"
"Cabinet Office","Cabinet Office","Independent Offices","IO1","A/BAND A","44300","59885","Senior policy adviser","4.00","Policy"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B1/BAND B1","23557","29795","Operations Support Officer","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","TIS3","36371","47167","Web Developer","1.00","Communications"
"Cabinet Office","Cabinet Office","Boundary Commission for England","CO118","B1/BAND B1","23557","29795","Review Support Officer","8.90","Operational delivery"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","A/BAND A","44300","59885","Senior Digital Campaigns Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","139","B2/BAND B2","29819","38103","Digital Communications Analyst","1.00","Communications"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","229","A/BAND A","44300","59885","Senior Campaigns Manager","3.00","Communications"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","246","TIS3","36371","47167","Senior Press Officer","3.00","Communications"
"Cabinet Office","Cabinet Office","Cabinet Office Communications","246","TIS3","36371","47167","Senior Visits Officer","2.00","Communications"
