Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151113,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,39.4600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151117,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,67.5600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151118,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,422.5200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151120,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,100.5600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151120,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,269.4700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151120,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,49.1300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,222.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,38.7500000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,877.2700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,49.7000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,49.7000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,208.7000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,172.0600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,51.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151123,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,251.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,94.3800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,166.6900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,161.5100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,F-C & A - Central,BUNZL CLEANING SUPPLIE,,475-Other Services,106.5800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,173.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,362.5400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,69.7700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,125.9100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151124,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,33.3100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,89.8100000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,146.3300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,153.5300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,N-Development & Growth - Services,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,86.1600000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,71.2700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151125,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,84.5900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151126,P-Card,G-C & A - Over 18's,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,216.2200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151126,P-Card,F-C & A - Central,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,240.8700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151126,P-Card,G-C & A - Over 18's,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,441.2800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151126,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,16.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151126,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,308.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151127,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,634.5700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151127,P-Card,G-C & A - Over 18's,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,999.7200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151127,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,89.9200000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20151127,P-Card,C-Commercial and Operations,BUNZL CLEANING SUPPLIE,,404-Cleaning & Domestic Supp,327.8400000000
