Ratepayer,Property Address,RV,Property Description
Younger Homes (Northern) Ltd,"Armytage Road, Brighouse, HD6 1PT",10500,Garage And Premises
Nivlac Investments Ltd,"Unit 7 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",35500,Warehouse And Premises
,"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",3000,Workshop And Premises
J D Wetherspoon Plc,"8 Bethel Street, Brighouse, HD6 1JN",8100,Shop and Premises
,"Part Ground & Lower Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",11000,Offices and Premises
,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",4550,Offices and Premises
Blackshaw Holdings Ltd,"Units 20-23, Birkby House, Birkby Lane, Bailiff Bridge",8400,Offices And Premises
,"Bowling Alley Terrace, Brighouse, HD6 3EU",3600,Workshop And Premises
,"32/34 Bradford Road, Brighouse, HD6 1RW",13500,Hairdressing Salon and Premises
J C Bates & Sons Ltd,"Wellholme Garage, 1ST Floor, 74 Bradford Road, Brighouse            HD6 4AA",11500,Offices and Premises
Wharfedale Finance Co Ltd,"Unit 11 Heaton Estate, Bradford Road, Brighouse, HD6 4BW",6500,Offices and Premises
,"1ST & 2ND Floors, 67 Bradford Road, Brighouse, HD6 1RS",5500,Offices And Premises
,"Unit 1, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",10000,Warehouse And Premises
Blackshaw Holdings Ltd,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",14500,Offices and Premises
Blackshaw Holdings Ltd,"Suite 1 First Floor, Clifton House, Bradford Road, Brighouse            HD6 4JJ",32250,Offices and Premises
Blackshaw Holdings Ltd,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",6200,Factory and Premises
Clifton Properties [Yorkshire] Ltd,"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",6400,Public House and Premises
,"42/44 Bridge End, Brighouse, HD6 3DS",6000,Workshop And Premises
