"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","EO","22437","26688","Communications Support Officer","3.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","HEO","26228","32772","Communications Officer","5.67","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","SEO","32974","47648","Communications Manager","3.83","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G7","48880","59249","Personal Secretary","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G7","48880","59249","Senior Communications Manager","1.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrar’s Office","1","G6","51131","72134","Executive to the Board","3.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","AO","18899","21959","Computer Operator","15.69","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","EO","22437","26688","IT Support Officer","143.69","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","HEO","26228","32772","IT Officer","135.01","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","SEO","32974","47648","IT Manager","67.99","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G7","48880","59249","Senior IT Manager","9.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G6","51131","72134","Senior IT Manager","4.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","AO","18899","21959","HR Support Officer","3.62","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","Facilities","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","HR Officer","17.36","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Facilities","1.95","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","HR Officer","26.51","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","P&I Officer","1.65","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Facilities Manager","5.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","P&I Manager","6.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Property Asset Manager","3.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Senior HR Officer","32.53","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","Senior Facilities Manager","2.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","Senior HR Manager","7.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G7","48880","59249","Senior P&I Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G6","51131","72134","Senior HR Manager","3.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","G6","51131","72134","Senior Property Asset Manager","1.00","Human Resources"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","AO","18899","21959","Corporate Information Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Corporate Information Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Personal Assistant","1.81","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Research Officer","5.59","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","EO","22437","26688","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Business Change Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Research Officer","3.67","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Senior Corporate Information Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","HEO","26228","32772","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","SEO","32974","47648","Investigations Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","SEO","32974","47648","Survey and Mapping","6.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G7","48880","59249","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Assistant Land Registrar","6.18","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Lawyer","0.69","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Senior Operational Manager","0.76","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","4","G6","51131","72134","Survey and Mapping","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","AA","16163","19223","Registration Assistant","1.49","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","AO","18899","21959","Registration Officer","117.34","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","EO","22437","26688","Operational Caseworker","1929.02","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","HEO","26228","32772","Operational Caseworker","1012.67","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","SEO","32974","47648","Senior Operational Caseworker","281.12","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G7","48880","59249","Senior Operational Manager","23.13","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G6","51131","72134","Assistant Land Registrar","3.91","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G6","51131","72134","Lawyer","4.81","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Operations Directorate","5","G6","51131","72134","Senior Operational Manager","7.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","AO","18899","21959","Finance Support Officer","7.40","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","EO","22437","26688","Finance Officer","19.46","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","HEO","26228","32772","Senior Finance Officer","25.68","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","SEO","32974","47648","Finance Manager","31.03","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","G7","48880","59249","Senior Finance Manager","4.00","Finance"
"Department for Business Innovation and Skills","Land Registry","Finance Directorate","6","G6","51131","72134","Assistant Head of Finance","3.00","Finance"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","AO","18899","21959","Business Development Executive","4.41","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","AO","18899","21959","Design Officer","1.50","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Business Development Executive","13.82","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Customer Service Officer","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","EO","22437","26688","Design Officer","1.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Business Development Executive","25.64","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Business Development Manager","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Customer Service Officer","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Design Officer","1.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","HEO","26228","32772","Research Officer","3.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Business Development Manager","27.72","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Customer Service Manager","4.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","SEO","32974","47648","Personal Assistant","1.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","G7","48880","59249","Senior Business Development Manager","3.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Commercial and Customer Directorate","7","G6","51131","72134","Senior Business Development Manager","2.00","Operational Research"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","AO","18899","21959","Corporate Information Officer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","HEO","26228","32772","Senior Corporate Information Officer","2.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","SEO","32974","47648","Senior Legal Adviser","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","G7","48880","59249","Corporate Information Officer Manager","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","G7","48880","59249","Technical Assurance","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","G6","51131","72134","Corporate Services Lawyer","4.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","8","G6","51131","72134","Lawyer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","9","G6","51131","72134","Assistant Land Registrar","8.51","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","10","G6","51131","72134","Assistant Land Registrar","8.67","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","12","G6","51131","72134","Assistant Land Registrar","5.63","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","12","G6","51131","72134","Lawyer","1.50","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","14","G6","51131","72134","Assistant Land Registrar","9.32","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","14","G6","51131","72134","Lawyer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","14","G6","51131","72134","Senior Operational Manager","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","15","G6","51131","72134","Assistant Land Registrar","5.54","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","16","AO","18899","21959","Operations Support Officer","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","16","EO","22437","26688","Operational Caseworker","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","16","G7","48880","59249","Lawyer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","16","G6","51131","72134","Assistant Land Registrar","3.53","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","16","G6","51131","72134","Lawyer","2.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","19","G6","51131","72134","Assistant Land Registrar","6.85","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","19","G6","51131","72134","Lawyer","1.00","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","20","G6","51131","72134","Assistant Land Registrar","7.46","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","20","G6","51131","72134","Lawyer","1.94","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","21","G6","51131","72134","Assistant Land Registrar","6.89","Law"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","21","G6","51131","72134","Senior Operational Manager","1.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","23","SEO","32974","47648","Senior Operational Manager","2.00","Operational Delivery"
"Department for Business Innovation and Skills","Land Registry","Legal Services Group","23","G6","51131","72134","Assistant Land Registrar","6.95","Law"
