Property Address,RATEPAYER,RV,LIABILITY_START
"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",,7300,20/09/2017
"Radio Calderdale, Calderdale Royal Hospital, Dryclough Lane, Halifax              HX3 0PW",Radio Calderdale,3750,01/04/2015
"Ground Floor Unit H6, Premier Way, Lowfields Business Park, Elland               HX5 9HF",Royds Properties Ltd,42500,02/09/2017
"Unit B2, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",600 Feet Productions Ltd,6200,19/05/2017
"Unit 4 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,2900,01/04/2017
"10 Park Street, Brighouse, HD6 1AD",R D Brighouse Ltd,23250,21/07/2015
"(Unofficial Address), Unit 4 Lhs Commercial Mill, Oldham Road, Ripponden            HX6 4EH",,11500,01/04/2016
"7/8/9/10 Town Hall Buildings, Elland, HX5 0EU",,25000,31/05/2017
"2 George Street, Halifax, HX1 1HA",,15250,23/06/2017
"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,3600,01/04/2017
"Unit 4, Elizabeth Street, Elland, HX5 0JH",,4450,01/08/2017
"West End Road, Halifax, HX1 3TN",,4250,11/09/2017
"Car Park, Water Lane, Halifax, HX3 9HG",Halifax Fencing Ltd,3300,07/07/2016
"40 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DP",Marshall Building Contractors (Facilites Management) Limited,14500,11/09/2017
"Somerset House, Rawson Street, Halifax, HX1 1NH",Tyler Projects (Halifax) Ltd In Administration,20500,02/02/2016
"Store & Premises Adj Unit 1, Dean Hey Country Bsn Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2650,01/08/2017
"Unit 1 Victoria Autos, Victoria Road, Halifax, HX1 5PT",,3600,01/04/2017
"Suite 11 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",,1375,01/09/2017
"2nd Floor Dunkley House, Albert Street, Hebden Bridge, HX7 8AH",Setbray Properties Ltd,4700,01/10/2017
"Unit 2 Waterside Buildings, Valley Road, Hebden Bridge, HX7 7BZ",,1375,01/07/2017
"7A Victoria Road, Elland, HX5 0AB",,7100,23/12/2016
"Unofficial Address, 11-15 Westgate, Halifax, HX1 1DJ",Cafe Luna Ltd,31250,25/11/2016
"Suite 4 2ND Flr Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",,6500,01/09/2017
"Unit 1 Bst G Mill, Dean Clough Mills, Halifax, HX3 5AX",The Projected Picture Trust,4900,01/04/2015
"The Fleece Inn, Westgate, Elland, HX5 0BB",,20750,30/08/2017
"Unt 3 Bst G Mill, Dean Clough Mills, Halifax, HX3 5AX",Beehive Greeting Cards Ltd,4100,11/04/2015
"Unt 2 Bst G Mill, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,1850,11/04/2015
"Unit HM9 Holmfield Mills, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1650,01/09/2017
"Office Hm 3.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Gill Graphics,2550,04/10/2017
"Belmont Garage, Rochdale Road, Sowerby Bridge, HX6 3BL",Malthurst Retail Ltd,26750,16/10/2017
"Unit 6 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",mov3ment Ltd,8600,01/06/2017
"Unit 3 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,9500,12/06/2017
"Unit 5 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,11750,01/06/2017
"Unit 4 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,7100,05/06/2017
"Car Park, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Gleeson Regeneration Limited,15000,05/06/2017
"Office 1 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",,3150,12/09/2017
"Office 10 James Street Mills, South Lane, Elland, HX5 0HB",Viewstone Ltd,3500,01/09/2017
"Unit 24 Woodman Works, South Lane, Elland, HX5 0HQ",Heathleigh Ltd,10750,29/09/2017
"Unit 6 Springwood Bu'ss Park, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH",,23750,01/02/2017
"Lever Street, Todmorden, OL14 5QF",,3250,22/05/2017
