DfE No,School,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
5201,All Saints' CE (VA) J & I School,211,8,3.8,211,8,]
2093,Ash Green Community Primary School,469,154,32.8,403,154,38.2
2040,Bailiffe Bridge J & I School,206,7,3.4,206,7,3.4
3321,Barkisland CE (VA) Primary School,191,9,4.7,191,9,4.7
2048,Bowling Green Primary School,159,14,8.8,159,14,8.8
2042,Carr Green Primary School,363,18,5,315,18,5.7
2068,Castle Hill Primary School,290,42,14.5,249,34,13.7
2084,Castlefields Infant School,161,28,17.4,161,28,17.4
2054,Central Street Infant & Nursery School,79,7,8.9,64,6,9.4
3001,Christ Church (Pellon) CE (VC) Primary School,183,57,31.1,183,57,31.1
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),116,27,23.3,116,27,23.3
2076,Cliffe Hill Community Primary School,211,51,24.2,187,51,27.3
2059,Colden J & I School,105,0,0,105,0,0
2006,Copley Primary School,233,6,2.6,233,6,2.6
2069,"Cornholme J, I & N School",218,46,21.1,180,40,22.2
2055,Cragg Vale J & I School,58,1,1.7,58,1,1.7
2087,Cross Lane Primary and Nursery School,325,61,18.8,283,60,21.2
2007,Dean Field Community Primary School,221,89,40.3,197,89,45.2
3318,"Elland CE (VA) J, I & N School",237,75,31.6,207,75,36.2
2003,Ferney Lee Primary School,212,63,29.7,185,51,27.6
3319,Hebden Royd CE (VA) Primary School,146,8,5.5,126,8,6.3
2058,"Heptonstall J, I & N School",116,6,5.2,100,6,6
7010,Highbury School,75,22,29.3,68,19,27.9
2050,Holywell Green Primary School,245,43,17.6,204,32,15.7
2010,Lee Mount Primary School,377,81,21.5,339,76,22.4
5204,Lightcliffe CE (VA) Primary School,418,8,1.9,418,8,1.9
2033,"Ling Bob J, I & N School",391,130,33.2,299,93,31.1
5207,Longroyde Junior School,244,47,19.3,244,47,19.3
3014,Luddenden CE School,218,35,16.1,193,32,16.6
2065,Midgley School,101,5,5,101,5,5
3332,Moorside Community Primary School,275,101,36.7,240,84,35
2066,New Road Primary School,132,30,22.7,132,30,22.7
3010,Norland CE (VC) J & I School,96,7,7.3,96,7,7.3
2015,Northowram Primary School,469,22,4.7,417,21,5
2075,Old Town Primary School,102,3,2.9,102,3,2.9
2017,Parkinson Lane Community Primary School,524,84,16,444,73,16.4
2001,"Rawson J, I & N School",390,91,23.3,344,78,22.7
2061,Ripponden J & I School,229,19,8.3,229,19,8.3
2082,Riverside Junior School,157,7,4.5,157,7,4.5
2021,Salterhebble J & I School,205,22,10.7,205,22,10.7
2009,Savile Park Primary School,256,41,16,256,41,16
2073,Shade Primary School,228,26,11.4,191,23,12
2060,Shelf J & I School,306,31,10.1,306,31,10.1
2095,Sowerby Village CE (VC) Primary School,175,60,34.3,150,60,40
3315,St Andrew's CE (VA) Infant School (Brighouse),180,27,15,180,27,15
3314,St Andrew's CE (VA) Junior School (Brighouse),236,29,12.3,236,29,12.3
3303,St Augustine's CE (VA) J & I School (Halifax),182,36,19.8,182,36,19.8
5206,St Chad's CE (VA) Primary School,213,9,4.2,213,9,4.2
3329,St Joseph's Catholic Primary School (Brighouse),245,16,6.5,206,16,7.8
3305,St Joseph's Catholic Primary School (Halifax),192,26,13.5,192,26,13.5
3330,St Joseph's RC Primary School (Todmorden),131,23,17.6,101,21,20.8
3308,St Mary's Catholic Primary School (Halifax),277,41,14.8,277,41,14.8
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),103,0,0,103,0,0
5202,St Michael & All Angels CE Primary School,200,12,6,200,12,6
3327,St Patrick's Catholic Primary School (Elland),121,26,21.5,121,26,21.5
2057,Stubbings Infant School,89,5,5.6,69,5,7.2
3326,"Todmorden CE (VA) J, I & N School",252,41,16.3,199,33,16.6
3013,Triangle CE (VC) Primary School,187,10,5.3,187,10,5.3
2067,Tuel Lane Infant School,149,22,14.8,115,22,19.1
5208,Walsden St Peter's CE (VC) Primary School,167,16,9.6,167,16,9.6
2028,Warley Road Primary School,657,107,16.3,577,106,18.4
2030,Warley Town School,129,5,3.9,129,5,3.9
5205,West Vale Primary School,175,21,12,175,21,12
2046,Withinfields Primary School,357,51,14.3,313,45,14.4
7008,Wood Bank School,70,22,31.4,68,21,30.9
2081,Woodhouse Primary School,418,6,1.4,418,6,1.4
,Calderdale (Incl special schools),"14,853","2,243",15.1,"13,682","2,093",15.3
,Calderdale (Excl special schools),"14,708","2,199",15,"13,546","2,053",15.2
,Note:,,,,,,
,Academies Data Excluded.,,,,,,
