Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Nr,AMOUNT
Specialist Hospitals,UCLH,14-Jul-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,616505,44356.25
Specialist Hospitals,UCLH,21-Jul-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30092147,52203.86
Specialist Hospitals,UCLH,07-Jul-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30091847,79838.52
Capital,UCLH,28-Jul-10,Capital,Corporate Capital Schemes,BW Interiors Limited,617413,137127.8
Capital,UCLH,28-Jul-10,Capital,Specialist Hospitals CB Capita,Charnwood Dynamics Ltd,618055,73079
Capital,UCLH,28-Jul-10,Capital,Corporate Capital Schemes,Hopkins Architects Partnership LLP,616993,29646.35
Capital,UCLH,28-Jul-10,Capital,Specialist Hospitals CB Capita,Logica Uk Ltd,618064,-40928.78
Capital,UCLH,14-Jul-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,616725,27948.55
Capital,UCLH,28-Jul-10,Capital,Specialist Hospitals CB Capita,Logica Uk Ltd,618065,40928.78
Capital,UCLH,21-Jul-10,Capital,Specialist Hospitals CB Capita,M E Construction Ltd,617044,140900.38
Capital,UCLH,14-Jul-10,Capital,Specialist Hospitals CB Capita,NHS Supply Chain,35130707,98313.1
Capital,UCLH,21-Jul-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,617000,30214.95
Capital,UCLH,21-Jul-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,35131422,41512.75
Capital,UCLH,14-Jul-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,35130594,47344.3
Capital,UCLH,07-Jul-10,Capital,Surgery CB Capital Schemes,Siemens Healthcare,615487,84675.14
Capital,UCLH,07-Jul-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,615486,574084.03
Capital,UCLH,21-Jul-10,Capital,Corporate Capital Schemes,Skanska,617446,1054705.85
Capital,UCLH,14-Jul-10,Capital,Specialist Hospitals CB Capita,Sonosite Ltd,616727,29662.86
Capital,UCLH,14-Jul-10,Capital,Corporate Capital Schemes,Specialist Computer Centre Plc,616647,-34075
Capital,UCLH,14-Jul-10,Capital,Corporate Capital Schemes,Specialist Computer Centre Plc,616645,34075
Capital,UCLH,21-Jul-10,Capital,Specialist Hospitals CB Capita,T&B (Contractors ) Ltd,616821,36296.84
Capital,UCLH,14-Jul-10,Capital,Corporate Directorates Service,University College London - UNIVE01,615634,38093.44
Capital,UCLH,28-Jul-10,Capital,Surgery CB Capital Schemes,Varian Medical Systems Uk,618062,95000
Surgery,UCLH,28-Jul-10,External Support,Medical Physics,B Braun Medical Ltd,20014748,25899.71
Surgery,UCLH,21-Jul-10,External Support,Medical Physics,B Braun Medical Ltd,35120146,25899.71
Surgery,UCLH,28-Jul-10,External Support,Cancer Services,Human Tissue Authority,20015159,26320
Specialist Hospitals,UCLH,28-Jul-10,Contract Hotel Services-incl cleaning,NHNN,Medirest,620598,125066.53
