"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","EO","22437","26688","Communications support officer","2.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","EO","22437","26688","Personal Secretary","1.00","Operational delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","HEO","26228","32772","Communications Officer","4.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","SEO","32974","47648","Communications Manager","3.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","SEO","32974","47648","Private Secretary","1.00","Operational delivery"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","G7","48880","59249","Senior Communications Manager","1.00","Communications"
"Department for Business Innovation and Skills","Land Registry","Chief Land Registrars Office","1","G6","51131","72134","Executive to the Board","1.00","Operational delivery"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","AO","18899","21959","Computer Operator","16.50","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","EO","22437","26688","IT Support Officer","154.49","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","HEO","26228","32772","IT Officer","135.26","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","SEO","32974","47648","IT Manager","72.99","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G7","48880","59249","Senior IT manager","10.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","Information Systems","2","G6","51131","72134","Senior IT manager","4.00","Information Technology"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","AO","18899","21959","HR support officer","3.62","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","Facilities","1.00","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","EO","22437","26688","HR Officer","24.28","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Facilities","1.68","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","HR Officer","26.49","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","P&I Principal","1.61","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","HEO","26228","32772","Property Asset Manager","1.95","Property and Asset Management"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Facilities","4.00","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","P&I Principal","5.00","Human resources"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Property Asset Manager","3.00","Property and Asset Management"
"Department for Business Innovation and Skills","Land Registry","HR Directorate","3","SEO","32974","47648","Senior HR Officer","33.00","Human resources"
