Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1625,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3000,Shop and Premises,Listed Building
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",810,Land Used For Storage and Premises,Rateable Value below threshold
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,370,Office,Rateable Value below threshold
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",12250,Offices and Premises,Listed Building
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,3350,Shop and Premises,Listed Building
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,660,Store And Premises,Rateable Value below threshold
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1900,Shop and Premises,Rateable Value below threshold
Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG",64748705,"19 Crossley Street, Halifax, HX1 1UG",2650,Store And Premises,Listed Building
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2750,Office,Listed Building
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",4150,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",7600,Offices and Premises,Listed Building
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",6000,Offices and Premises,Empty Relief - Post 01/04/2008
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",7900,Shop and Premises,Empty Relief - Post 01/04/2008
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4250,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1750,Workshop,Empty Property - RV < 15000
,"16 Square, Halifax, HX1 1RJ",68700016,,7300,Shop and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",4000,Shop and Premises,Listed Building
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1625,Cricket Club And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",16500,Offices and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1100,Store And Premises,Listed Building
