Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,09/06/2014,4COURT PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,£633.80
Rochdale,17/06/2014,7 PDS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£2,500.00"
Rochdale,26/06/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£711.40
Rochdale,04/06/2014,A A ARNOLD LIMITED                   (S),Education,EARLY HELP AND SCHOOLS,SALIX LOANS TO SCHOOLS,"£11,074.37"
Rochdale,09/06/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",-,PARKS ROCHDALE,"£9,324.61"
Rochdale,04/06/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,BOARSHAW RD BRIDGE,"£20,687.11"
Rochdale,03/06/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,"£1,718.25"
Rochdale,25/06/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,OGDEN LANE RETAINING WALL,"£47,860.45"
Rochdale,02/06/2014,A L A R M,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,INSURANCE,£790.00
Rochdale,04/06/2014,A W COLEMAN,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£6,505.80"
Rochdale,24/06/2014,A1 PLUMBING & HEATING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,904.00"
Rochdale,05/06/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£1,005.00"
Rochdale,13/06/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,NEWBOLD CHILDRENS CENTRE,£580.00
Rochdale,17/06/2014,ABRACADABRA PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,069.20"
Rochdale,17/06/2014,ABRACADABRA PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,322.96"
Rochdale,23/06/2014,ACE SAFETY ACADEMY LTD,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£630.00
Rochdale,05/06/2014,ACIES CIVIL AND STRUCTURAL,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
