Body Name,Service Label,Service Code,Expenditure CIPFA Group Label,Expenditure CIPFA Sub Group Label,Expenditure CIPFA Sub Group Code,Date,Transaction Number,Net Amount,Supplier Name,Supplier ID,"Grants to Voluntary, Community and Social Enterprise Sector?"
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 23/10/2014,PCO0256335,£134.52,FST CONSUMABLES LIMITED,A0000004,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,PCO0256036,£37.46,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,PCO0256042,£25.73,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 02/10/2014,HED0255929,£73.40,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 23/10/2014,PCO0256343,£85.80,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,PCO4004376,-£13.91,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 16/10/2014,PCO0256138,£26.90,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 16/10/2014,PCO0256139,£11.49,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,PCO0256045,£37.01,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 09/10/2014,OPS0256075,£2.98,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 30/10/2014,PCO0256548,£11.52,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 16/10/2014,PCO0256168,£213.00,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Lubricants,3203, 09/10/2014,PCO0256014,£97.00,BEARING FACTORS,A0000205,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,PCO0256342,£84.86,BEARING FACTORS,A0000205,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 02/10/2014,COR0255948,£147.10,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 02/10/2014,COR0255949,£69.54,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 30/10/2014,COR0256679,£97.85,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Economic Development & Tourism,REG,Supplies and services,Publicity & advertisement,4704, 16/10/2014,REG0256300,£450.00,NEWSQUEST (NORTH WEST) LTD,A0000219,No
Pendle Borough Council,Environmental Health Services,ENV,Supplies and services,Miscellaneous : Other,4707, 16/10/2014,ENV0256264,"£5,161.00",BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 09/10/2014,HED0256077,"£1,500.00",CB EXCAVATORS LTD,A0000396,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 09/10/2014,HED0255997,"£3,500.00",CB EXCAVATORS LTD,A0000396,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 09/10/2014,EST0256092,£40.00,BARROWFORD SAFE & LOCK SERV LT,A0000458,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 23/10/2014,EST0256453,£135.19,BARROWFORD SAFE & LOCK SERV LT,A0000458,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Meeting Expenses,4610, 30/10/2014,DAL0256632,£135.00,BRIERFIELD TOWN COUNCIL,A0000469,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 09/10/2014,PCO0256047,£50.41,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Capital : Payments,CD14, 30/10/2014,HMR0256578,£75.00,MARTIN COLLINS JOINERY & GLAZING,A0000623,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Capital : Payments,CD14, 30/10/2014,HMR0256579,£95.00,MARTIN COLLINS JOINERY & GLAZING,A0000623,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Other Expenses,4705, 23/10/2014,DAL0256465,£300.00,CARRO-STEP PRINT SERVICES,A0000853,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Ren Grant : 1996 Act,CH22, 02/10/2014,HMR0255873,"£4,290.10",J DRIVER LTD,A0000884,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Ren Grant : 1996 Act,CH22, 30/10/2014,HMR0256582,"£4,459.08",J DRIVER LTD,A0000884,No
Pendle Borough Council,Property Services,EST,Supplies and services,Other Expenses,4705, 16/10/2014,EST0256222,£22.00,FIRST SIGNS LIMITED,A0001121,No
Pendle Borough Council,Financial Services,AAS,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,AAS4004374,-£56.50,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Operational Services,OPS,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,OPS0256062,£62.25,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 09/10/2014,PCO0256044,£49.75,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Parks & Recreation Services,PCO,Supplies and services,EFM : Other Equipment,4003, 09/10/2014,PCO0256043,"£1,433.34",GIBSONS GARDEN MACHINERY LTD,A0001201,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 30/10/2014,PCO0256571,£149.28,GIBSONS GARDEN MACHINERY LTD,A0001201,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 02/10/2014,OPS0255911,£47.28,JEWSON LIMITED,A0001323,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 23/10/2014,OPS0256364,£47.28,JEWSON LIMITED,A0001323,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 23/10/2014,PCO0256340,£25.00,J HARGREAVES,A0001359,No
Pendle Borough Council,Directorate,MAN,Supplies and services,Other Expenses,4705, 09/10/2014,MAN0255986,£7.50,HSE BOOKS,A0001364,No
Pendle Borough Council,Environmental Health Services,ENV,Supplies and services,EFM Materials,4004, 02/10/2014,ENV0255924,£43.42,KILLGERM CHEMICALS LTD,A0001624,No
Pendle Borough Council,Information Services,ITS,Supplies and services,Computer Charges,4509, 23/10/2014,ITS0256537,£376.40,KELWAY (UK) LIMITED,A0001664,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 02/10/2014,HED0255893,£36.39,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 09/10/2014,HED0256078,£95.95,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 09/10/2014,PCO0256016,£130.13,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,PCO0256338,£40.50,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,HED0256356,£23.21,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 30/10/2014,PCO0256549,£597.32,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,HED0256354,£6.39,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,HED0256450,£62.39,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 30/10/2014,HED0256583,£95.15,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 30/10/2014,HED0256585,£310.25,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 23/10/2014,PCO0256351,£66.05,LBS WORLDWIDE LIMITED,A0001673,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Lubricants,3203, 23/10/2014,PCO0256277,£112.50,DICK LEIGH,A0001675,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Ren Grant : 1996 Act,CH22, 02/10/2014,HMR0255869,£542.00,LANCASHIRE COUNTY COUNCIL,A0001690,No
Pendle Borough Council,Housing Regeneration Services,HMR,Capital costs,Ren Grant : 1996 Act,CH22, 02/10/2014,HMR0255871,£692.00,LANCASHIRE COUNTY COUNCIL,A0001690,No
