DfE No,School,Type of establishment,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
2005,Abbey Park Primary Academy,Academy,219,49,22.4,189,48,25.4
5201,All Saints' CE (VA) J & I School,LA Maintained,211,7,3.3,211,7,3.3
2093,Ash Green Community Primary School,LA Maintained,462,141,30.5,393,141,35.9
2040,Bailiffe Bridge J & I School,LA Maintained,208,8,3.8,208,8,3.8
3321,Barkisland CE (VA) Primary School,LA Maintained,203,11,5.4,203,11,5.4
2019,Beech Hill School,Academy,579,117,20.2,518,116,22.4
2063,Bolton Brow Primary Academy,Academy,235,25,10.6,215,25,11.6
2048,Bowling Green Primary School,LA Maintained,160,20,12.5,160,20,12.5
2004,Bradshaw Primary School,Academy,331,32,9.7,331,32,9.7
2053,Burnley Road Academy,Academy,244,25,10.2,219,25,11.4
2042,Carr Green Primary School,LA Maintained,345,18,5.2,314,18,5.7
2068,Castle Hill Primary School,LA Maintained,274,32,11.7,250,32,12.8
2054,Central Street Infant & Nursery School,LA Maintained,68,5,7.4,63,5,7.9
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,190,58,30.5,190,58,30.5
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,136,29,21.3,136,29,21.3
2076,Cliffe Hill Community Primary School,LA Maintained,178,41,23,168,40,23.8
2059,Colden J & I School,LA Maintained,87,0,0,87,0,0
2006,Copley Primary School,LA Maintained,235,4,1.7,235,4,1.7
2069,"Cornholme J, I & N School",LA Maintained,209,53,25.4,186,51,27.4
2055,Cragg Vale J & I School,LA Maintained,54,0,0,54,0,0
2087,Cross Lane Primary and Nursery School,LA Maintained,310,54,17.4,291,53,18.2
2007,Dean Field Community Primary School,LA Maintained,210,78,37.1,189,78,41.3
3318,"Elland CE (VA) J, I & N School",LA Maintained,218,68,31.2,200,68,34
2003,Ferney Lee Primary School,LA Maintained,202,60,29.7,188,53,28.2
2000,Field Lane Primary School,Academy,139,39,28.1,125,39,31.2
3319,Hebden Royd CE (VA) Primary School,LA Maintained,151,6,4,135,6,4.4
2058,"Heptonstall J, I & N School",LA Maintained,110,3,2.7,104,3,2.9
7010,Highbury School,LA Maintained,72,18,25,67,17,25.4
3331,Holy Trinity Primary School (COEA),Academy,414,45,10.9,414,45,10.9
2050,Holywell Green Primary School,LA Maintained,233,39,16.7,206,32,15.5
