Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19363260,"110,305.41"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19397411,"41,291.72"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19515484,"51,431.85"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19560522,"40,292.23"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19642950,"65,386.44"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,19674330,"46,613.06"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Computer Software/License,PACS / CRIS,ACCENTURE (UK) LTD,19482936,"67,827.90"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,ALCURA UK LTD,19363696,"30,988.32"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,ALCURA UK LTD,19515573,"39,439.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,ALCURA UK LTD,19515577,"31,692.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,ALLIANCE HEALTHCARE DISTRIBUTION LTD,19428828,"29,718.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Independent Sector,MRI,ALLIANCE MEDICAL LTD,19564102,"46,650.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Childcare,Human Resources,ALLSAVE,SSC DD/PLYMOUTH HOSPITALS,"37,201.38"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Computer Maintenance,Pharmacy Central,ASCRIBE LTD,19673544,"25,708.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,BATH ASU,19397430,"27,360.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,BATH ASU,19397430,"27,360.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/07/2016,Drugs,Pharmacy,BATH ASU,19397431,"43,645.80"
