UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
24,Stockport Council,111100-Catering : Equipment & Utensils : ,Light Catering Equipment ,Quote,Contract,12/11/2013,24,48,31/10/2017,Yes,31/10/2017,01/09/2017," œ41,400.00 "," œ165,600.00 ",W V Howe,SME,507835,B30 3HP,Stockport- Services to People
45,Stockport Council,271200-Information Communication Technology : Hardware : ,AGMA Framework: Audio Visual and Presentation Equipment ,Call Off (External),Contract,01/08/2013,36,48,31/07/2016,No,31/07/2016,01/01/2016," œ3,333.33 "," œ13,333.33 ",GV / Millennium Business & Over Audio,SME,03722113,RG12 1RP,Stockport- Corporate & Support Services
176,Stockport Council,SOCIAL CARE SERVICES : Adult,Adult Placement (Shared Lives),Tender,Contract,01/07/2011,36,72,31/08/2018,Yes,31/08/2018,03/01/2018," œ477,465.00 "," œ8,400,000.00 ",Independent Options,SME,2560910,SK7 5PE,Stockport- Services to People
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU Tender,Contract,01/09/2013,36,72,31/08/2019,Yes,31/08/2019,31/08/2019," œ2,523,822.00 "," œ15,142,932.00 ",Creative Support,Large,0027440IP,M1 2HF,Stockport- Services to People
199,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU Tender,Contract,01/04/2012,24,48,31/03/2018,Yes,31/03/2018,01/03/2018," œ500,622.00 "," œ2,002,488.00 ",Berrycroft Manor,SME,6969431,SK6 3AU,Stockport- Services to People
200,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU Tender,Contract,01/04/2012,24,60,31/03/2018,Yes,31/03/2018,01/03/2018," œ1,084,512.00 "," œ5,422,560.00 ",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
236,Stockport Council,SOCIAL CARE SERVICES : Adult,Provision of Framework for Residential & Nursing Care for Older People,OJEU Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,30/09/2017," œ25,000,000.00 "," œ100,000,000.00 ",Various - See Below,Various,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to People
236,Stockport Council,SOCIAL CARE SERVICES : Adult,Provision of Framework for Residential & Nursing Care for Older People,,,01/04/2014,60,60,31/03/2018,No,31/03/2018,," œ173,908.00 "," œ695,632.00 ",United Response,VCSE,1133776,SW19 1NE,Stockport- Services to People
244,Stockport Council,SOCIAL CARE SERVICES : Adult,Residential care  ,OJEU Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,30/09/2017," œ4,023,911.00 "," œ16,095,644.00 ",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),OJEU Tender,Contract,01/10/2011,24,60,31/03/2018,Yes,31/03/2018,01/09/2017," œ99,900.00 "," œ499,500.00 ",MIND,VCSE,5879337,SK1 3NP,Stockport- Services to People
