ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,16/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,ESSENTRA SECURITY LTD,16/06/2017,1525.30 ,PRINTING & STATIONERY,V001094904
ROCHDALE BOROUGH COUNCIL,23/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,23/06/2017,970.00 ,EQUIPMENT - GENERAL,V001101407
ROCHDALE BOROUGH COUNCIL,27/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,HI-WAY UNITS LIMITED,27/06/2017,780.00 ,VEHICLE MAINTENANCE,V001101434
ROCHDALE BOROUGH COUNCIL,23/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,23/06/2017,-2388.00 ,EQUIPMENT - GENERAL,V001103480
ROCHDALE BOROUGH COUNCIL,12/06/2017,EARLY HELP AND SCHOOLS,RELATE GREATER MANCHESTER NORTH,12/06/2017,600.00 ,ACTIVITIES,V001107728
ROCHDALE BOROUGH COUNCIL,19/06/2017,RESOURCES,HEALTH MANAGEMENT LIMITED,19/06/2017,8970.78 ,OCCUPATIONAL HEALTH,V001109029
ROCHDALE BOROUGH COUNCIL,21/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,CRESTA WORLD TRAVEL LIMITED,21/06/2017,514.00 ,HOSPITALITY,V001112413
ROCHDALE BOROUGH COUNCIL,09/06/2017,ECONOMY DIRECTORATE,H BELL & SONS ROCHDALE LTD,09/06/2017,1383.00 ,REPAIRS & ALTS OF BUILDINGS,V001114100
ROCHDALE BOROUGH COUNCIL,01/06/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,01/06/2017,590.00 ,TRANSACTIONS-EXPENDITURE,V001116284
ROCHDALE BOROUGH COUNCIL,21/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,THOMAS FATTORINI LIMITED,21/06/2017,781.39 ,HOSPITALITY,V001116306
ROCHDALE BOROUGH COUNCIL,30/06/2017,ECONOMY DIRECTORATE,BRAHM FUNDCO 2 LTD,30/06/2017,-6196.32 ,PFI SCHEMES RPI,V001119579
ROCHDALE BOROUGH COUNCIL,01/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,CF CORPORATE FINANCE LTD,01/06/2017,531.18 ,HIRE OF EQUIPMENT,V001119646
ROCHDALE BOROUGH COUNCIL,21/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,21/06/2017,1559.01 ,SOFTWARE,V001121730
ROCHDALE BOROUGH COUNCIL,06/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,PROTON SOUTHERN LIMITED,06/06/2017,1310.00 ,REPAIRS & ALTS OF BUILDINGS,V001121762
ROCHDALE BOROUGH COUNCIL,12/06/2017,ECONOMY DIRECTORATE,EDF ENERGY 1 LIMITED,12/06/2017,754.40 ,ELECTRICITY,V001122029
ROCHDALE BOROUGH COUNCIL,20/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,AVK SEG UK LTD,20/06/2017,1422.65 ,PROPERTY - WORKS ELEMENT,V001122141
ROCHDALE BOROUGH COUNCIL,20/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,AVK SEG UK LTD,20/06/2017,1748.96 ,PROPERTY - WORKS ELEMENT,V001122142
ROCHDALE BOROUGH COUNCIL,02/06/2017,EARLY HELP AND SCHOOLS,POSITIVE STEPS,02/06/2017,79500.00 ,EXTERNALLY MANAGED FUNDS,V001123900
ROCHDALE BOROUGH COUNCIL,02/06/2017,RESOURCES,ROSSENDALES,02/06/2017,875.15 ,BAILIFFS,V001124923
ROCHDALE BOROUGH COUNCIL,06/06/2017,EARLY HELP AND SCHOOLS,BIRTENSHAW HALL SCHOOL,06/06/2017,4753.66 ,OTHER LA`S - SEN PROVISION,V001125000
ROCHDALE BOROUGH COUNCIL,01/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,DAISY COMMUNICATIONS LTD,01/06/2017,2088.13 ,IT MAINTENANCE,V001125004
ROCHDALE BOROUGH COUNCIL,02/06/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,02/06/2017,2875.32 ,CAPITAL SALARIES,V001125021
ROCHDALE BOROUGH COUNCIL,02/06/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,02/06/2017,2393.64 ,CAPITAL SALARIES,V001125022
ROCHDALE BOROUGH COUNCIL,01/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,DAISY COMMUNICATIONS LTD,01/06/2017,1231.75 ,SOFTWARE,V001125126
ROCHDALE BOROUGH COUNCIL,05/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,05/06/2017,3946.07 ,AGILISYS CONTRACT,V001125223
ROCHDALE BOROUGH COUNCIL,05/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,05/06/2017,97723.80 ,AGILISYS CONTRACT,V001125224
ROCHDALE BOROUGH COUNCIL,01/06/2017,NEIGHBOURHOODS AND ENVIRONMENT,CLEAR SKIES SOFTWARE LTD,01/06/2017,1800.00 ,SOFTWARE,V001125225
ROCHDALE BOROUGH COUNCIL,07/06/2017,PUBLIC HEALTH,WOMENS HOUSING ACTION GROUP,07/06/2017,18071.66 ,PH OTHER CONTRACTS,V001125261
ROCHDALE BOROUGH COUNCIL,12/06/2017,CHILDREN’S SOCIAL CARE,UNIVERSITY OF KENT,12/06/2017,1633.94 ,YOUNG PEOPLES RENTS,V001125263
