Account Name,Business Address 1,Business Address 2,Business Address 3,Business Address 4,Business Address 5,Business Post Code,Property Description,Rates Payable 17/18,Transitional Amount,Liable From,2017 Rateable Value,Account Type,Small Business Relief,Mandatory Relief,Discretionary Relief,Top Up Discretionary Relief,Exempt Property,VO reference
1 CALL ACCOUNTANTS LIMITED,1 Mill Lane,Castleford,West Yorkshire,,,WF10 2LX,Offices & Premises,£0.00,-£582.48,01/04/2010,6200,Occupied,Yes,,,,,2611600101
1 DIAMOND RECYCLING LIMITED,Quarry Farm,Trough Lane,South Elmsall,Pontefract,West Yorkshire,WF9 2SX,Workshop & Premises,£0.00,-£918.36,01/02/2014,8200,Occupied,Yes,,,,,0804209010
103 (WAKEFIELD) LTD T/A CHINESE BUFFET,Unit G33,Trinity Walk,Wakefield,West Yorkshire,,WF1  1QS,Restaurant & Premises,"£31,285.04","-£3,624.68",27/08/2011,77500,Occupied,,,,,,2418219033
1512 DESIGN LIMITED,Jupiter Suite,Trinity Space Centre,Waldorf Way,Wakefield,West Yorkshire,WF2  8DH,Offices & Premises,£0.00,-£225.66,01/04/2015,2125,Occupied,Yes,,,,,2434379891
15TH WAKEFIELD SANDAL MAGNA SCOUT GROUP,699 Barnsley Road,Newmillerdam,Wakefield,West Yorkshire,,WF2 6QQ,Hall & Premises,£0.00,,01/04/1990,3850,Occupied,,Yes,,Yes,,3700456990
1ST LETTINGS (YORKSHIRE) LIMITED,16 Cross Street,Wakefield,West Yorkshire,,,WF1  3BW,Shop & Premises,"£8,008.40",,14/04/2008,17750,Occupied,,,,,,2408760160
1ST PONTEFRACT SCOUT GROUP,Cooke Hall Scout H Q,Knottingley Road,Pontefract,West Yorkshire,,WF8 2LG,Clubhouse & Premises,£0.00,,01/04/1990,3300,Occupied,,Yes,,Yes,,2110609080
2 SISTERS FOOD GROUP LIMITED,Unit 8 Trinity Business,Park,Waldorf Way,Wakefield,West Yorkshire,WF2  8EE,Offices & Premises,"£63,843.99","£19,775.99",14/07/2003,92000,Occupied,,,,,,2477550700
2 SISTERS FOOD GROUP LIMITED,Suites 1 & 2 Second Floor,International House,Trinity Business Park,Waldorf Way,Wakefield,WF2  8EF,Offices & Premises,"£24,659.32","£6,718.32",01/07/2013,38500,Occupied,,,,,,2477555971
2 SISTERS FOOD GROUP LIMITED,Office 3 Unit 7A,Sovereign House,Trinity Business Park,Waldorf Way,Wakefield,WF2  8EF,Offices & Premises,£714.26,-£216.63,01/04/2016,2050,Occupied,,,,,,2477561807
2 SISTERS FOOD GROUP LIMITED,Unit G Century Park,Brunel Road,Wakefield 41,Wrenthorpe,Wakefield West Yorkshire,WF2  0XE,Warehouse & Premises,"£271,950.91","£20,475.91",21/08/2008,525000,Occupied,,,,,,3106173007
24HR QUALITY CARE LIMITED,2 Harropwell Lane,(Rooms 4-8),Pontefract,West Yorkshire,,WF8  1QY,Offices & Premises,£0.00,"-£1,156.60",01/09/2015,8600,Occupied,Yes,,,,,210934228
