School Name,DfE Number,Pupils eligible for Free School Meals,Pupils eligible for Free School Meals Excluding Nursery
Abbey Park Primary Academy,3812005,49,48
Akroydon Primary School,3812001,89,85
All Saints' CE (VA) J & I School,3815201,7,7
Ash Green Community Primary School,3812093,140,138
Bailiffe Bridge J & I School,3812040,5,5
Barkisland CE (VA) Primary School,3813321,12,12
Beech Hill School,3812019,111,111
Bolton Brow Primary Academy,3812063,24,21
Bowling Green Primary School,3812048,19,19
Bradshaw Primary School,3812004,24,24
Burnley Road Academy,3812053,32,32
"Calder High School, A Specialist Technology College",3814022,<5,<5
Carr Green Primary School,3812042,25,25
Castle Hill Primary School,3812068,30,30
Central Street Infant & Nursery School,3812054,<5,<5
Christ Church (Pellon) CE (VC) Primary School,3813001,65,65
Christ Church CE (VA) Junior School (Sowerby Bridge),3813323,27,27
Cliffe Hill Community Primary School,3812076,63,63
Copley Primary School,3812006,8,8
"Cornholme J, I & N School",3812069,44,40
Cross Lane Primary and Nursery School,3812087,56,54
Dean Field Community Primary School,3812007,83,77
"Elland CE (VA) J, I & N School",3813318,73,73
Ferney Lee Primary School,3812003,63,56
Field Lane Primary School,3812000,44,31
Hebden Royd CE (VA) Primary School,3813319,6,6
"Heptonstall J, I & N School",3812058,5,5
Highbury School,3817010,18,18
Holy Trinity Primary School (COEA),3813331,55,55
Holywell Green Primary School,3812050,38,34
Lee Mount Primary School,3812010,63,63
Lightcliffe CE (VA) Primary School,3815204,7,7
"Ling Bob J, I & N School",3812033,113,94
Longroyde Primary School,3815207,61,61
Luddenden CE School,3813014,25,23
Luddendenfoot Academy,3812064,10,10
Midgley School,3812065,<5,<5
Moorside Community Primary School,3813332,100,95
Mount Pellon Primary Academy,3812002,93,93
New Road Primary School,3812066,32,32
Norland CE (VC) J & I School,3813010,14,14
Northowram Primary School,3812015,20,20
Old Earth School,3812083,32,32
Old Town Primary School,3812075,5,5
Parkinson Lane Community Primary School,3812017,91,87
Ripponden J & I School,3812061,16,16
Riverside Junior School,3812082,10,10
Sacred Heart Catholic Primary School (Sowerby Bridge),3813328,32,32
Salterhebble J & I School,3812021,31,31
Salterlee Academy Trust,3815200,<5,<5
Savile Park Primary School,3812009,45,45
Scout Road Academy,3812056,<5,<5
Shade Primary School,3812073,26,25
Shelf J & I School,3812060,25,25
Siddal Primary School,3812094,41,41
Sowerby Village CE (VC) Primary School,3812095,53,52
St Andrew's CE (VA) Infant School (Brighouse),3813315,15,15
St Andrew's CE (VA) Junior School (Brighouse),3813314,40,40
St Augustine's CE (VA) J & I School (Halifax),3813303,30,30
St Chad's CE (VA) Primary School,3815206,8,8
"St John's (CE) Primary Academy, Clifton",3815203,8,8
St John's CE Primary School (Rishworth),3813322,<5,<5
St Joseph's Catholic Primary School (Brighouse),3813329,11,11
St Joseph's Catholic Primary School (Halifax),3813305,19,19
St Joseph's RC Primary School (Todmorden),3813330,34,32
St Malachy's Catholic Primary School,3813306,51,51
St Mary's Catholic Primary School (Halifax),3813308,40,40
St Mary's CE (VC) J & I School (Sowerby Bridge),3813011,<5,<5
St Michael & All Angels CE Primary School,3815202,8,8
St Patrick's Catholic Primary School (Elland),3813327,30,30
Stubbings Infant School,3812057,<5,<5
The Greetland Academy,3812049,12,12
The Halifax Academy,3814035,18,18
"Todmorden CE (VA) J, I & N School",3813326,34,30
Triangle CE (VC) Primary School,3813013,8,8
Tuel Lane Infant School,3812067,22,22
Wainstalls School,3812027,8,8
Walsden St Peter's CE (VC) Primary School,3815208,11,11
Warley Road Primary School,3812028,76,76
Warley Town School,3812030,6,6
West Vale Primary School,3815205,30,30
Whitehill Community Academy,3812031,98,97
Withinfields Primary School,3812046,48,47
Wood Bank School,3817008,21,21
Woodhouse Primary School,3812081,<5,<5
