Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Customer Service,Transport Related Expenses,2403/20201/AI108,Repairs By Outside Garages,20201,02/01/2018,inv0042987,-804.27,Control Holding and SU Accnts,Trenhams,32783
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20201/VR100,Repairs By Outside Garages,20201,25/01/2018,inv0043573,84.00,Control Holding and SU Accnts,A & P Sedman Ltd,17580
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20201/VR109,Repairs By Outside Garages,20201,25/01/2018,inv0043574,435.30,Control Holding and SU Accnts,A & P Sedman Ltd,17580
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2452/20201/VR112,Repairs By Outside Garages,20201,25/01/2018,inv0043575,99.00,Control Holding and SU Accnts,A & P Sedman Ltd,17580
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Delivery & Front Line Services,Transport Related Expenses,2461/20201/VY202,Repairs By Outside Garages,20201,25/01/2018,inv0043572,84.00,Control Holding and SU Accnts,A & P Sedman Ltd,17580
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Premises,2211/10001,Premises Rep.& Maint.-Out.Contractor,10001,11/01/2018,crn0000623,-152.00,Control Holding and SU Accnts,A D Environmental Ltd,21613
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Premises,2211/10001,Premises Rep.& Maint.-Out.Contractor,10001,11/01/2018,inv0043087,658.75,Control Holding and SU Accnts,A D Environmental Ltd,21613
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Regulatory Services,1306,Resources and Enabling,Premises,1346/10001,Premises Rep.& Maint.-Out.Contractor,10001,11/01/2018,inv0043074,2131.00,General Fund,A P Bluck Ltd,29926
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Democratic Rep and Management,1702,Resources and Enabling,Supplies and Services,1711/38018,General Miscellaneous,38018,18/01/2018,inv0043312,975.00,General Fund,Aberration Film & Photography,26168
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Housing Strategy,1606,Delivery & Front Line Services,Supplies and Services,1651/34013,Survey & Valuation Fees,34013,18/01/2018,inv0043084,622.00,General Fund,ADH Site Surveys Ltd,18633
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34112,Income Processing Charges,34112,18/01/2018,inv0043294,844.94,General Fund,allpay Limited,20775
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Long Term Liabilities,6A4,Long Term Creditors,6401,Customer Service,Balance Sheet Detail Codes,6737/A9001,Balance Sheet Debit,A9001,11/01/2018,inv0043136,500.00,Balance Sheet,Ampleforth & District Historical Society,32472
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Support Service Service Unit,2301,Resources and Enabling,Supplies and Services,2814/33002,Printing & Stationery,33002,11/01/2018,inv0043090,430.25,Control Holding and SU Accnts,Automail Envelopes Ltd,17305
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Support Service Service Unit,2301,Resources and Enabling,Supplies and Services,2814/33002,Printing & Stationery,33002,11/01/2018,inv0043091,539.24,Control Holding and SU Accnts,Automail Envelopes Ltd,17305
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Resources and Enabling,Transport Related Expenses,2414/21001,Lease Costs,21001,04/01/2018,inv0042986,147.48,Control Holding and SU Accnts,Automotive Leasing,17997
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Corporate Management,Transport Related Expenses,2414/21001,Lease Costs,21001,04/01/2018,inv0042988,345.08,Control Holding and SU Accnts,Automotive Leasing,17997
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Support Service Service Unit,2301,Customer Service,Supplies and Services,2814/33002,Printing & Stationery,33002,25/01/2018,inv0043280,504.60,Control Holding and SU Accnts,Banner Business Supplies Ltd,17345
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Customer Service,Supplies and Services,2863/31003,Laundry (Inc.Towel Rentals),31003,18/01/2018,inv0043429,316.29,Control Holding and SU Accnts,Berendsen UK Ltd,17694
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Customer Service,Supplies and Services,2863/31003,Laundry (Inc.Towel Rentals),31003,18/01/2018,inv0043282,75.00,Control Holding and SU Accnts,Berendsen UK Ltd,17694
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Customer Service,Supplies and Services,2863/31003,Laundry (Inc.Towel Rentals),31003,18/01/2018,inv0043281,60.00,Control Holding and SU Accnts,Berendsen UK Ltd,17694
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34107,Hired Services - General,34107,18/01/2018,inv0043324,75.00,General Fund,Bristow & Sutor,19692
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34107,Hired Services - General,34107,18/01/2018,inv0043304,90.99,General Fund,Bristow & Sutor,19692
