Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000854713,27/11/2014,BRITISH TELECOMMUNICATIONS PLC,Information Communication Technology,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,898.82
Rochdale,V000849095,13/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,2703.51
Rochdale,V000848503,10/11/2014,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,20050.15
Rochdale,V000849342,14/11/2014,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,18409.65
Rochdale,V000854688,26/11/2014,ELECTRIC CENTER,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,779.5
Rochdale,V000852608,20/11/2014,ESSENTRA PACKAGING AND SECURITY LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,569
Rochdale,V000849250,13/11/2014,OTIS LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,1550
Rochdale,V000852620,20/11/2014,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,4416.83
Rochdale,V000852621,20/11/2014,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,4188.6
Rochdale,V000849247,13/11/2014,WINTON FLOORING LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,1208.7
Rochdale,V000848070,06/11/2014,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,11 TELFORD WAY,16607
Rochdale,V000854715,27/11/2014,GMLPN,Financial Services,EARLY HELP AND SCHOOLS,14-19 TEAM 11/12,2070
Rochdale,V000847591,04/11/2014,PARKWOOD LEISURE,Arts & Leisure Services,PROPERTY AND HIGHWAYS,17-25 YOUNG DRIVER PROJECT,5432.26
Rochdale,V000847835,06/11/2014,PARKWOOD LEISURE,Arts & Leisure Services,PROPERTY AND HIGHWAYS,17-25 YOUNG DRIVER PROJECT,1684.26
Rochdale,V000852603,20/11/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,5 DISABLED PARKING BAYS,1188.75
Rochdale,V000854917,28/11/2014,OFFICE DEPOT UK LIMITED,Stationery,PUBLIC HEALTH,5 WAYS TO WELLBEING,1683.36
