ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,05/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,05/05/2017,725.40 ,CONTRACTED SERVICES,V001057469
ROCHDALE BOROUGH COUNCIL,30/05/2017,RESOURCES,LINK4LIFE (CHARITY),30/05/2017,2813.62 ,PRINTING & STATIONERY,V001070060
ROCHDALE BOROUGH COUNCIL,25/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,LANCASHIRE COUNTY COUNCIL,25/05/2017,3568.18 ,OTHER LOCAL AUTHORITIES,V001076659
ROCHDALE BOROUGH COUNCIL,16/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,SCHNEIDER ELECTRIC LIMITED,16/05/2017,-595.00 ,PROPERTY - WORKS ELEMENT,V001090121
ROCHDALE BOROUGH COUNCIL,19/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,FAILSWORTH TRAINING SERVICES LTD,19/05/2017,1995.00 ,EQUIPMENT - GENERAL,V001098267
ROCHDALE BOROUGH COUNCIL,08/05/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,08/05/2017,2368.69 ,CAPITAL SALARIES,V001098313
ROCHDALE BOROUGH COUNCIL,03/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,ECO FUELS SERVICES LTD,03/05/2017,2820.00 ,PROPERTY - WORKS ELEMENT,V001098793
ROCHDALE BOROUGH COUNCIL,03/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,ECO FUELS SERVICES LTD,03/05/2017,-2115.00 ,PROPERTY - WORKS ELEMENT,V001100062
ROCHDALE BOROUGH COUNCIL,02/05/2017,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,02/05/2017,31000.00 ,ROADWORKS,V001101432
ROCHDALE BOROUGH COUNCIL,24/05/2017,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,24/05/2017,4764.00 ,PH OTHER CONTRACTS,V001102015
ROCHDALE BOROUGH COUNCIL,18/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE TOWN CENTRE MANAGEMENT CO,18/05/2017,-4900.00 ,EVENTS,V001103879
ROCHDALE BOROUGH COUNCIL,24/05/2017,PHYSICAL DIS & OLDER PEOPLE,TOTAL HYGIENE LTD,24/05/2017,3922.50 ,MINOR BUILDING WORKS,V001104619
ROCHDALE BOROUGH COUNCIL,04/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,04/05/2017,6860.00 ,COMMUNICATION AND COMPUTING - GENERAL,V001104959
ROCHDALE BOROUGH COUNCIL,04/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,GO PLANT LIMITED,04/05/2017,2415.00 ,TRANSACTIONS-EXPENDITURE,V001107622
ROCHDALE BOROUGH COUNCIL,03/05/2017,EARLY HELP AND SCHOOLS,PSYCHOLOGY PEOPLE,03/05/2017,1425.00 ,BASIC SALARIES,V001107651
ROCHDALE BOROUGH COUNCIL,04/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,THE BIG WORD,04/05/2017,1766.72 ,TRANSLATION & INTERPRETATION,V001107816
ROCHDALE BOROUGH COUNCIL,09/05/2017,NEIGHBOURHOODS AND ENVIRONMENT,UK CONTAINER MAINTENANCE LTD,09/05/2017,3500.00 ,EQUIPMENT - GENERAL,V001107817
ROCHDALE BOROUGH COUNCIL,05/05/2017,PROPERTY AND HIGHWAYS,AMARI PLASTICS PLC,05/05/2017,733.87 ,TRANSACTIONS-EXPENDITURE,V001108948
ROCHDALE BOROUGH COUNCIL,05/05/2017,RESOURCES,TAMESIDE METROPOLITAN BOROUGH COUNCIL,05/05/2017,1000.00 ,SUBSCRIPTIONS,V001108966
