DfE No,School,Type of establishment,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
2005,Abbey Park Primary Academy,Academy,213,48,22.5,184,46,25
5201,All Saints' CE (VA) J & I School,LA Maintained,211,8,3.8,211,8,3.8
2093,Ash Green Community Primary School,LA Maintained,479,147,30.7,392,147,37.5
2040,Bailiffe Bridge J & I School,LA Maintained,207,5,2.4,207,5,2.4
3321,Barkisland CE (VA) Primary School,LA Maintained,205,12,5.9,205,12,5.9
2019,Beech Hill School,Academy,589,116,19.7,510,115,22.5
2063,Bolton Brow Primary Academy,Academy,236,23,9.7,213,20,9.4
2048,Bowling Green Primary School,LA Maintained,159,20,12.6,159,20,12.6
2004,Bradshaw Primary School,Academy,329,37,11.2,329,37,11.2
2053,Burnley Road Academy,Academy,251,27,10.8,221,27,12.2
2042,Carr Green Primary School,LA Maintained,348,28,8,312,28,9
2068,Castle Hill Primary School,LA Maintained,283,33,11.7,253,32,12.6
2054,Central Street Infant & Nursery School,LA Maintained,69,4,5.8,62,4,6.5
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,191,66,34.6,191,66,34.6
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,133,25,18.8,133,25,18.8
2076,Cliffe Hill Community Primary School,LA Maintained,198,54,27.3,181,54,29.8
2059,Colden J & I School,LA Maintained,82,0,0,82,0,0
2006,Copley Primary School,LA Maintained,235,6,2.6,235,6,2.6
2069,"Cornholme J, I & N School",LA Maintained,227,49,21.6,193,42,21.8
2055,Cragg Vale J & I School,LA Maintained,48,0,0,48,0,0
2087,Cross Lane Primary and Nursery School,LA Maintained,317,55,17.4,291,54,18.6
2007,Dean Field Community Primary School,LA Maintained,215,85,39.5,191,85,44.5
3318,"Elland CE (VA) J, I & N School",LA Maintained,217,89,41,193,89,46.1
2003,Ferney Lee Primary School,LA Maintained,209,68,32.5,191,59,30.9
2000,Field Lane Primary School,Academy,149,42,28.2,127,35,27.6
3319,Hebden Royd CE (VA) Primary School,LA Maintained,150,7,4.7,137,6,4.4
2058,"Heptonstall J, I & N School",LA Maintained,110,5,4.5,104,5,4.8
7010,Highbury School,LA Maintained,71,18,25.4,66,17,25.8
3331,Holy Trinity Primary School (COEA),Academy,410,51,12.4,410,51,12.4
2050,Holywell Green Primary School,LA Maintained,238,39,16.4,206,32,15.5
2010,Lee Mount Primary School,LA Maintained,377,77,20.4,343,76,22.2
5204,Lightcliffe CE (VA) Primary School,LA Maintained,417,11,2.6,417,11,2.6
2033,"Ling Bob J, I & N School",LA Maintained,367,126,34.3,304,104,34.2
5207,Longroyde Primary School,LA Maintained,409,61,14.9,381,61,16
