Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,800,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,640,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,200,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,1100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,220,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,220,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,285,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,300,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,590,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,1080,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,A BINNS & CO,A0057121, 25/08/2016,PCO0273581,60,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Seminars etc All Costs,46,ABC FOOD LAW LIMITED,A0090857, 11/08/2016,ENV0273274,175,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Planning Appeals,44,AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,A0090623, 04/08/2016,PBC0273185,4840.37,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,AIMEDIA COMMS,A0041869, 04/08/2016,AAS0273210,3250,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ALD AUTOMOTIVES,A0025555, 24/08/2016,AAS0273678,244.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 11/08/2016,AAS0273375,19.06,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 11/08/2016,AAS0273376,22.93,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 11/08/2016,AAS0273377,25.95,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 11/08/2016,AAS0273374,33.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 25/08/2016,AAS0273599,1625.03,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0090890, 11/08/2016,PCO0273263,30,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD,ANDREW NORCROSS JOINERY BARNOLDSWICK,A0090899, 18/08/2016,HMR0273405,5000,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,Redacted - Personal Data,A0090886, 11/08/2016,HED0273301,74.5,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Tprt : Annual Hire Charge,36,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 04/08/2016,PER0273197,876.78,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ARTHUR PADGETT LTD,A0056366, 11/08/2016,HMR0273235,4994.7,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ARTHUR PADGETT LTD,A0056366, 11/08/2016,HMR0273236,6000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2016,AAS0273762,5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273673,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2016,AAS0273762,5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273673,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2016,AAS0273762,5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273673,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2016,AAS0273762,5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273673,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273672,256.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273672,252.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2016,AAS0273762,5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2016,AAS0273673,144.48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,ASPEN VALLEY KENNELS & CATTERY,A0022106, 18/08/2016,OPS0273394,912.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,B & E BOYS LIMITED,A0090790, 30/08/2016,AAS0273744,191234.31,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,35,B & W PLANT HIRE AND SALES LTD,A0090057, 18/08/2016,PCO0273408,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,35,B & W PLANT HIRE AND SALES LTD,A0090057, 18/08/2016,PCO0273408,156,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO4005083,-120.48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,1.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,3.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,3.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,4.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,5.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,5.64,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,6.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,8.25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273479,23.62,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273148,61.74,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273482,50.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273155,1212.93,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273482,50.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273482,175.03,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273482,50.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 18/08/2016,PCO0273482,525.09,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273159,25.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273159,25.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273148,2.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273147,3.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273147,135.03,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 04/08/2016,PCO0273147,318.87,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273476,14.21,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 04/08/2016,PCO0273165,38.97,N,N/A,N,N/A
