DfE No,School,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
5201,All Saints' CE (VA) J & I School,213,8,3.8,213,8,3.8
2093,Ash Green Community Primary School,445,150,33.7,382,150,39.3
2040,Bailiffe Bridge J & I School,206,7,3.4,206,7,3.4
3321,Barkisland CE (VA) Primary School,193,9,4.7,193,9,4.7
2048,Bowling Green Primary School,160,19,11.9,160,19,11.9
2042,Carr Green Primary School,364,20,5.5,316,20,6.3
2068,Castle Hill Primary School,285,36,12.6,246,30,12.2
2084,Castlefields Infant School,156,26,16.7,156,26,16.7
2054,Central Street Infant & Nursery School,76,5,6.6,62,4,6.5
3001,Christ Church (Pellon) CE (VC) Primary School,181,50,27.6,181,50,27.6
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),115,26,22.6,115,26,22.6
2076,Cliffe Hill Community Primary School,214,55,25.7,190,55,28.9
2059,Colden J & I School,110,1,0.9,110,1,0.9
2006,Copley Primary School,232,8,3.4,232,8,3.4
2069,"Cornholme J, I & N School",215,45,20.9,184,40,21.7
2055,Cragg Vale J & I School,59,1,1.7,59,1,1.7
2087,Cross Lane Primary and Nursery School,318,62,19.5,284,61,21.5
2007,Dean Field Community Primary School,222,91,41,197,91,46.2
3318,"Elland CE (VA) J, I & N School",236,73,30.9,207,73,35.3
2003,Ferney Lee Primary School,205,67,32.7,183,56,30.6
3319,Hebden Royd CE (VA) Primary School,139,10,7.2,124,10,8.1
2058,"Heptonstall J, I & N School",115,6,5.2,102,6,5.9
7010,Highbury School,73,22,30.1,66,19,28.8
2050,Holywell Green Primary School,240,28,11.7,205,23,11.2
2010,Lee Mount Primary School,387,79,20.4,349,78,22.3
5204,Lightcliffe CE (VA) Primary School,422,5,1.2,422,5,1.2
2033,"Ling Bob J, I & N School",375,119,31.7,299,92,30.8
5207,Longroyde Junior School,243,47,19.3,243,47,19.3
3014,Luddenden CE School,209,39,18.7,189,36,19
2065,Midgley School,102,5,4.9,102,5,4.9
3332,Moorside Community Primary School,274,114,41.6,243,97,39.9
2066,New Road Primary School,137,33,24.1,137,33,24.1
3010,Norland CE (VC) J & I School,97,7,7.2,97,7,7.2
2015,Northowram Primary School,465,20,4.3,413,19,4.6
2075,Old Town Primary School,102,3,2.9,102,3,2.9
2017,Parkinson Lane Community Primary School,522,86,16.5,442,73,16.5
2001,"Rawson J, I & N School",388,83,21.4,342,74,21.6
2061,Ripponden J & I School,231,18,7.8,231,18,7.8
2082,Riverside Junior School,160,7,4.4,160,7,4.4
2021,Salterhebble J & I School,205,21,10.2,205,21,10.2
2009,Savile Park Primary School,254,35,13.8,254,35,13.8
2073,Shade Primary School,224,29,12.9,191,26,13.6
2060,Shelf J & I School,311,30,9.6,311,30,9.6
2095,Sowerby Village CE (VC) Primary School,165,57,34.5,148,57,38.5
3315,St Andrew's CE (VA) Infant School (Brighouse),179,28,15.6,179,28,15.6
3314,St Andrew's CE (VA) Junior School (Brighouse),235,31,13.2,235,31,13.2
3303,St Augustine's CE (VA) J & I School (Halifax),182,38,20.9,182,38,20.9
5206,St Chad's CE (VA) Primary School,212,8,3.8,212,8,3.8
3329,St Joseph's Catholic Primary School (Brighouse),243,16,6.6,208,16,7.7
3305,St Joseph's Catholic Primary School (Halifax),189,24,12.7,189,24,12.7
3330,St Joseph's RC Primary School (Todmorden),125,23,18.4,102,21,20.6
3308,St Mary's Catholic Primary School (Halifax),280,42,15,280,42,15
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),102,1,1,102,1,1
5202,St Michael & All Angels CE Primary School,200,11,5.5,200,11,5.5
3327,St Patrick's Catholic Primary School (Elland),122,26,21.3,122,26,21.3
2057,Stubbings Infant School,87,4,4.6,68,4,5.9
3326,"Todmorden CE (VA) J, I & N School",249,42,16.9,200,34,17
3013,Triangle CE (VC) Primary School,188,10,5.3,188,10,5.3
2067,Tuel Lane Infant School,147,25,17,116,25,21.6
5208,Walsden St Peter's CE (VC) Primary School,170,15,8.8,170,15,8.8
2028,Warley Road Primary School,658,109,16.6,578,108,18.7
2030,Warley Town School,132,6,4.5,132,6,4.5
5205,West Vale Primary School,180,24,13.3,180,24,13.3
2046,Withinfields Primary School,358,47,13.1,314,42,13.4
7008,Wood Bank School,72,24,33.3,70,23,32.9
2081,Woodhouse Primary School,421,6,1.4,421,6,1.4
,Calderdale (Incl special schools),14776,2222,15,13701,2099,15.3
,Calderdale (Excl special schools),14631,2176,14.9,13565,2057,15.2
,Note:,,,,,,
,Academies Data Excluded.,,,,,,
