Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Buckinghamshire Hospitals NHS Trust,08/07/2010,Comptr Mntce Cont Service,Clinical Services Division,Csc Computer Sciences,732387,176278.2
Department of Health,Buckinghamshire Hospitals NHS Trust,08/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,729439,107231.26
Department of Health,Buckinghamshire Hospitals NHS Trust,15/07/2010,Lab Equip Diagnostic Kits,Clinical Services Division,Abbott Laboratories Ltd,733517,25881.85
Department of Health,Buckinghamshire Hospitals NHS Trust,15/07/2010,Computer Hard/Software,Fixed Asset Additions,Logicalis Uk Limited,731544,25462.76
Department of Health,Buckinghamshire Hospitals NHS Trust,15/07/2010,Blood Transfusion Products,Clinical Services Division,Nhs Blood And Transplant,729422,63433.47
Department of Health,Buckinghamshire Hospitals NHS Trust,15/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,731600,99390.72
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737315,1986471.76
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737315,941744.55
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737315,704308.36
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737316,682513.18
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737315,34937
Department of Health,Buckinghamshire Hospitals NHS Trust,20/07/2010,Tax and National Insurance,Trust Wide,Hm Revenue & Customs,737315,-60016.91
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Busy Bees Childcare Vouchers,Trust Wide,Computershare Voucher Services,737320,33573.33
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Building Services,Fixed Asset Additions,Iti Building Co,735492,70387.2
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,734377,105922.88
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Contract Maintenance,Clinical Services Division,Nhs Supply Chain,735080,31539.76
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Ambulance Contract,Property Services,South Central Ambulance Nhs Trust,731362,60278.42
Department of Health,Buckinghamshire Hospitals NHS Trust,22/07/2010,Electricity,Property Services,Southern Electricity,737593,53853.3
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735411,199676.07
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735413,129067.3
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735407,125558.35
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735403,83598.18
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735405,69830.2
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,735411,36749.63
Department of Health,Buckinghamshire Hospitals NHS Trust,28/07/2010,Pfi Facilities Managemt Costs,Property Services,Enterprise Healthcare Ltd,739452,1625161.9
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Shared Procurement Service Charges,Finance & It,Berkshire Shared Services,712145,38161
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Shared Procurement Service Charges,Finance & It,Berkshire Shared Services,731245,38161
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Shared Procurement Service Charges,Finance & It,Berkshire Shared Services,711919,25500
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Shared Procurement Service Charges,Finance & It,Berkshire Shared Services,731249,25500
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Building Works,Property Services,Charmac Ltd,738444,47000
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Computer Hardware and Software,Fixed Asset Additions,Insight Direct (Uk) Ltd,730436,90121.33
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Building Services,Fixed Asset Additions,Iti Building Co,739306,66309.02
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,709757,123180.86
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,736901,102348.63
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Agency Staff,Trust Wide,Nhs Professionals Ltd,737584,-123180.86
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Pfi Facilities Managemt Costs,Property Services,United Healthcare (South Bucks) Ltd,740243,1333849.88
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,Business Rates,Property Services,Wycombe District Council,740147,75458
Department of Health,Buckinghamshire Hospitals NHS Trust,29/07/2010,General Rates,Property Services,Wycombe District Council,739325,40572
Department of Health,Buckinghamshire Hospitals NHS Trust,30/07/2010,Bld'G Servs-Contracts,Fixed Asset Additions,Marcon Construction Ltd,740248,92581.27
