Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,06/05/2015,22775496,1,1220,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,08/06/2015,22799915,1,1820,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,06/05/2015,22775505,1,1840,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,05/06/2015,22799362,1,528,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,05/06/2015,22799363,1,598,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,BACK CARE SOLUTIONS LTD,Redacted,Not yet available,Not yet available,Not yet available,20/04/2015,22760218,1,505,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Office Equipment Mnfrs & Distributors,53390,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,21/05/2015,22780835,1,515,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,13/04/2015,22753038,1,595,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAIR (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,21/04/2015,22755583,1,1631.25,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Electronic Component Mnfrs & Distributors,30710,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,09/04/2015,22751865,1,680,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,12/06/2015,22802398,1,745,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,24/06/2015,22798132,1,750,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,30/04/2015,22751847,1,790,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22798152,1,1400,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CHUBB FIRE & SECURITY LIMITED,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22799456,1,560,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Fire Alarm Systems,35290,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,CLAIRMONT,Redacted,Not yet available,Not yet available,Not yet available,08/04/2015,22751945,1,1440,Nil,Adaptations,Revenue,Adult Services,CAT04,Disability Equipment - Mnfrs & Suppliers,25800,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22773311,1,561,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,30/06/2015,22773313,1,561,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22799451,1,609,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,04/06/2015,22797662,1,714,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,21/05/2015,22773305,1,842.2,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,09/06/2015,22799449,1,952.4,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,14/05/2015,22778956,1,1114,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,26/06/2015,22802459,1,1427.75,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,04/06/2015,22783976,1,1595,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,Not yet available,Not yet available,Not yet available,08/05/2015,22773306,1,1614.8,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22784264,1,554,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,16/04/2015,22755538,1,563,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,30/06/2015,22802890,1,565,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,09/06/2015,22800099,1,570,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,23/04/2015,22755536,1,570,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,09/06/2015,22760857,1,623,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22764002,1,636,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,16/04/2015,22756303,1,664.2,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22800095,1,665,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,21/05/2015,22777540,1,692,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
