OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,06/04/2017,AB0248428311554,LCC marcomms Support for MIPIM 2017,CITY DEVELOPMENT,277 - Bought In Professional Services,,08/06/2017,,,,,"�5,000.00",,ABERFIELD COMMUNICATIONS LIMITED,,Other/Not known,,Jennifer Young,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/04/2017,AC011242853SIN000557,Vuelio Subscription & Media Co,CENTRAL & CORPORATE,214 - Computer Software & Equipment,,08/06/2017,,,,,"�5,600.00",,ACCESS INTELLIGENCE MEDIA AND,,c) Small,,Steven Bedford,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,11/04/2017,AC017042836INV10017,Deacon House / New Shutters,ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,08/06/2017,,,,,"�11,662.00",,ACCESS OPENING SYSTEMS LIMITED,,b) Micro,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/04/2017,AC91054285331996,SEN Placement,CHILDRENS SERVICES,566 - SEN Placements,,08/06/2017,,,,,"�114,001.79",,ACKWORTH SCHOOL,,b) Micro,,Carol Nightingale,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/04/2017,AC029842853INV-00713,Supply & Fit Audio Visual Equipment,ENVIRONMENT & HOUSING,203 - Operational Furniture And Equipment,,08/06/2017,,,,,"�23,473.28",,ACOUSTIC ARRANGMENTS LIMITED,,Other/Not known,,Jo Clough,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,18/04/2017,AN008042843001,Home Care,ADULT SOCIAL CARE,505 - Services Rendered By Voluntary Sector,,08/06/2017,,,,,"�29,887.27",,ANCHOR TRUST,,Other/Not known,,Tony Bailey,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/04/2017,ZZ30064283003APR-30APR,Home Care,ADULT SOCIAL CARE,580 - Residential,,08/06/2017,,,,,"�11,506.88",,ASTON MANOR,,Other/Not known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2017,MA0387428508001,AV Equipment for RSA event,CITY DEVELOPMENT,304 - External Hire -Occasional,,08/06/2017,,,,,"�6,997.50",,AV MATRIX LTD,,Other/Not known,,Dinah Clark,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,11/04/2017,AW039142836INV104309,Leeds 2023 Enamel Pin Badges,CITY DEVELOPMENT,211 - Advertising,,08/06/2017,,,,,"�7,041.67",,AWESOME MERCHANDISE LTD,,Other/Not known,,Dinah Clark,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/04/2017,BA002442844400493,Advertising,CHILDRENS SERVICES,211 - Advertising,,08/06/2017,,,,,"�5,600.00",,BAUER RADIO LTD,,b) Micro,,Sarah Johal,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,04/04/2017,BE793742829MPK/HAB/124/FC10,Building Services,ENVIRONMENT & HOUSING,N/A,,08/06/2017,,,,,"�18,133.97",,BERMAR BUILDING COMPANY LTD,,d) Medium,,Derek Prest,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/04/2017,BI181742844938L18975,Waste Disposal,ENVIRONMENT & HOUSING,236 - Waste Disposal Charges,,08/06/2017,,,,,"�1,533.07",,BIFFA WASTE SERVICES LTD,,e) Large,,Iain Harbour,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/04/2017,ZZ33264283003APR-30APR,Residential Care,ADULT SOCIAL CARE,580 - Residential,,08/06/2017,,,,,"�5,356.73",,BIRCHLANDS CARE HOME,,Other/Not known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2017,BP04754285022191,Broadcast and Production Equipment,CITIZENS AND COMMUNITIES,214 - Computer Software & Equipment,,08/06/2017,,,,,"�11,315.00",,BPS BROADCAST AND PRODUCTION SERVICES,,Other/Not known,,Jamie Hutchinson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,21/04/2017,BR200742846LCC/02,Legal Study,CITY DEVELOPMENT,259 - Consultancy Services,,08/06/2017,,,,,"�6,200.00",,BRANKSOME PARTNERS LIMITED,,Other/Not known,,Jennifer Young,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,26/04/2017,BR0087428511855,SEN Placement,CHILDRENS SERVICES,566 - SEN Placements,,08/06/2017,,,,,"�53,600.00",,BRECKENBROUGH SCHOOL LTD,,d) Medium,,Barbara Newton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,25/04/2017,BU1809428501051954,Building Restoration,ENVIRONMENT & HOUSING,113 - Roads Paths Seats & Shelters,,08/06/2017,,,,,"�6,734.00",,BUILDING RESTORATION & CLEANING,,Other/Not known,,Chris Simpson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,13/04/2017,CO228642838110018,Traffic Data Collection Products,CITY DEVELOPMENT,N/A,,08/06/2017,,,,,"�6,191.00",,C A TRAFFIC LIMITED,,c) Small,,Gwyn Owen,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,21/04/2017,CA055142846CHI026772,Fostering,CHILDRENS SERVICES,507 - General External Residential Placements,,08/06/2017,,,,,"�17,828.46",,CAMBIAN CHILDCARE LTD,,d) Medium,,Clare Lynam,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,13/04/2017,CA2938428386003522517,Benefit Changes,CITIZENS AND COMMUNITIES,265 - Other Hired And Contracted Services,,08/06/2017,,,,,"�103,598.40",,CAPITA BUSINESS SERVICES LTD,,e) Large,,Amanda Mawson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,13/04/2017,CA7042428381152,Fund for Energy Efficiency Heating,ENVIRONMENT & HOUSING,N/A,,08/06/2017,,,,,"�5,000.00",,CARE & REPAIR LEEDS,,c) Small,,George Munson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,03/04/2017,CA259242828554,Residential Care,CHILDRENS SERVICES,507 - General External Residential Placements,,08/06/2017,,,,,"�16,220.12",,CARE IN MIND RESIDENTIAL,,Other/Not known,,Clare Lynam,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,21/04/2017,CA19514284630080,Highgate Mid Back,ADULT SOCIAL CARE,203 - Operational Furniture And Equipment,,08/06/2017,,,,,"�6,124.91",,CARECHAIR LTD,,c) Small,,Deborah Ramskill,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/04/2017,CE07314283060108863,19th Century British Newspapers & Subscription - Times Digital,CITIZENS AND COMMUNITIES,206 - Books & Audio-Visual Materials,,08/06/2017,,,,,"�13,625.25",,CENGAGE LEARNING (EMEA) LTD,,d) Medium,,Beverley Rice,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,13/04/2017,BR04634283872800508544,Autum Transport For 6 Clients and Commissioned Research,CIVIC ENTERPRISE LEEDS,360 - Private Hire,,08/06/2017,,,,,"�27,345.00",,CITY OF BRADFORD METROPOLITAN DISTRICT,,Other/Not known,,Andrew Mackman,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/04/2017,CL87564283714-24-17-1-1024/2,Park Spring Primary and Pre-Construction Agreement,CHILDRENS SERVICES,N/A,,08/06/2017,,,,,"�191,460.69",,CLUGSTON CONSTRUCTION LIMITED,,Other/Not known,,Derek Prest,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,04/04/2017,CL075442829H399682,Leeds Art Gallery,ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,08/06/2017,,,,,"�5,456.67",,CLYMAC LIMITED,,d) Medium,,Mandy Grace,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/04/2017,CM0591428371700,Training,CITY DEVELOPMENT,70 - Best Value Training,,08/06/2017,,,,,"�5,000.00",,CMS VOCATIONAL TRAINING LTD,,c) Small,,Peter Whatmore,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/04/2017,CC103942830ASC DIRECT PAYMENT,Community Care Payments,ADULT SOCIAL CARE,626 - Direct Payments,,08/06/2017,,,,,"�1,398,753.98",,COMMUNITY CARE PAYMENTS,,Other/Not known,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,24/04/2017,CO189342849LIC139214,Electronic Licence for Coram,CENTRAL & CORPORATE,80 - Recruitment Advertising,,08/06/2017,,,,,"�5,876.48",,CORAM ACADEMY,,Other/Not known,,Steven Bedford,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/04/2017,ZZ33164283003APR-30APR,Sheltered Accommodation,ADULT SOCIAL CARE,569 - Sheltered Accommodation,,08/06/2017,,,,,"�20,339.70",,CORNMILL HOUSE,,Other/Not known,,Tony Bailey,Non-influenceable
