Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Accountancy services,Finance Director,SHARED BUSINESS SERVICES,STANDING ORDER SBS SLA,"34,017.67"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Ambulance Car Service,Patient Transport,ALLIANCE-PIONEER GROUP,21130778,"37,323.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Ambulance Car Service,Patient Transport,SRCL LTD,21317979,"85,708.45"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Blood Products,Clinical Haematology,LLOYDS PHARMACY CLINICAL HOMECARE LTD,21294417,"37,940.74"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,21338977,"29,301.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,CAPD Fluids,CAPD Devon & Cornwall,BAXTER HEALTHCARE LTD,21160394,"40,254.90"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Childcare,Human Resources,SODEXO,SSC DD/PLYMOUTH HOSPITALS,"32,977.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,CNST contributions,Central Other,NHS LITIGATION AUTHORITY,SSC DD - NHSLA,"1,616,902.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Computer Maintenance,ICT Infrastructure,CDW LTD,21354879,"125,340.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consultant,Anaesthetics Medical,UNIVERSITY OF PLYMOUTH,21305181,"31,897.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consultant,Anaesthetics Medical,UNIVERSITY OF PLYMOUTH,21305183,"45,645.66"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consultant,Diabetic Medicine,UNIVERSITY OF PLYMOUTH,21390008,"36,276.88"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consultant,MS Risk Sharing,UNIVERSITY OF PLYMOUTH,21210601,"32,043.31"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consultant,Neurology,UNIVERSITY OF PLYMOUTH,21210603,"33,155.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consumables,Procurement,NHS SUPPLY CHAIN,21364855,"115,764.28"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consumables,Procurement,NHS SUPPLY CHAIN,21196615,"123,697.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/12/2016,Consumables,Procurement,NHS SUPPLY CHAIN,21250562,"131,414.49"
