Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
32226694915338,02 UK LTD                       ,                                ,01.04.2005                                               ,MM02 SITE REF 11078 ON ROOF     ,                                ,ADJ UNIT 10                        ,YEARGATE INDUSTRIAL ESTATE         ,HEYWOOD                         ,LANCASHIRE                      ,BL9 7HT ,C/O CLUTTONS LLP                   ,PORTMAN HOUSE                      ,2 PORTMAN STREET                ,LONDON                          ,W1H 6DU ,10750,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
60427600850031,17TH ROCHDALE 1ST WARDLE SCOUTS ,C/O MRS ANGELA TAIT             ,01.04.2005                                               ,WARDLE SCOUT GROUP              ,                                ,RAMSDEN ROAD                       ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9NX,THE BARN                           ,LAWFLAT WARDLE                     ,Rochdale                        ,                                ,OL12 9LD,3500,SCOUT HEADQUARTERS                                          ,     ,                                                         ,Y,0,80, 
30979794013489,20/20 INDUSTRIES LTD            ,                                ,01.04.2011                                               ,GF 12 OFFICE THE OLD POLICE     ,STATION BUSINESS CENTRE         ,HIND HILL STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1AQ,TOPS BUSINESS CENTRE               ,HIND HILL STREET                   ,HEYWOOD                         ,MANCHESTER                      ,OL10 1AQ,1200,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
11036729579947,21ST CENTURY TATTOO LTD         ,                                ,04.07.2008                                               ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,01-May,CHEETHAM STREET                    ,ROCHDALE LANCASHIRE             ,                                ,OL16 1PQ,5600,TATOO STUDIO & PREMISES                                     ,     ,                                                         , ,0,0,Y
15419800110027,27TH ROCHDALE LOWERPLACE SCOUTS ,                                ,01.04.2005                                               ,                                ,                                ,27TH RDALE (LOWERPLACE) SCOUT GROUP,WATKIN STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HJ,MR SCOTT DUNKLEY                   ,24 LAMBOURNE GROVE                 ,MILNROW                         ,ROCHDALE                        ,OL16 4YA,2600,CLUBROOM & PREMISES                                         ,     ,                                                         ,Y,20,80, 
41192300410068,29TH ROCHDALE SCOUTS C/O J R    ,COLLINGE                        ,01.04.2005                                               ,                                ,                                ,120 NEW ROAD                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8NL,4 LONSDALE AVENUE                  ,ROCHDALE                           ,                                ,                                ,OL16 5HP,2250,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
3152799916535A     ,2SQUARED AGENCY LTD             ,                                ,20.05.2014                                               ,UNIT B4/ BAYS 1 AND 2           ,BROADLANDS                      ,HEYWOOD DISTRIBUTION PARK          ,PILSWORTH ROAD                     ,HEYWOOD                         ,                                ,OL10 2TS,                                   ,                                   ,                                ,                                ,        ,78000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
14816800010089,37TH ROCHDALE SCOUT GROUP C/O   ,KEN GRACEY                      ,01.04.2005                                               ,                                ,                                ,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE                        ,LANCASHIRE                      ,OL11 3ER,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE LANCASHIRE             ,                                ,OL11 3ER,2075,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
31612X0001103A     ,3RD/4TH HEYWOOD (RAVENCROFT)    ,SCOUT GROUP                     ,01.04.2005                                               ,                                ,                                ,3RD AND 4TH HEYWOOD SCOUT GROUP    ,REGENT STREET                      ,HEYWOOD                         ,LANCASHIRE                      ,OL10 3BX,FAO MRS M MURRAY                   ,43 CHERWELL AVENUE                 ,HEYWOOD LANCASHIRE              ,                                ,OL10 4SY,2425,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, 
32035695588447,4 SEASONS GARDEN MAINTENANCE LTD,                                ,10.03.2014                                               ,                                ,                                ,FOUR SEASONS GARDEN                ,MAINTENANCE                        ,VALE STREET                     ,HEYWOOD                         ,OL10 1PQ,32 BAMFORD MEWS                    ,NORDEN ROAD                        ,ROCHDALE                        ,                                ,OL11 5NX,4100,Workshop and Premises                                       ,     ,                                                         , ,0,0,Y
