Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,22,,Data Room for Waste CD,,Environment,,,Data Room for Waste CD,,,,,,01/10/2016,30/09/2017,01/05/2017,,2800,,N/A,EU supplies,,,,,,,,steve.middleton@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,25,,Joint Waste Legal Advice,,Democratic Legal & Policy,,,Joint Waste Legal Advice,,,,,,01/12/2010,31/12/2017,30/11/2017,,74000,,N/A,Bevan Brittan,,,,,,,,julie.openshaw@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,39,,Environment Removals Contract,,Environment,,,Environment Removals Contract,,,,,,01/10/2014,30/09/2018,04/01/2018,,40000,,N/A,Doree Bonner,,,,,,,,nick.lamport@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,55,,Private Medical Insurance,,Human Resources ICT/CSC & Shared Support Services,,,Private Medical Insurance,,,,,,01/04/2017,31/03/2018,01/02/2018,,54000,,N/A,AXA PPP,,,,,,,,jo.whiteley@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,65,,Treasury Management Services. (Market intelligence and advice).,,Finance & Commercial,,,Treasury Management Services. (Market intelligence and advice).,,,,,,01/04/2017,31/03/2019,01/02/2018,,15000,,N/A,Capita Treasury  Management  Services,,,,,,,,steve.richardson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,70,,Death in Service Insurance service,,Finance & Commercial,,,Death in Service Insurance service,,,,,,01/04/2017,31/03/2018,28/02/2018,,26000,,N/A,Canada Life,,,,,,,,ryan.savage@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,76,,Commercial Vehicles Lease,,Finance & Commercial,,,Commercial Vehicles Lease,,,,,,29/09/2014,28/09/2017,30/08/2017,,21000,,N/A,Lex Autolease Ltd,,,,,,,,simon.blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,80,,Supply of non-metered electricity,,Finance & Commercial,,,Supply of non-metered electricity,,,,,,01/10/2016,30/09/2017,30/09/2017,,16000,,N/A,EDF Energy,,,,,,,,simon.blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,81,,supply Nhh Electricity,,Finance & Commercial,,,supply Nhh Electricity,,,,,,01/04/2017,31/03/2018,02/01/2018,,53000,,N/A,British Gas via OGC,,,,,,,,simon.blackett@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,http://opendatacommunities.org/id/district-council/wycombe,Wycombe,Aug 2017,97,,Supply of Electricity HH,,Finance & Commercial,,,Supply of Electricity HH,,,,,,01/10/2016,30/09/2017,30/09/2017,,116000,,N/A,EDF,,,,,,,,simon.blackett@wycombe.gov.uk,
