DfE No.,School,Number of Pupils on Roll (All Pupils),No. Eligible for FSM (All Pupils),% Eligible for FSM (All Pupils),Number of Pupils on Roll (Excluding Nursery Pupils),No. Eligible for FSM (Excluding Nursery Pupils),% Eligible for FSM (Excluding Nursery Pupils)
2005,Abbey Park Primary Academy,226,58,25.7,197,56,28.4
2019,Beech Hill School,554,104,18.8,496,103,20.8
2063,Bolton Brow Primary Academy,235,22,9.4,210,21,10
2004,Bradshaw Primary School,311,22,7.1,311,22,7.1
2053,Burnley Road Academy,248,34,13.7,224,34,15.2
2000,Field Lane Primary School,127,39,30.7,114,39,34.2
3331,Holy Trinity Primary School (COEA),466,53,11.4,416,53,12.7
2064,Luddendenfoot Academy,134,6,4.5,134,6,4.5
2002,Mount Pellon Primary Academy,546,124,22.7,502,124,24.7
2083,Old Earth School,453,30,6.6,401,29,7.2
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),185,28,15.1,185,28,15.1
5200,Salterlee Academy Trust,106,4,3.8,106,4,3.8
2056,Scout Road Academy,107,1,0.9,107,1,0.9
2094,Siddal Primary School,259,44,17,227,39,17.2
5203,"St John's (CE) Primary Academy, Clifton",210,2,1,210,2,1
3322,St John's CE Primary School (Rishworth),132,3,2.3,132,3,2.3
3306,St Malachy's Catholic Primary School,212,53,25,192,53,27.6
2049,The Greetland Academy,419,23,5.5,419,23,5.5
4035,The Halifax Academy,61,4,6.6,61,4,6.6
2027,Wainstalls School,161,10,6.2,161,10,6.2
2031,Whitehill Community Academy,610,68,11.1,544,68,12.5
,Calderdale Academies,5762,732,12.7,5349,722,13.5
,Note:,,,,,,
,LA Maintained Data Excluded,,,,,,
